key,0
#,
int32,str
0,""
1,"Du führst folgende Abfolge von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten aus:
1. Vortexschnitt
2. Schur<SoftHyphen/>ken<SoftHyphen/>schwert
3. Halones Groll

Wenn eine der Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten nicht bereit ist, beginnt die Kombo von vorne."
2,"Du führst folgende Abfolge von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten aus:
1. Vortexschnitt
2. Donnerklinge
3. Königsklinge

Wenn eine der Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten nicht bereit ist, beginnt die Kombo von vorne.
Kommando ändert sich bei <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Schwert-Eid<UIGlow>01</UIGlow><UIForeground>01</UIForeground> zu <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Absolution<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
3,"Du führst folgende Abfolge von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten aus:
1. Gewaltiger Hieb
2. Schädelspalter
3. Fleischerbeil

Wenn eine der Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten nicht bereit ist, beginnt die Kombo von vorne."
4,"Du führst folgende Abfolge von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten aus:
1. Gewaltiger Hieb
2. Verstümmelung
3. Sturmkeil

Wenn eine der Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten nicht bereit ist, beginnt die Kombo von vorne."
5,"Du führst folgende Abfolge von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten aus:
1. Harter Schlitzer
2. Drehschlitzer
3. Kraftschlitzer

Wenn eine der Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten nicht bereit ist, beginnt die Kombo von vorne."
6,"Du führst folgende Abfolge von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten aus:
1. Harter Schlitzer
2. Osmose
3. Seelenfresser

Wenn eine der Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten nicht bereit ist, beginnt die Kombo von vorne."
7,"Du führst folgende Abfolge von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten aus:
1. Schlag auf Schlag
2. Wahrer Schlag
3. Peitschenhieb

Wenn eine der Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten nicht bereit ist, beginnt die Kombo von vorne."
8,"Du führst folgende Abfolge von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten aus:
1. Drachentritt
2. Doppelviper
3. Demolieren

Wenn eine der Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten nicht bereit ist, beginnt die Kombo von vorne."
9,"Du führst folgende Abfolge von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten aus:
1. Überfallsstoß
2. Ungebremster Stoß
3. Fang und Klaue
4. Fächerstoß

Wenn eine der Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten nicht bereit ist, beginnt die Kombo von vorne."
10,"Du führst folgende Abfolge von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten aus:
1. Pfähler
2. Drachengriff
3. Chaotischer Tjost
4. Fächerstoß

Wenn eine der Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten nicht bereit ist, beginnt die Kombo von vorne."
11,"Du führst folgende Abfolge von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten aus:
1. Wirbelklinge
2. Windschlitzer
3. Äolusklinge

Wenn eine der Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten nicht bereit ist, beginnt die Kombo von vorne.
Kommando ändert sich bei <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Tri-Mudra<UIGlow>01</UIGlow><UIForeground>01</UIForeground> zu <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Hyosho Ranryu<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
