key,0
#,
int32,str
0,""
1,"Effectue l'une après l'autre les techniques d'arme du combo suivant<Indent/>:

1. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Lame rapide<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Lame sauvage<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Rage de Halone<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Si les conditions ne sont pas réunies pour la technique d'arme suivante, retourne à la première."
2,"Effectue l'une après l'autre les techniques d'arme du combo suivant<Indent/>:

1. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Lame rapide<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Lame déchaînée<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Autorité royale<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Si les conditions ne sont pas réunies pour la technique d'arme suivante, retourne à la première.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>* Avec Serment de l'épée, ces actions sont remplacées par Absolution.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
3,"Effectue l'une après l'autre les techniques d'arme du combo suivant<Indent/>:

1. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Coup puissant<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Brise-crâne<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Billot du boucher<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Si les conditions ne sont pas réunies pour la technique d'arme suivante, retourne à la première."
4,"Effectue l'une après l'autre les techniques d'arme du combo suivant<Indent/>:

1. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Coup puissant<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Mutilation<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Couperet de justice<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Si les conditions ne sont pas réunies pour la technique d'arme suivante, retourne à la première."
5,"Effectue l'une après l'autre les techniques d'arme du combo suivant<Indent/>:

1. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Taillade violente<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Taillade tournante<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Taillade puissante<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Si les conditions ne sont pas réunies pour la technique d'arme suivante, retourne à la première."
6,"Effectue l'une après l'autre les techniques d'arme du combo suivant<Indent/>:

1. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Taillade violente<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Frappe siphon<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Dévoreur d'âme<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Si les conditions ne sont pas réunies pour la technique d'arme suivante, retourne à la première."
7,"Effectue l'une après l'autre les techniques d'arme du combo suivant<Indent/>:

1. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Volée de coups<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Coup de poing direct<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Coup de poing brusque<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Si les conditions ne sont pas réunies pour la technique d'arme suivante, retourne à la première."
8,"Effectue l'une après l'autre les techniques d'arme du combo suivant<Indent/>:

1. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Tacle du dragon<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Serpents jumeaux<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Démolition<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Si les conditions ne sont pas réunies pour la technique d'arme suivante, retourne à la première."
9,"Effectue l'une après l'autre les techniques d'arme du combo suivant<Indent/>:

1. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Percée Raiden<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Percée totale<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Croc-et-griffe<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
4. <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Percée tournante<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Si les conditions ne sont pas réunies pour la technique d'arme suivante, retourne à la première."
