key,0
#,
int32,str
0,""
1,"Tataru"
2,"Tataru Taru"
3,"Membre des Héritiers de la Septième Aube
Trésorière"
4,"Tataru était of<SoftHyphen/>fi<SoftHyphen/>ciel<SoftHyphen/>le<SoftHyphen/>ment la réceptionniste des Héritiers de la Septième Aube. Toutefois, la Lalafelle gérait également les comptes de l'or<SoftHyphen/>ga<SoftHyphen/>ni<SoftHyphen/>sa<SoftHyphen/>tion d'une main de fer, d'où sa seconde étiquette de trésorière.

Née à Ul'dah, elle connut une enfance privilégiée, jusqu'à ce que la faillite de l'entreprise de son père ne précipite son foyer dans la précarité et le surendettement. Par la force des choses, elle apprit très tôt la valeur de l'argent, et c'est âgée d'à peine douze ans qu'elle se fit apprentie au sein d'une enseigne de joaillerie, afin d'aider un tant soit peu ses parents sur le plan pécuniaire.
C'est à cette période qu'elle fit la rencontre de Minfilia. Cette dernière était alors mineuse et venait ré<SoftHyphen/>gu<SoftHyphen/>liè<SoftHyphen/>re<SoftHyphen/>ment revendre des pierres précieuses sur les marchés d'Ul'dah. Lorsqu'elle fonda plus tard la Voie des Douze, c'est tout na<SoftHyphen/>tu<SoftHyphen/>rel<SoftHyphen/>le<SoftHyphen/>ment qu'elle se tourna vers son amie lalafelle afin de gérer la comptabilité de l'association. Tataru accepta l'invitation de bon cœur, voyant là une occasion unique de conjuguer commerce et projet philanthropique. Par la suite, elle s'installa durablement à la réception du Refuge des sables, le fief de l'or<SoftHyphen/>ga<SoftHyphen/>ni<SoftHyphen/>sa<SoftHyphen/>tion, et usa de ses talents de négociante pour en étendre la notoriété. Elle recruta entre autres un certain nombre de détenteurs du pouvoir de l'Écho, au sein de ce qui s'apparenta de plus en plus à un lieu de rencontre pour individus hors du commun.

La survenue du septième fléau marqua la fusion de la Voie des Douze et du Cénacle du Savoir en une nouvelle or<SoftHyphen/>ga<SoftHyphen/>ni<SoftHyphen/>sa<SoftHyphen/>tion, les Héritiers de la Septième Aube, au sein de laquelle Tataru conserva sa double casquette de réceptionniste et de trésorière.
Bien plus tard, Ul'dah fut secouée par une crise politique sans précédent, mettant en péril l'avenir même des Héritiers. Tataru alla alors avec Alphinaud et <If(PlayerParameter(4))>la Guerrière<Else/>le Guerrier</If> de la Lumière trouver refuge à Ishgard, depuis laquelle elle se battit pour remettre le groupe sur pied. Elle se rendra ensuite à Kugane avec ses camarades et nouera un solide partenariat avec la Firme du commerce de l'Aldenard oriental, soutenant indirectement le soulèvement des populations locales contre l'occupant garlemaldais.

Parce qu'elle nourrissait depuis longtemps une légère frustration de ne pouvoir s'illustrer sur le champ de bataille, Tataru s'est essayée un temps à l'arcanisme. Hélas, malgré son don pour l'arithmétique, elle n'est jamais parvenue à briller dans cette discipline (ni à se faire obéir de son Carbuncle), et a fini par jeter l'éponge. Elle s'est alors tournée vers les métiers de mineuse et de couturière avec, cette fois, beaucoup plus de succès. Au fil du temps, elle a acquis un véritable savoir-faire d'artisane, qu'elle exhibe à travers les tenues et équipements qu'elle confectionne pour <If(PlayerParameter(4))>la Guerrière<Else/>le Guerrier</If> de la Lumière et ses camarades, ou encore au sein de la Tarufacture, sa propre enseigne qu'elle a ouverte à Sharlayan."
5,"Héritiers de la Septième Aube"
6,"Héritiers de la Septième Aube"
7,"Une or<SoftHyphen/>ga<SoftHyphen/>ni<SoftHyphen/>sa<SoftHyphen/>tion secrète issue de la fusion du Cénacle du Savoir, fondé par Louisoix Leveilleur afin de sauver Éorzéa de la destruction, et de la Voie des Douze de Minfilia Warde.

Formés après le septième fléau, les Héritiers de la Septième Aube avaient pour vocation de résoudre le problème des Primordiaux et de l'expansion impériale tout en s'opposant aux plans des Asciens, des conspirateurs manipulant en secret le cours de l'Histoire. De ce fait, ils représentaient des alliés de poids aux yeux de l'Alliance éorzéenne.
Leurs intérêts les conduisaient en outre à s'intéresser de près au pouvoir de l'Écho, et à rechercher activement ses détenteurs. Ils recrutèrent notamment l'emblématique <If(PlayerParameter(4))>Guerrière<Else/>Guerrier</If> de la Lumière <If(PlayerParameter(4))>considérée<Else/>considéré</If> comme <If(PlayerParameter(4))>une héroïne<Else/>un héros</If> par les Éorzéens.

Après plusieurs victoires sur les Primordiaux et la 14e légion impériale, les Héritiers sortirent de l'ombre, devenant une institution officielle. Dans la foulée, certains de ses membres fondèrent leur propre groupe, les Braves du Cristal. Hélas, Héritiers comme Braves servirent ensuite à leur insu de boucs émissaires pour les monétaristes d'Ul'dah, dans un complot visant à assassiner la sultane Nanamo Ul Namo. Cet épisode faillit leur être fatal<Indent/>; heureusement, grâce au soutien du général Raubahn Aldynn et de la sultane elle-même (qui, entre-temps, avait repris les rênes du pouvoir), ils furent lavés de tout soupçon, et reprirent peu à peu leurs activités, jouant plus tard un rôle clef dans la libération des provinces d'Ala Mhigo et de Doma.

Après d'innombrables batailles, ils finirent par déjouer l'apocalypse, un exploit à la suite duquel ils considérèrent leur mission achevée, et décidèrent d'un commun accord de dissoudre leur or<SoftHyphen/>ga<SoftHyphen/>ni<SoftHyphen/>sa<SoftHyphen/>tion. Pour autant, ils continuent de s'affairer chacun de leur côté, à l'écart de la scène officielle."
8,"L'apocalypse"
9,"L'apocalypse"
