key,0,1,2,3,4
#,,,,,
int32,int32,int32,uint16,uint16,str
0,0,82091,0,0,"Aucun"
1,190002,82091,1,1,"Dégradé gris"
2,190003,82091,1,3,"Carrés"
3,190004,82091,1,4,"Violet"
4,190005,82091,1,7,"Dégradé tank"
5,190006,82091,1,5,"Dégradé DPS"
6,190007,82091,1,6,"Dégradé soigneur"
7,190008,82091,1,2,"Parchemin"
8,190009,82091,1,9,"Éthéré"
9,190010,82091,1,8,"Bois"
10,190011,82091,1,10,"Monde du néant"
11,190301,82091,124,2150,"Paladin (dynamique)"
12,190302,82091,125,2151,"Guerrier (dynamique)"
13,190303,82091,126,2152,"Chevalier noir (dynamique)"
14,190304,82091,127,2153,"Pistosabreur (dynamique)"
15,190305,82091,128,2154,"Mage blanc (dynamique)"
16,190306,82091,129,2155,"Érudit (dynamique)"
17,190307,82091,130,2156,"Astromancien (dynamique)"
18,190308,82091,131,2157,"Sage (dynamique)"
19,190309,82091,132,2158,"Moine (dynamique)"
20,190310,82091,133,2159,"Chevalier dragon (dynamique)"
21,190311,82091,134,2160,"Ninja (dynamique)"
22,190312,82091,135,2161,"Samouraï (dynamique)"
23,190313,82091,136,2162,"Faucheur (dynamique)"
24,190314,82091,137,2163,"Barde (dynamique)"
25,190315,82091,138,2164,"Machiniste (dynamique)"
26,190316,82091,139,2165,"Danseur (dynamique)"
27,190317,82091,140,2166,"Mage noir (dynamique)"
28,190318,82091,141,2167,"Invocateur (dynamique)"
29,190319,82091,142,2168,"Mage rouge (dynamique)"
30,190401,82091,143,3000,"Équipe Astra"
31,190402,82091,144,3001,"Équipe Umbra"
32,190403,82091,145,3002,"Roi du conflit"
33,190404,82091,146,3003,"Prince du conflit"
34,190405,82091,147,3004,"As du conflit"
35,190406,82091,148,3005,"Crystalline Conflict : bronze"
36,190407,82091,149,3006,"Crystalline Conflict : argent"
37,190408,82091,150,3007,"Crystalline Conflict : or"
38,190409,82091,151,3008,"Crystalline Conflict : platine"
39,190410,82091,152,3009,"Crystalline Conflict : diamant"
40,190411,82091,153,3010,"Crystalline Conflict : cristal"
41,190901,82091,154,4000,"Companion 1"
42,190902,82091,155,4001,"Companion 2"
43,190201,82091,156,2000,"Gladiateur (standard)"
44,190202,82091,157,2001,"Maraudeur (standard)"
45,190203,82091,158,2002,"Élémentaliste (standard)"
46,190204,82091,159,2003,"Pugiliste (standard)"
47,190205,82091,160,2004,"Maître d'hast (standard)"
48,190206,82091,161,2005,"Surineur (standard)"
49,190207,82091,162,2006,"Archer (standard)"
50,190208,82091,163,2007,"Occultiste (standard)"
51,190209,82091,164,2008,"Arcaniste (standard)"
52,190210,82091,165,2050,"Paladin (standard)"
53,190211,82091,166,2051,"Guerrier (standard)"
54,190212,82091,167,2052,"Chevalier noir (standard)"
55,190213,82091,168,2053,"Pistosabreur (standard)"
56,190214,82091,169,2054,"Mage blanc (standard)"
57,190215,82091,170,2055,"Érudit (standard)"
58,190216,82091,171,2056,"Astromancien (standard)"
59,190217,82091,172,2057,"Sage (standard)"
60,190218,82091,173,2058,"Moine (standard)"
61,190219,82091,174,2059,"Chevalier dragon (standard)"
62,190220,82091,175,2060,"Ninja (standard)"
63,190221,82091,176,2061,"Samouraï (standard)"
64,190222,82091,177,2062,"Faucheur (standard)"
65,190223,82091,178,2063,"Barde (standard)"
66,190224,82091,179,2064,"Machiniste (standard)"
67,190225,82091,180,2065,"Danseur (standard)"
68,190226,82091,181,2066,"Mage noir (standard)"
69,190227,82091,182,2067,"Invocateur (standard)"
70,190228,82091,183,2068,"Mage rouge (standard)"
71,190229,82091,184,2069,"Mage bleu (standard)"
72,190230,82091,244,2100,"Menuisier (standard)"
73,190231,82091,245,2101,"Forgeron (standard)"
74,190232,82091,246,2102,"Armurier (standard)"
75,190233,82091,247,2103,"Orfèvre (standard)"
76,190234,82091,248,2104,"Tanneur (standard)"
77,190235,82091,249,2105,"Couturier (standard)"
78,190236,82091,250,2106,"Alchimiste (standard)"
79,190237,82091,251,2107,"Cuisinier (standard)"
80,190238,82091,276,2108,"Mineur (standard)"
81,190239,82091,277,2109,"Botaniste (standard)"
82,190240,82091,278,2110,"Pêcheur (standard)"
83,190502,82091,299,1001,"Gridania"
84,190501,82091,299,1000,"Limsa Lominsa"
85,190503,82091,299,1002,"Ul'dah"
86,0,0,0,0,""
87,0,0,0,0,""
88,0,0,0,0,""
89,0,0,0,0,""
90,0,0,0,0,""
91,0,0,0,0,""
92,0,0,0,0,""
93,0,0,0,0,""
94,0,0,0,0,""
95,0,0,0,0,""
96,0,0,0,0,""
97,0,0,0,0,""
98,0,0,0,0,""
99,0,0,0,0,""
100,0,0,0,0,""
