key,0,1,2,3,4
#,,,,,
int32,int32,int32,uint16,uint16,str
0,0,82093,0,0,"Aucune"
1,192001,82093,1,1,"Aucune"
2,192002,82093,1,2,"Lauriers"
3,192003,82093,1,3,"Cœurs"
4,192004,82093,1,4,"Étoiles"
5,192005,82093,1,5,"Tank"
6,192006,82093,1,7,"DPS"
7,192007,82093,1,6,"Soigneur"
8,192008,82093,1,8,"Étincelles"
9,192009,82093,1,9,"Petons mignons"
10,192010,82093,1,10,"Point d'exclamation"
11,192011,82093,1,11,"Point d'interrogation"
12,192301,82093,124,2000,"Paladin"
13,192302,82093,125,2001,"Guerrier"
14,192303,82093,126,2002,"Chevalier noir"
15,192304,82093,127,2003,"Pistosabreur"
16,192305,82093,128,2004,"Mage blanc"
17,192306,82093,129,2005,"Érudit"
18,192307,82093,130,2006,"Astromancien"
19,192308,82093,131,2007,"Sage"
20,192309,82093,132,2008,"Moine"
21,192310,82093,133,2009,"Chevalier dragon"
22,192311,82093,134,2010,"Ninja"
23,192312,82093,135,2011,"Samouraï"
24,192313,82093,136,2012,"Faucheur"
25,192314,82093,137,2013,"Barde"
26,192315,82093,138,2014,"Machiniste"
27,192316,82093,139,2015,"Danseur"
28,192317,82093,140,2016,"Mage noir"
29,192318,82093,141,2017,"Invocateur"
30,192319,82093,142,2018,"Mage rouge"
31,192401,82093,143,3000,"Équipe Astra"
32,192402,82093,144,3001,"Équipe Umbra"
33,192403,82093,145,3002,"Roi du conflit"
34,192404,82093,146,3003,"Prince du conflit"
35,192405,82093,147,3004,"As du conflit"
36,192406,82093,148,3005,"Crystalline Conflict : bronze"
37,192407,82093,149,3006,"Crystalline Conflict : argent"
38,192408,82093,150,3007,"Crystalline Conflict : or"
39,192409,82093,151,3008,"Crystalline Conflict : platine"
40,192410,82093,152,3009,"Crystalline Conflict : diamant"
41,192411,82093,153,3010,"Crystalline Conflict : cristal"
42,192901,82093,154,4000,"Companion 1"
43,192902,82093,155,4001,"Companion 2"
44,0,0,0,0,""
45,0,0,0,0,""
46,0,0,0,0,""
47,0,0,0,0,""
48,0,0,0,0,""
49,0,0,0,0,""
50,0,0,0,0,""
51,0,0,0,0,""
52,0,0,0,0,""
53,0,0,0,0,""
54,0,0,0,0,""
55,0,0,0,0,""
56,0,0,0,0,""
57,0,0,0,0,""
58,0,0,0,0,""
59,0,0,0,0,""
60,0,0,0,0,""
61,0,0,0,0,""
62,0,0,0,0,""
63,0,0,0,0,""
64,0,0,0,0,""
65,0,0,0,0,""
66,0,0,0,0,""
67,0,0,0,0,""
68,0,0,0,0,""
69,0,0,0,0,""
70,0,0,0,0,""
71,0,0,0,0,""
72,0,0,0,0,""
73,0,0,0,0,""
74,0,0,0,0,""
75,0,0,0,0,""
76,0,0,0,0,""
77,0,0,0,0,""
78,0,0,0,0,""
79,0,0,0,0,""
80,0,0,0,0,""
81,0,0,0,0,""
82,0,0,0,0,""
83,0,0,0,0,""
84,0,0,0,0,""
85,0,0,0,0,""
86,0,0,0,0,""
87,0,0,0,0,""
88,0,0,0,0,""
89,0,0,0,0,""
90,0,0,0,0,""
91,0,0,0,0,""
92,0,0,0,0,""
93,0,0,0,0,""
94,0,0,0,0,""
95,0,0,0,0,""
96,0,0,0,0,""
97,0,0,0,0,""
98,0,0,0,0,""
99,0,0,0,0,""
100,0,0,0,0,""
