key,0,1,2,3,4,5
#,,,,,,
int32,byte,int32,byte,uint16,uint16,str
0,0,0,0,1,0,"Aucun"
1,2,194002,0,1,1,"Brillant"
2,2,194003,0,1,6,"Carrés"
3,2,194004,0,1,7,"Pointillés"
4,2,194005,0,1,8,"Damier"
5,2,194006,0,1,2,"Quadrillage"
6,2,194007,0,1,3,"Traits diagonaux"
7,2,194008,0,1,4,"Séparation diagonale"
8,2,194009,0,1,5,"Triangles"
9,2,194010,0,1,10,"Parchemin"
10,2,194011,0,1,9,"Coins décorés"
11,1,195002,0,1,1,"Ombre portée"
12,1,195003,0,1,2,"Liseré lumineux"
13,1,195004,0,1,3,"Violet à pois"
14,1,195005,0,1,4,"Carnet"
15,1,195006,0,1,5,"Fouillis"
16,1,195007,0,1,6,"Cercles magiques"
17,1,195008,0,1,7,"Parchemin"
18,1,195009,0,1,8,"Coups de pinceau"
19,1,195010,0,1,9,"Panneau métallique"
20,1,195011,0,1,10,"Livre"
21,3,197002,0,1,3,"Bannière"
22,3,197003,0,1,4,"Rappelé"
23,3,197004,0,1,5,"Cercle de métal"
24,3,197005,0,1,6,"Bannière tank"
25,3,197006,0,1,8,"Bannière DPS"
26,3,197007,0,1,7,"Bannière soigneur"
27,3,197008,0,1,1,"Beige"
28,3,197009,0,1,2,"En relief"
29,3,197010,0,1,9,"Mémos"
30,3,197011,0,1,10,"Fouillis"
31,4,198002,0,1,3,"Noir"
32,4,198003,0,1,2,"Blanc"
33,4,198004,0,1,5,"Gemmes en relief"
34,4,198005,0,1,4,"Gemmes simples"
35,4,198006,0,1,6,"Limsa Lominsa"
36,4,198007,0,1,7,"Gridania"
37,4,198008,0,1,8,"Ul'dah"
38,4,198009,0,1,1,"Métallique"
39,4,198010,0,298,10,"Triple Triade EX"
40,4,198011,0,298,9,"Triple Triade"
41,5,199002,0,1,1,"Gils"
42,5,199003,0,1,2,"Plume et encrier"
43,5,199004,0,1,3,"Autocollants"
44,5,199005,0,1,4,"Carte"
45,5,199006,0,1,5,"Ruban"
46,5,199007,0,1,6,"Lettres"
47,5,199008,0,1,7,"Notes de musique"
48,5,199009,0,1,8,"Bouquet de fleurs"
49,5,199010,0,1,9,"Mémos"
50,5,199011,0,1,10,"Timbres"
51,2,194201,0,156,950,"Gladiateur"
52,2,194202,0,157,951,"Maraudeur"
53,2,194203,0,158,952,"Élémentaliste"
54,2,194204,0,159,953,"Pugiliste"
55,2,194205,0,160,954,"Maître d'hast"
56,2,194206,0,161,955,"Surineur"
57,2,194207,0,162,956,"Archer"
58,2,194208,0,163,957,"Occultiste"
59,2,194209,0,164,958,"Arcaniste"
60,2,194210,0,300,1000,"Paladin"
61,2,194211,0,301,1001,"Guerrier"
62,2,194212,0,302,1002,"Chevalier noir"
63,2,194213,0,303,1003,"Pistosabreur"
64,2,194214,0,304,1004,"Mage blanc"
65,2,194215,0,305,1005,"Érudit"
66,2,194216,0,306,1006,"Astromancien"
67,2,194217,0,307,1007,"Sage"
68,2,194218,0,308,1008,"Moine"
69,2,194219,0,309,1009,"Chevalier dragon"
70,2,194220,0,310,1010,"Ninja"
71,2,194221,0,311,1011,"Samouraï"
72,2,194222,0,312,1012,"Faucheur"
73,2,194223,0,313,1013,"Barde"
74,2,194224,0,314,1014,"Machiniste"
75,2,194225,0,315,1015,"Danseur"
76,2,194226,0,316,1016,"Mage noir"
77,2,194227,0,317,1017,"Invocateur"
78,2,194228,0,318,1018,"Mage rouge"
79,2,194229,0,232,1019,"Mage bleu"
80,2,194230,0,268,1100,"Menuisier"
81,2,194231,0,269,1101,"Forgeron"
82,2,194232,0,270,1102,"Armurier"
