key,0,1,2
#,,,
int32,int32,byte,str
0,61762,0,"Nicht festgelegt"
1,61801,20,"Dungeons"
2,61804,21,"Prüfungen"
3,61802,22,"Raids"
4,61832,23,"Fatale Raids"
5,61824,30,"Tiefe Gewölbe"
6,61837,31,"Feldexkursionen"
7,61806,40,"PvP"
8,61836,51,"Blaumagier"
9,61808,52,"Schatzsuche"
10,61819,53,"Hohe Jagd"
11,61816,100,"Handwerk"
12,61755,101,"Sammeln"
13,61756,102,"Angeln"
14,61757,10,"Hauptszenario"
15,61820,54,"Gold Saucer"
16,61807,50,"Zufallsinhalte"
17,61752,150,"Stufenaufstieg"
18,61751,151,"Rollenspiel"
19,61754,153,"Hardcore"
20,61753,152,"Casual"
21,61823,154,"Anfänger"
22,61760,155,"Mentor"
23,61758,200,"Reichtümer anhäufen"
24,61764,204,"Gruppenfotos"
25,61759,203,"Projektionen"
26,61763,202,"Musik"
27,61765,205,"Chat"
28,61761,201,"Housing"
29,61766,206,"Spieler-Events"
30,0,0,""
