key,0,1,2,3,4
#,Group,Key,LookupTable,Text,GroupTitle
int32,uint16,uint16,str,str,str
100,1,0,"@","【Sprachen】","Sprachen."
101,1,1,"","Bitte benutz die Auto-Übersetzung.","Übersetzung"
102,1,10,"","Japanisch","-"
103,1,11,"","Englisch","-"
104,1,12,"","Französisch","-"
105,1,13,"","Deutsch","-"
106,1,31,"","Sprichst du Japanisch?","Japanisch."
107,1,32,"","Sprichst du Englisch?","Englisch."
108,1,33,"","Sprichst du Französisch?","Französisch."
109,1,34,"","Sprichst du Deutsch?","Deutsch."
110,1,41,"","Ich spreche kein Englisch.","Englisch.."
111,1,40,"","Ich spreche kein Japanisch.","Japanisch.."
112,1,42,"","Ich spreche kein Französisch.","Französisch.."
113,1,43,"","Ich spreche kein Deutsch.","Deutsch.."
114,1,20,"","Hör mir bitte zu.","-"
115,1,21,"","Kannst du mich hören?","hören"
116,1,22,"","Ich spreche es ein bisschen.","bisschen"
117,1,23,"","Ich verstehe es ein bisschen.","bisschen."
118,1,24,"","Benutz bitte einfache Wörter.","einfach"
119,1,25,"","Bitte benutz keine Abkürzungen.","Abkürzungen"
120,1,26,"","Ich brauche ein wenig Zeit, um zu antworten.","Zeit.."
121,1,30,"","Was ist deine Muttersprache?","Muttersprache"
200,2,0,"@","【Begrüßung】","Begrüßung."
201,2,1,"","Sehr erfreut.","freut"
202,2,2,"","Guten Morgen!","Morgen."
203,2,3,"","Hallo!","-"
204,2,4,"","Guten Abend!","Abend"
205,2,5,"","Gute Nacht!","Nacht."
206,2,6,"","Tschüs.","-"
207,2,7,"","Ich hatte heute viel Spaß!","Spaß"
208,2,8,"","Bis bald!","-"
209,2,9,"","Lass uns mal wieder gemeinsam spielen!","-"
210,2,10,"","Ich bin zurück.","zurück"
211,2,11,"","Willkommen zurück.","zurück."
212,2,12,"","Gratulation!","-"
213,2,13,"","Gut gemacht!","-"
214,2,14,"","Viel Glück!","-"
215,2,15,"","Super!","-"
216,2,16,"","Danke.","-"
217,2,17,"","Gern geschehen.","-"
218,2,18,"","Mach's gut!","-"
219,2,19,"","Es tut mir leid.","leid"
220,2,20,"","Verzeihung.","-"
221,2,21,"","Schade.","-"
222,2,22,"","Entschuldigung ...","-"
223,2,23,"","Gute Reise!","-"
224,2,24,"","Ich bin zum ersten Mal hier.","erste"
225,2,25,"","Ich freu mich schon darauf!","-"
226,2,26,"","Das war klasse!","-"
227,2,27,"","Auf geht's!","-"
228,2,28,"","Danke und vielleicht bis bald!","-"
229,2,29,"","Lass es uns entspannt angehen!","-"
230,2,31,"","Ich werd mein Bestes geben!","-"
231,2,30,"","Lasst uns alle unser Bestes geben!","-"
232,2,32,"","Hauptsache, es macht Spaß!","-"
233,2,33,"","Kühlen Kopf behalten und nicht aufgeben!","-"
300,3,0,"@","【Fragen】","Fragen."
301,3,1,"","Wer?","-"
302,3,2,"","Welche(r/s)?","-"
303,3,3,"","Wie?","-"
304,3,4,"","Was?","-"
305,3,5,"","Wann?","-"
306,3,6,"","Wie viele?","-"
307,3,7,"","Wo?","-"
308,3,8,"","Warum?","-"
309,3,9,"","Wieso?","-"
310,3,10,"","Wohin gehst du?","-"
311,3,11,"","Ist dir das möglich?","-"
312,3,12,"","Brauchst du Hilfe?","Hilfe"
313,3,13,"","Welchen Gildenfreibrief nehmen wir?","-"
314,3,14,"","Welche Inhalte kannst du schon machen?","Inhalte.."
315,3,15,"","Hast du's?","-"
316,3,16,"","Was für Waffen hast du?","Waffen"
317,3,17,"","Zu welchen Charakterklassen kannst du wechseln?","Klassen"
318,3,18,"","Welche Rollen kannst du sonst noch übernehmen?","Rollen.."
319,3,19,"","Hast du es angelegt?","angelegt"
320,3,20,"","Wie lautet der Schlachtplan?","Schlachtplan"
321,3,21,"","Kann ich dich auf meine Freundesliste setzen?","Freund"
322,3,22,"","Sollen wir eine Pause einlegen?","Pause."
323,3,23,"","Soll ich es reparieren?","reparieren."
324,3,24,"","Kannst du es für mich reparieren?","reparieren.."
325,3,25,"","Soll ich für dich Materia einsetzen?","Materia."
326,3,26,"","Kannst du für mich Materia einsetzen?","Materia.."
327,3,27,"","Willst du in meine Gruppe?","Gruppe."
328,3,28,"","Kann ich in deine Gruppe eintreten?","Gruppe.."
329,3,29,"","Sollen wir die Gruppe auflösen?","Gruppe..."
330,3,30,"","Möchtest du meinem Kontaktkreis beitreten?","Kontaktkreis."
331,3,31,"","Kannst du mich in deinen Kontaktkreis aufnehmen?","Kontaktkreis.."
332,3,32,"","Möchtest du meiner Freien Gesellschaft beitreten?","Freie Gesellschaft.."
333,3,33,"","Darf ich deiner Freien Gesellschaft beitreten?","Freie Gesellschaft..."
334,3,34,"","Was machst du?","-"
