key,0,1,2,3,4
#,Group,Key,LookupTable,Text,GroupTitle
int32,uint16,uint16,str,str,str
100,1,0,"@","【Langues】","Langues."
101,1,1,"","Utilisez la traduction automatique.","-"
102,1,10,"","Japonais","-"
103,1,11,"","Anglais","-"
104,1,12,"","Français","-"
105,1,13,"","Allemand","-"
106,1,31,"","Parlez-vous japonais ?","-"
107,1,32,"","Parlez-vous anglais ?","-"
108,1,33,"","Parlez-vous français ?","-"
109,1,34,"","Parlez-vous allemand ?","-"
110,1,41,"","Je ne parle pas anglais.","-"
111,1,40,"","Je ne parle pas japonais.","-"
112,1,42,"","Je ne parle pas français.","-"
113,1,43,"","Je ne parle pas allemand.","-"
114,1,20,"","Veuillez écouter.","-"
115,1,21,"","M'entendez-vous ?","-"
116,1,22,"","Je parle un peu.","-"
117,1,23,"","Je comprends un peu.","-"
118,1,24,"","Utilisez des mots simples.","-"
119,1,25,"","Évitez les abréviations.","-"
120,1,26,"","J'ai besoin de temps pour répondre.","-"
121,1,30,"","Quelle est votre langue maternelle ?","-"
200,2,0,"@","【Salutations】","Salutations."
201,2,1,"","Enchanté(e).","-"
202,2,2,"","Bonjour !","-"
203,2,3,"","Salut !","-"
204,2,4,"","Bonsoir !","-"
205,2,5,"","Bonne nuit !","-"
206,2,6,"","Au revoir !","-"
207,2,7,"","Je me suis bien amusé(e).","-"
208,2,8,"","À la prochaine !","-"
209,2,9,"","Rejouons ensemble une prochaine fois.","-"
210,2,10,"","Je suis de retour.","-"
211,2,11,"","Ça fait plaisir de vous revoir.","-"
212,2,12,"","Félicitations !","-"
213,2,13,"","Bien joué !","-"
214,2,14,"","Bon courage !","-"
215,2,15,"","Super !","-"
216,2,16,"","Merci.","-"
217,2,17,"","De rien.","-"
218,2,18,"","Prenez soin de vous.","-"
219,2,19,"","Je suis désolé(e).","-"
220,2,20,"","Pardonnez-moi.","-"
221,2,21,"","C'est dommage.","-"
222,2,22,"","Excusez-moi, vous avez un instant ?","-"
223,2,23,"","Bonne continuation !","-"
224,2,24,"","C'est la première fois que je viens ici.","-"
225,2,25,"","J'ai hâte !","-"
226,2,26,"","C'était génial !","-"
227,2,27,"","Faisons de notre mieux !","-"
228,2,28,"","Merci pour tout, et à bientôt peut-être.","-"
229,2,29,"","Allons nous amuser !","-"
230,2,31,"","Je ferai de mon mieux !","-"
231,2,30,"","On réussira ensemble !","-"
232,2,32,"","On va bien s'amuser !","-"
233,2,33,"","Allons-y tranquillement, ça va aller !","-"
300,3,0,"@","【Questions】","Questions."
301,3,1,"","Qui ?","-"
302,3,2,"","Lequel ?","-"
303,3,3,"","Comment faire ?","-"
304,3,4,"","Qu'est-ce que c'est ?","-"
305,3,5,"","Quand ?","-"
306,3,6,"","Combien ?","-"
307,3,7,"","Où ?","-"
308,3,8,"","Pourquoi ?","-"
309,3,9,"","Pour quelle raison ?","-"
310,3,10,"","Où allez-vous ?","-"
311,3,11,"","Pouvez-vous le faire ?","-"
312,3,12,"","Avez-vous besoin d'aide ?","-"
313,3,13,"","Quelle mission voulez-vous faire ?","-"
314,3,14,"","Quelles missions pouvez-vous faire ?","-"
315,3,15,"","L'avez-vous ?","-"
316,3,16,"","Quelles armes possédez-vous ?","-"
317,3,17,"","Quelles autres classes pouvez-vous jouer ?","-"
318,3,18,"","Quels autres rôles pouvez-vous jouer ?","-"
319,3,19,"","Avez-vous enregistré toutes vos actions ?","-"
320,3,20,"","Quel est le plan de bataille ?","-"
321,3,21,"","Puis-je t'ajouter à ma liste d'amis ?","-"
322,3,22,"","Pouvons-nous faire une pause ?","-"
323,3,23,"","Voulez-vous que je répare ?","-"
324,3,24,"","Pouvez-vous réparer quelque chose pour moi ?","-"
325,3,25,"","Voulez-vous que je sertisse une matéria ?","-"
326,3,26,"","Pouvez-vous sertir une matéria pour moi ?","-"
327,3,27,"","Voulez-vous rejoindre mon équipe ?","-"
328,3,28,"","Pourriez-vous m'ajouter dans votre équipe ?","-"
329,3,29,"","Est-ce qu'on dissout l'équipe ?","-"
330,3,30,"","Voulez-vous rejoindre ma linkshell ?","-"
331,3,31,"","Puis-je rejoindre votre linkshell ?","-"
332,3,32,"","Voulez-vous rejoindre ma compagnie libre ?","-"
333,3,33,"","Puis-je rejoindre votre compagnie libre ?","-"
334,3,34,"","Que faites-vous ?","-"
335,3,35,"","Voulez-vous jouer à Triple Triade ?","-"
336,3,36,"","Peut-on changer les règles ?","-"
337,3,37,"","Voulez-vous faire un match de tournoi ?","-"
338,3,38,"","Avez-vous assez de PM ?","-"
339,3,39,"","Y a-t-il quelque chose que vous voulez savoir ?","-"
340,3,40,"","Vous l'avez vu(e) ?","-"
341,3,41,"","Quelle est la stratégie ?","-"
