key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
#,ShortCode,TerritoryType,ContentLinkType,Content,PvP,,,,AcceptClassJobCategory,ContentMemberType,,,,UnlockQuest,,ClassJobLevel{Required},ClassJobLevel{Sync},ItemLevel{Required},ItemLevel{Sync},,AllowUndersized,AllowReplacement,,AllowExplorerMode,,,,,HighEndDuty,,,,,DutyRecorderAllowed,,,,,Name,NameShort,ContentType,TransientKey,Transient,SortKey,Image,Icon,,,,Level50/60/70Roulette,LevelingRoulette,MSQRoulette,GuildHestRoulette,ExpertRoulette,TrialRoulette,DailyFrontlineChallenge,Level80Roulette,MentorRoulette,,,,,,AllianceRoulette,FeastTeamRoulette,NormalRaidRoulette,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,TerritoryType,byte,Row,bit&01,byte,uint32,uint32,ClassJobCategory,ContentMemberType,byte,byte,byte,Quest,uint16,byte,byte,uint16,uint16,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,byte,bit&01,bit&02,bit&04,byte,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,str,str,ContentType,byte,Row,uint16,Image,Image,sbyte,int32,bit&04,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool
0,"",0,0,0,False,0,0,0,108,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,0,False,False,False,0,False,False,False,True,False,False,False,"","",0,0,0,0,0,0,-1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,"f1r1_re",1039,1,1,False,0,0,0,108,2,0,0,0,0,0,24,27,0,0,False,True,True,True,False,False,False,1,True,False,True,0,False,False,False,True,False,False,False,"les Mille Gueules de Toto-Rak","",2,6,1,5,112005,0,-1,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,"f1d1_re",1037,1,2,False,0,0,0,108,2,0,0,0,0,0,16,19,0,0,False,True,True,True,False,False,False,1,True,False,True,0,False,False,False,True,False,False,False,"l'Hypogée de Tam-Tara","",2,6,2,2,112002,0,-1,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,"w1d1_re",1038,1,3,False,0,0,0,108,2,0,0,0,0,0,17,20,0,0,False,True,True,True,False,False,False,1,True,False,True,0,False,False,False,True,False,False,False,"les Mines de Clochecuivre","",2,6,3,3,112003,0,-1,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,"s1d1_re",1036,1,4,False,0,0,0,108,2,0,0,0,0,0,15,18,0,0,False,True,True,True,False,False,False,1,True,False,True,0,False,False,False,True,False,False,False,"Sastasha","",2,6,4,1,112001,0,-1,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,"r1r2",172,1,5,False,0,0,0,108,2,0,0,0,0,0,47,49,0,0,False,True,True,True,False,False,False,1,True,False,True,0,False,False,False,True,False,False,False,"le Val d'Aurum","",2,6,5,12,112014,0,-1,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,"f1d2_re",1040,1,6,False,0,0,0,108,2,0,0,0,0,0,28,31,0,0,False,True,True,True,False,False,False,1,True,False,True,0,False,False,False,True,False,False,False,"le Manoir des Haukke","",2,6,6,6,112006,0,-1,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,"w1d2",162,1,7,False,0,0,0,108,2,0,0,0,0,0,20,23,0,0,False,True,True,True,False,False,False,1,True,False,True,0,False,False,False,True,False,False,False,"Halatali","",2,6,7,4,112004,0,-1,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
