key,0,1,2,3,4,5,6,7,8,9,10,11
#,,Name,Color,,TextString,,,,,,,
int32,byte,str,ContentGaugeColor,bit&01,str,int16,sbyte,byte,int16,sbyte,byte,int16
0,0,"",0,True,"",-1,1,0,-1,1,0,0
1,0,"",0,False,"",0,0,0,0,0,0,0
2,0,"",0,False,"",0,0,0,0,0,0,0
3,0,"Denaturierter Äther",4,True,"ContentGaugeMax_negative",80,1,2,-1,1,0,0
4,0,"Gesammelter Äther",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
5,0,"Pakt mit der Erde",3,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
6,0,"Gold",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
7,0,"Lockende Umarmung",4,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
8,0,"Hashmallims Mana",3,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
9,0,"Bahamut-Äther",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
10,0,"Leere",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
11,0,"Fordolas Barriere",1,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
12,0,"Mateus' Äther",1,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
13,0,"Ätherbeschleunigung",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
14,0,"Genbus Geist",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
15,0,"Liebe",2,False,"",60,1,3,90,1,1,0
16,0,"Zu Boden gehen",3,False,"ContentGaugeMax_positive",30,-1,2,-1,1,0,0
17,0,"Hass",1,True,"ContentGaugeMax_negative",50,1,3,80,1,2,0
18,0,"Qitian Dashengs Zauberkraft",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
19,0,"Ultima-Äther",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
20,0,"Magie",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
21,0,"Magie",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
22,0,"Göttliche Kraft",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
23,0,"Dunkelrote Melodie",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
24,0,"Midgardsormrs Äther",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
25,0,"Meteoreinschlag",3,True,"ContentGaugeMax_negative",80,1,2,-1,1,0,0
26,0,"Dunkler Äther",1,False,"ContentGaugeMax_negative",50,1,3,80,1,2,0
27,0,"Elektrische Kraftkonzentration",1,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
28,0,"Heilige Klinge",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
29,0,"Seiryus göttliche Gabe",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
30,0,"Magische Barriere",2,False,"",30,1,3,50,1,1,0
31,0,"Gesammelter Äther",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
32,0,"Schwertkunst",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
33,0,"Titanias Naturmagie",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
34,0,"Innozenz' Einfluss",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
35,0,"Gebet der Alten",1,True,"ContentGaugeMax_negative",100,1,2,-1,1,0,0
36,0,"Gespeicherte Energie",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
37,0,"Hacken",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
38,0,"Lichtflut",4,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
39,0,"Energieladung",3,True,"ContentGaugeMax_negative",80,1,2,-1,1,0,0
40,0,"Dalamud-Äther",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
41,0,"Limitrausch",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
42,0,"Macht der Muttersau",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
43,0,"Gaias Erinnerungen",2,False,"",35,1,3,50,1,1,0
44,0,"Za Das Besessenheit",3,False,"",-1,1,0,-1,1,0,0
45,0,"Ätherladung",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
46,0,"Chaos",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
47,0,"Hoffnungslosigkeit",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
48,0,"Errichtung des kosmischen Bannkreises",1,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
49,0,"Wachsamkeit",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
50,0,"Zodiarks Macht",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
51,0,"Gesammelter Äther",4,True,"ContentGaugeMax_negative",100,1,2,-1,1,0,0
52,0,"",0,False,"",0,0,0,0,0,0,0
53,0,"Nidhoggs Einfluss",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
54,1,"",0,True,"",600,1,0,900,1,0,0
55,0,"Fafnirs magische Macht",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
56,0,"Feuer des Phoinix",1,True,"ContentGaugeMax_negative",50,1,3,80,1,2,0
57,0,"Venats Äther",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
58,0,"Gaius' Schwertenergie",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
59,0,"",0,False,"",0,0,0,0,0,0,0
60,0,"",0,False,"",0,0,0,0,0,0,0
61,0,"Lahabreas Magiekraft",3,True,"ContentGaugeMax_negative",100,1,2,-1,1,0,0
