key,0,1,2,3,4,5,6,7,8,9,10,11
#,,Name,Color,,TextString,,,,,,,
int32,byte,str,ContentGaugeColor,bit&01,str,int16,sbyte,byte,int16,sbyte,byte,int16
0,0,"",0,True,"",-1,1,0,-1,1,0,0
1,0,"",0,False,"",0,0,0,0,0,0,0
2,0,"",0,False,"",0,0,0,0,0,0,0
3,0,"Éther corrompu",4,True,"ContentGaugeMax_negative",80,1,2,-1,1,0,0
4,0,"Éther accumulé",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
5,0,"Pacte avec la terre",3,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
6,0,"Or accumulé",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
7,0,"Étreinte séduisante",4,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
8,0,"Puissance magique de Hashmal",3,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
9,0,"Éther de Bahamut",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
10,0,"Néant",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
11,0,"Éther de Fordola",1,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
12,0,"Éther de Mateus",1,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
13,0,"Accélération éthéréenne",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
14,0,"Énergie de Genbu",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
15,0,"Affinité",2,False,"",60,1,3,90,1,1,0
16,0,"Mise au sol",3,False,"ContentGaugeMax_positive",30,-1,2,-1,1,0,0
17,0,"Ressentiment",1,True,"ContentGaugeMax_negative",50,1,3,80,1,2,0
18,0,"Énergie de Qitian Dasheng",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
19,0,"Éther d'Ultima Arma",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
20,0,"Puissance magique de Yiazmat",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
21,0,"Puissance magique de Belias",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
22,0,"Pouvoir suprême",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
23,0,"Mélodie vermillon",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
24,0,"Éther de Midgardsormr",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
25,0,"Chute de météore",3,True,"ContentGaugeMax_negative",80,1,2,-1,1,0,0
26,0,"Puissance magique du cristal noir",1,False,"ContentGaugeMax_negative",50,1,3,80,1,2,0
27,0,"Concentration électrique",1,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
28,0,"Épée sacrée",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
29,0,"Grâce de Seiryû",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
30,0,"Résistance de la barrière magique",2,False,"",30,1,3,50,1,1,0
31,0,"Éther accumulé",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
32,0,"Passe d'armes",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
33,0,"Puissance magique de Titania",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
34,0,"Jugement suprême",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
35,0,"Ferveur des anciens",1,True,"ContentGaugeMax_negative",100,1,2,-1,1,0,0
36,0,"Charge énergétique",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
37,0,"Progression du piratage",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
38,0,"Déluge de Lumière",4,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
39,0,"Charge énergétique",3,True,"ContentGaugeMax_negative",80,1,2,-1,1,0,0
40,0,"Éther de Dalamud",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
41,0,"Transcendance",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
42,0,"Puissance magique de la mère porxie",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
43,0,"Souvenirs de Gaïa",2,False,"",35,1,3,50,1,1,0
44,0,"Résistance de Za Da",3,False,"",-1,1,0,-1,1,0,0
45,0,"Éther accumulé",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
46,0,"Chaos",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
47,0,"Désespoir",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
48,0,"Déploiement de la Lice cardinale",1,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
49,0,"Méfiance des soldats",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
50,0,"Puissance de Zordiarche",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
51,0,"Éther accumulé",4,True,"ContentGaugeMax_negative",100,1,2,-1,1,0,0
52,0,"",0,False,"",0,0,0,0,0,0,0
53,0,"Emprise de Nidhogg",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
54,1,"",0,True,"",600,1,0,900,1,0,0
55,0,"Puissance magique de Fafner",2,True,"ContentGaugeMax_negative",-1,1,0,-1,1,0,0
56,0,"Puissance magique du protophénix",1,True,"ContentGaugeMax_negative",50,1,3,80,1,2,0
57,0,"Éther de Venat",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
58,0,"Énergie de l'épée de Gaius",1,True,"ContentGaugeMax_negative",60,1,3,80,1,2,0
59,0,"",0,False,"",0,0,0,0,0,0,0
60,0,"",0,False,"",0,0,0,0,0,0,0
61,0,"Puissance magique de Lahabrea",3,True,"ContentGaugeMax_negative",100,1,2,-1,1,0,0
