key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
#,Name,Category,,Description,DutyType,,,IsGoldSaucer,IsInDutyFinder,OpenRule,IsPvP,RequiredLevel,,ItemLevel{Required},,Icon,ContentRouletteRoleBonus,Reward{TomeA},Reward{TomeB},Reward{TomeC},,,SortKey,,ContentMemberType,,,,,,,,,,RequireAllDuties,,ContentRouletteOpenRule,InstanceContent,,,,
int32,str,str,str,str,str,byte,uint32,bit&01,bit&02,ContentRouletteOpenRule,bit&04,byte,byte,uint16,uint16,Image,ContentRouletteRoleBonus,uint16,uint16,uint16,uint32,uint16,byte,byte,ContentMemberType,byte,byte,sbyte,byte,byte,byte,byte,bit&08,bit&10,bit&20,bit&40,byte,InstanceContent,bit&80,byte,bit&01,bit&02
0,"","","","","",0,0,False,False,1,False,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,-1,0,0,0,0,True,True,False,False,0,0,False,0,False,True
1,"Zufallsinhalt: Stufensteigerung","Stufensteigerung","","Aus den freigeschalteten Dungeons und Prüfungen wird ein Inhalt zufällig ausgewählt. Der erfolgreiche Abschluss wird mit einem Bonus belohnt.

※ Die Höhe des Routine- und Gil-Bonus richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Höhe des Staatstaler-Bonus richtet sich nach der Klassen- bzw. Jobstufe.
※ Der Bonus für Zufallsinhalte kann einmal pro Tag erhalten werden.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.","Dungeons und Prüfungen für Leichte Trupps",0,0,False,True,1,False,16,16,0,0,112034,1,0,100,20,0,0,4,142,2,0,0,0,1,0,90,0,True,True,False,False,2,0,False,0,False,True
2,"Zufallsinhalt: Stufe 50/60/70/80","Stufe 50/60/70/80","","Aus den freigeschalteten Dungeons für die Stufen 50, 60, 70 und 80 wird einer zufällig ausgewählt. Der erfolgreiche Abschluss wird mit einem Bonus belohnt.

※ Die Höhe des Routine- und Gil-Bonus richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Der Bonus für Zufallsinhalte kann einmal pro Tag erhalten werden.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.","Dungeons (St. 50/60/70/80) für Leichte Trupps",0,0,False,True,1,False,50,50,45,0,112035,2,100,120,0,0,0,3,142,2,0,0,1,1,0,90,0,True,True,False,False,2,0,False,0,False,True
3,"Zufallsinhalt: Hauptszenario","Hauptszenario","","Aus den freigeschalteten Dungeons des Hauptszenarios wird einer zufällig ausgewählt. Der erfolgreiche Abschluss wird mit einem Bonus belohnt.

※ Videosequenzen der Dungeons können nicht übersprungen werden.
※ Die Höhe des Routine- und Gil-Bonus richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Der Bonus für Zufallsinhalte kann einmal pro Tag erhalten werden.
※ Bei Teilnahme als Teilgruppe wird kein Bonus für gefragte Rollen gewährt.","Dungeons für Volle Trupps",0,0,False,True,1,False,50,50,42,0,112036,3,350,100,50,0,0,6,142,2,0,0,2,1,0,60,120,True,True,False,False,2,0,False,0,False,True
4,"Zufallsinhalt: Gildengeheiß","Gildengeheiß","","Aus den freigeschalteten Gildengeheißen wird eines zufällig ausgewählt. Der erfolgreiche Abschluss wird mit einem Bonus belohnt.

※ Die Höhe des Routine- und Gil-Bonus richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Höhe des Staatstaler-Bonus richtet sich nach der Klassen- bzw. Jobstufe.
※ Der Bonus für Zufallsinhalte kann einmal pro Tag erhalten werden.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.
※ Für bereits vollständige Vierer-Gruppen ist nur in Inhalten für Vierer-Gruppen jede Zusammensetzung erlaubt.","Gildengeheiße",0,0,False,True,1,False,10,10,0,0,112037,4,0,0,0,0,0,7,142,3,0,0,3,1,0,30,0,True,True,False,False,2,0,False,0,False,True
5,"Zufallsinhalt: Experte","Experte","","Aus den freigeschalteten Experten-Dungeons wird einer zufällig ausgewählt. Der erfolgreiche Abschluss wird mit einem Bonus belohnt.

※ Die Höhe des Routine- und Gil-Bonus richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Der Bonus für Zufallsinhalte kann einmal pro Tag erhalten werden.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.","Experten-Dungeons für Leichte Trupps",4,0,False,True,2,False,90,90,560,0,112057,5,0,60,40,0,0,1,142,2,0,0,4,1,0,90,0,True,True,False,False,2,0,False,0,False,True
6,"Zufallsinhalt: Prüfung","Prüfung","","Aus den freigeschalteten Prüfungen für Volle Trupps wird eine zufällig ausgewählt. Der erfolgreiche Abschluss wird mit einem Bonus belohnt.

※ Der Bonus für Zufallsinhalte kann einmal pro Tag erhalten werden.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.","Prüfungen für Volle Trupps",0,0,False,True,1,False,50,50,90,0,112056,6,0,60,15,0,0,5,142,3,0,0,5,1,0,60,0,True,True,False,False,2,0,False,0,False,True
7,"Tagesherausforderung: PvP-Front","PvP-Front","","Teilnahme am aktuellen PvP-Front-Tageskampf (aufgeführt unter <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Information<UIGlow>01</UIGlow><UIForeground>01</UIForeground>). Der erfolgreiche Abschluss wird mit einem Bonus belohnt.

※ Der Bonus für Tagesherausforderungen kann einmal pro Tag erhalten werden.","Onsal Hakair (Danshig Naadam)",0,0,False,True,3,True,30,30,0,0,112083,0,0,50,20,1000,1000,15,146,24,0,0,6,1,28,20,0,True,True,False,False,0,0,False,0,False,True
