key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
#,Name,Category,,Description,DutyType,,,IsGoldSaucer,IsInDutyFinder,OpenRule,IsPvP,RequiredLevel,,ItemLevel{Required},,Icon,ContentRouletteRoleBonus,Reward{TomeA},Reward{TomeB},Reward{TomeC},,,SortKey,,ContentMemberType,,,,,,,,,,RequireAllDuties,,ContentRouletteOpenRule,InstanceContent,,,,
int32,str,str,str,str,str,byte,uint32,bit&01,bit&02,ContentRouletteOpenRule,bit&04,byte,byte,uint16,uint16,Image,ContentRouletteRoleBonus,uint16,uint16,uint16,uint32,uint16,byte,byte,ContentMemberType,byte,byte,sbyte,byte,byte,byte,byte,bit&08,bit&10,bit&20,bit&40,byte,InstanceContent,bit&80,byte,bit&01,bit&02
0,"","","","","",0,0,False,False,1,False,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,-1,0,0,0,0,True,True,False,False,0,0,False,0,False,True
1,"Mission aléatoire : gain de niveaux","Gain de niveaux","","Cette option sélectionne aléatoirement une mission parmi les donjons et défis pour petite équipe auxquels vous avez accès, avec une plus grande récompense en cas de réussite.

* Le bonus d'expérience et de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* Le nombre de sceaux de grande compagnie reçu dépend du niveau de la classe ou du job.
* La récompense de mission aléatoire est limitée à une fois par jour.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons et défis pour petite équipe",0,0,False,True,1,False,16,16,0,0,112034,1,0,100,20,0,0,4,142,2,0,0,0,1,0,90,0,True,True,False,False,2,0,False,0,False,True
2,"Mission aléatoire : donjons nv 50/60/70/80","Donjons nv 50/60/70/80","","Cette option sélectionne aléatoirement une mission parmi les donjons de niveaux 50, 60, 70 et 80 auxquels vous avez accès, avec une plus grande récompense en cas de réussite.

* Les bonus de points d'expérience et de gils sont basés sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* La récompense de mission aléatoire est limitée à une fois par jour.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons de niveaux 50, 60, 70 et 80 pour petite équipe",0,0,False,True,1,False,50,50,45,0,112035,2,100,120,0,0,0,3,142,2,0,0,1,1,0,90,0,True,True,False,False,2,0,False,0,False,True
3,"Mission aléatoire : épopée","Épopée","","Cette option sélectionne aléatoirement une mission parmi celles de l'épopée auxquelles vous avez accès, avec une plus grande récompense en cas de réussite.

* Les scènes cinématiques de ces missions de l'épopée ne peuvent pas être passées.
* Le bonus d'expérience et de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* La récompense de mission aléatoire est limitée à une fois par jour.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons pour équipe complète",0,0,False,True,1,False,50,50,42,0,112036,3,350,100,50,0,0,6,142,2,0,0,2,1,0,60,120,True,True,False,False,2,0,False,0,False,True
4,"Mission aléatoire : opérations de guilde","Opérations de guilde","","Cette option sélectionne aléatoirement une mission parmi les opérations de guilde auxquelles vous avez accès. Si vous la réussissez, vous gagnerez une plus grande récompense que si vous y aviez participé en la désignant.

* Le bonus d'expérience et de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* Le nombre de sceaux de grande compagnie reçu dépend du niveau de la classe ou du job.
* La récompense de mission aléatoire est limitée à une fois par jour.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.
* L'enregistrement en petite équipe ne donne accès qu'aux opérations de guilde prévues pour 4 joueurs et peut être fait sans restriction quant aux rôles.","Type de missions : opérations de guilde",0,0,False,True,1,False,10,10,0,0,112037,4,0,0,0,0,0,7,142,3,0,0,3,1,0,30,0,True,True,False,False,2,0,False,0,False,True
5,"Mission aléatoire : expert","Expert","","Cette option sélectionne aléatoirement une mission parmi les donjons experts que vous avez terminés, avec une plus grande récompense en cas de réussite.

* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* La récompense de mission aléatoire est limitée à une fois par jour.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons experts pour petite équipe",4,0,False,True,2,False,90,90,560,0,112057,5,0,60,40,0,0,1,142,2,0,0,4,1,0,90,0,True,True,False,False,2,0,False,0,False,True
6,"Mission aléatoire : défis","Défis","","Cette option sélectionne aléatoirement une mission parmi les défis pour équipe complète auxquels vous avez accès, avec une plus grande récompense en cas de réussite.

* La récompense de mission aléatoire est limitée à une fois par jour.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : défis pour équipe complète",0,0,False,True,1,False,50,50,90,0,112056,6,0,60,15,0,0,5,142,3,0,0,5,1,0,60,0,True,True,False,False,2,0,False,0,False,True
7,"Challenge quotidien : Front","Front","","Cette option vous fait participer à la bataille du jour du Front (indiquée dans la rubrique in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions), avec un bonus de récompense en cas de réussite.

* Le bonus de récompense du challenge quotidien est limité à une fois par jour.","Type de missions : Onsal Hakair (Danshig Naadam)",0,0,False,True,3,True,30,30,0,0,112083,0,0,50,20,1000,1000,15,146,24,0,0,6,1,28,20,0,True,True,False,False,0,0,False,0,False,True
