key,0,1
#,Image,Description
int32,Image,str
0,0,""
1,86801,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>Die Bozja-Südfront ist ein Inhalt mit besonderen Regeln und Spielmechaniken.
Bitte lies die folgenden Erklärungen sorgfältig durch, bevor du dich ins Gefecht gegen die IV. Kaiserliche Legion stürzt!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
2,86801,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>■ Es findet eine Anpassung auf Stufe 80 statt!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Der Inhalt kann mit jedem Job ab Stufe 71 betreten werden. Der Job wird dann auf Stufe 80 angepasst. Auch die Ausrüstung wird auf eine passende Gegen<SoftHyphen/>stands<SoftHyphen/>stufe angehoben.

<UIForeground>0F</UIForeground>※Mit Betreten werden alle Jobkommandos bis Stufe 80 freigeschaltet.<UIForeground>01</UIForeground>"
3,86802,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>■ Sammle Frontwissen und steigere deinen Widerstandsrang!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Der Widerstandsrang ist eine besondere Spielmechanik für die Südfront. Steigere ihn mit Frontwissen, das in besonderen Ereignissen (Scharmützeln und kritischen Gefechten) gesammelt werden kann. Je besser du abschneidest, desto mehr Frontwissen erhältst du.

<UIForeground>0F</UIForeground>※ Frontwissen wird nicht nur durch das Besiegen von Gegnern erworben. Beachte außerdem, dass du es erst bei Abschluss des Ereignisses erhältst.<UIForeground>01</UIForeground>"
4,86802,"Sprich mit dem Strategieoffizier im Lager, wenn du genügend Frontwissen gesammelt hast. Er wird deinen Widerstandsrang anheben.

Mit steigendem Widerstandsrang schaltest du neue Kampfgebiete und Aufträge frei.

<UIForeground>0F</UIForeground>※ Vergiss nicht, dich beim Strategieoffizier zu melden! Sonst wird dein Rang nicht angehoben, auch wenn du genug Frontwissen gesammelt hast!<UIForeground>01</UIForeground>"
5,86802,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>■ Sammle Routine für deinen Job!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Scharmützel und kritische Gefechte sind außerdem eine gute Gelegenheit, Routine für den Stufenaufstieg deines Jobs zu erwerben. Der Stufenaufstieg geschieht wie gewohnt automatisch, wenn du ausreichend Routine gesammelt hast."
6,86803,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>■ Sprich mit den NPCs!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Die NPCs im Inhalt liefern weitere Erklärungen zu den Regeln und Spielmechaniken. Sprich mit ihnen, um sicherzugehen, dass du das Meiste aus dem Inhalt herausholst."
