key,0,1
#,Image,Description
int32,Image,str
0,0,""
1,86801,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>Le Front sud de Bozja est une mission spéciale durant laquelle les joueurs doivent coopérer en grand nombre afin de soutenir les résistants dans leur lutte contre la 4e légion impériale.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

<UIForeground>0F</UIForeground>* Les pages suivantes expliquent les règles propres à cette mission.
Les lire vous permettront de profiter pleinement de cette mission de grande envergure.<UIForeground>01</UIForeground>"
2,86801,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>■ Synchronisation spéciale des jobs au niveau 80<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Le Front sud de Bozja est ouvert à tous les jobs de niveau 71 ou plus.
Une fois dans l'instance, les personnages sont tous synchronisés au niveau 80.
En outre, leur niveau d'objet est lui aussi synchronisé. Il n'est donc pas nécessaire de revêtir un équipement spécial pour profiter de cette mission.

<UIForeground>0F</UIForeground>* Une fois sur le Front sud de Bozja, toutes les actions de jobs jusqu'au niveau 80 deviennent disponibles.<UIForeground>01</UIForeground>"
3,86802,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>■ Faites grimper votre rang de résistant<If(PlayerParameter(4))>e<Else/></If> en accumulant des points de faits d'armes<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Participer à des combats spéciaux, comme les escarmouches ou les af<SoftHyphen/>fron<SoftHyphen/>te<SoftHyphen/>ments cruciaux, permet d'obtenir des points de faits d'armes. Vous en recevez d'autant plus que l'évaluation de votre par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pa<SoftHyphen/>tion à ces combats est élevée.

<UIForeground>0F</UIForeground>* Vaincre des bêtes sauvages ou des troupes impériales n'octroie à eux seuls aucun point de faits d'armes.<UIForeground>01</UIForeground>"
4,86802,"Une fois que vous avez accumulé assez de points de faits d'armes, il suffit de parler à l'officier d'état-major du front sud pour qu'il vous octroie le rang de résistant<If(PlayerParameter(4))>e<Else/></If> suivant. Un rang plus élevé permet d'étendre la zone de combat en repoussant les lignes ennemies, mais aussi de progresser dans la quête principale de Garde-la-Reine.

<UIForeground>0F</UIForeground>* Votre rang de résistant<If(PlayerParameter(4))>e<Else/></If> n'augmentera pas sans points de faits d'armes. Brillez sur le champ de bataille et rapportez vos exploits à l'état-major pour gagner du galon<Indent/>!<UIForeground>01</UIForeground>"
5,86802,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>■ L'occasion parfaite de monter vos autres jobs<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Remporter des escarmouches ou des af<SoftHyphen/>fron<SoftHyphen/>te<SoftHyphen/>ments cruciaux permet aussi de gagner des points d'expérience et de passer des niveaux pour le job utilisé. Con<SoftHyphen/>trai<SoftHyphen/>re<SoftHyphen/>ment aux rangs de résistant, ces gains sont automatiques, et il n'est pas nécessaire de s'adresser à l'officier d'état-major pour les obtenir.

Profitez-en donc pour monter vos jobs qui ne sont pas encore au niveau 80<Indent/>!"
6,86803,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>■ Des interrogations<Indent/>?<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Si vous pensez ne pas avoir bien compris le fonc<SoftHyphen/>tion<SoftHyphen/>ne<SoftHyphen/>ment du Front sud de Bozja, Sjeros à Gangos et le guide de la résistance sur le front pourront vous renseigner. N'hésitez pas à leur demander des précisions, ils sont là pour ça<Indent/>!"
