key,0,1,2,3
#,Class{Singular},,VoiceLine,Class{Plural}
int32,str,str,uint32,str
0,"","",0,""
1,"Academician","Alphinaud",8202013,"Heiler"
2,"Red Mage","Alisaie",8202035,"Rotmagierin"
3,"Gunbreaker","Thancred",8202055,"Revolverklinge"
4,"Oracle of Light","Minfilia",8202072,"Orakel des Lichts"
5,"Astrologian","Urianger",8202092,"Astrologe"
6,"Sorceress","Y'shtola",8202105,"Hexe"
7,"Oracle of Light","Ryne",8202072,"Orakel des Lichts"
8,"Guard Captain","Lyna",8202146,"Kommandantin"
9,"All-Rounder","Kristallexarch",8202128,"Allrounder"
10,"All-Rounder","G'raha Tia",8202346,"Allrounder"
11,"Sage","Alphinaud",8203013,"Weiser"
12,"Dragoon","Estinien",8203064,"Dragoon"
13,"Lithomancer","Urianger",8202092,"Signa-Deuter"
14,"All-Rounder","Venas",8203122,"Allrounder"
15,"The Third Seat","Emet-Selch",8203219,"Der Dritte Sitz"
16,"Soulseer","Hythlodaeus",8203239,"Seelenseher"
17,"Marauder","Kühner Marodeur",0,"Marodeur"
18,"Lancer","Kühner Pikenier",0,"Pikenier"
19,"Thaumaturge","Kühner Thaumaturg",0,"Thaumaturg"
20,"Conjurer","Kühner Druide",0,"Druide"
21,"Marauder","Marodeur der Morgenröte",0,"Marodeur"
22,"Lancer","Pikenier der Morgenröte",0,"Pikenier"
23,"Thaumaturge","Thaumaturg der Morgenröte",0,"Thaumaturg"
24,"Conjurer","Druide der Morgenröte",0,"Druide"
25,"Marauder","Mahlstrom-Marodeur",0,"Marodeur"
26,"Lancer","Bruderschaftspikenier",0,"Pikenier"
27,"Thaumaturge","Legionsthaumaturg",0,"Thaumaturg"
28,"Conjurer","Bruderschaftsdruide",0,"Druide"
