key,0,1,2,3
#,Class{Singular},,VoiceLine,Class{Plural}
int32,str,str,uint32,str
0,"","",0,""
1,"Academician","Alphinaud",8202013,"Académicien"
2,"Red Mage","Alisaie",8202027,"Mage rouge"
3,"Gunbreaker","Thancred",8202052,"Pistosabreur"
4,"Oracle of Light","Minfilia",8202069,"Prêtresse de la Lumière"
5,"Astrologian","Urianger",8202080,"Astromancien"
6,"Sorceress","Y'shtola",8202110,"Sorcière"
7,"Oracle of Light","Ryne",8202069,"Prêtresse de la Lumière"
8,"Guard Captain","Lyna",8202144,"Capitaine de la garde"
9,"All-Rounder","Exarque du Cristal",8202128,"Prodige universel"
10,"All-Rounder","G'raha Tia",8202346,"Prodige universel"
11,"Sage","Alphinaud",8203013,"Sage"
12,"Dragoon","Estinien",8203064,"Chevalier dragon"
13,"Lithomancer","Urianger",8202092,"Lithomancien"
14,"All-Rounder","Venat",8203122,"Prodige universel"
15,"The Third Seat","Emet-Selch",8203219,"Troisième siège"
16,"Soulseer","Hythlodaeus",8203239,"Scrutateur des âmes"
17,"Marauder","Maraudeur volontaire",0,"Maraudeur"
18,"Lancer","Maître d'hast volontaire",0,"Maître d'hast"
19,"Thaumaturge","Occultiste volontaire",0,"Occultiste"
20,"Conjurer","Élémentaliste volontaire",0,"Élémentaliste"
21,"Marauder","Maraudeur des Héritiers",0,"Maraudeur"
22,"Lancer","Maître d'hast des Héritiers",0,"Maître d'hast"
23,"Thaumaturge","Occultiste des Héritiers",0,"Occultiste"
24,"Conjurer","Élémentaliste des Héritiers",0,"Élémentaliste"
25,"Marauder","Maraudeur du Maelstrom",0,"Maraudeur"
26,"Lancer","Maître d'hast des Deux Vipères",0,"Maître d'hast"
27,"Thaumaturge","Occultiste des Immortels",0,"Occultiste"
28,"Conjurer","Élémentaliste des Deux Vipères",0,"Élémentaliste"
