key,0,1,2,3,4,5,6,7,8,9,10,11
#,Icon,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Tooltip,Action
int32,Image,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,Action
0,0,"",0,"",0,0,1,0,0,"","",0
1,27976,"",0,"",0,0,1,0,0,"Tongefäß des Siegelbruchs","Entfernt alle Fallen der aktuellen Ebene.",6259
2,27977,"",0,"",0,0,1,0,0,"Tongefäß der Sicht","Enthüllt die gesamte Karte der aktuellen Ebene und macht alle Fallen sichtbar.",6260
3,27978,"",0,"",0,0,1,0,0,"Tongefäß der Stärkung","Erhöht den eigenen ausgeteilten Schaden und die Wirkung von Heilmagie um 30<Indent/>%.",6262
4,27979,"",0,"",0,0,1,0,0,"Tongefäß der Abwehr","Verringert den eigenen erlittenen Schaden um 40<Indent/>%.",6263
5,27980,"",0,"",0,0,1,0,0,"Tongefäß der Schätze","Erhöht die Zahl der Schatztruhen auf der nächsten Ebene.",6264
6,27981,"",0,"",0,0,1,0,0,"Tongefäß des Feindtods","Verringert die Zahl der Gegner auf der nächsten Ebene.",6265
7,27982,"",0,"",0,0,1,0,0,"Tongefäß der Feindwandlung","Verwandelt die Gegner in einem der Räume auf der nächsten Ebene in Mimiks oder Mandragoras.",6266
8,27983,"",0,"",0,0,1,0,0,"Tongefäß der Entzauberung","Hebt den Status Verwünschung auf.",6267
9,27984,"",0,"",0,0,1,0,0,"Tongefäß des Glücks","Erhöht die Chance, dass beim Sieg über Gegner auf der aktuellen Ebene eine Schatztruhe erscheint.",6268
10,27985,"",0,"",0,0,1,0,0,"Tongefäß der Wandlung","Verwandelt Gegner in deiner Nähe in Frösche, Flusskobolde oder Hühner.",6269
11,27986,"",0,"",0,0,1,0,0,"Tongefäß der Enthexung","Hebt alle Effekte der aktuellen Ebene auf.",6270
12,27987,"",0,"",0,0,1,0,0,"Tongefäß der Manticoren","Verwandelt dich in eine Manticore.",6271
13,27988,"",0,"",0,0,1,0,0,"Tongefäß der Sukkuben","Verwandelt dich in einen Sukkubus.",6272
14,27991,"",0,"",0,0,1,0,0,"Tongefäß des Finders","Enthüllt verborgene Schätze auf der aktuellen Ebene. Der Effekt endet, wenn ein Schatz gefunden wurde.",6870
15,27989,"",0,"",0,0,1,0,0,"Tongefäß des Lebens","Belebt das nächste Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glied, das kampfunfähig wird.",6868
16,27990,"",0,"",0,0,1,0,0,"Tongefäß der Kuribu","Verwandelt dich in eine Kuribu.",6869
17,27994,"",0,"",0,0,1,0,0,"Tongefäß der Feindschwächung","Schwächt die Abwehr aller Gegner auf der aktuellen Ebene.",11275
18,27992,"",0,"",0,0,1,0,0,"Tongefäß des Verschwindens","Belegt alle Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glieder mit dem Status Verschwunden.",11276
19,27993,"",0,"",0,0,1,0,0,"Tongefäß der Feindversteinerung","Versteinert alle Gegner auf der aktuellen Ebene.",11277
