key,0
#,Text
int32,str
0,""
1,""
2,""
3,""
4,""
5,""
6,""
7,""
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,""
16,""
17,""
18,""
19,""
20,""
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,"Domanisches Mahjong für Anfänger"
30,"1. Einführung"
31,"Domanisches Mahjong ist ein Spiel für vier Spieler. Die folgende Einführung deckt die grundlegenden Regeln ab."
32,"2. Was ist domanisches Mahjong?"
33,"In domanischem Mahjong versuchen Spieler, als Erste eine vollständige Hand aus 14 Ziegeln zu bilden, wobei die erhaltenen Punkte von der Schnelligkeit und der Schwierigkeit der Hand abhängen.
Spieler beginnen mit 13 Ziegeln und ziehen in jeder Runde einen neuen Ziegel. Anschließend müssen sie einen Ziegel ablegen; entweder den neuen Ziegel oder einen Ziegel aus ihrer Hand. Dann ist der Spieler rechts am Zug und der Ablauf wiederholt sich bis zum Ende der Hand.

Der Spieler, der zuerst eine vollständige Hand gebildet hat, erhält Punkte. Es werden insgesamt acht Hände in einem kompletten Spiel und vier Hände in einem schnellen Spiel gespielt, und der Spieler mit den meisten Punkten gewinnt.
Hier ist ein Beispiel für eine vollständige Hand:"
34,"Die 14 Ziegel bilden <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>vier Gruppen aus 3 Ziegeln und ein Paar aus identischen Ziegeln<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Eine Gruppe aus Ziegeln wird „Figur“ genannt, und die verschiedenen Arten von Figuren werden in dieser Einführung erläutert. Die Kombination aus Figuren bestimmt die Schwierigkeit der Hand und die erhaltenen Punkte beim Sieg.

"
35,"3. Die Ziegel"
36,"Mahjongziegel bestehen aus Farbziegeln und Bildziegeln.

■ Farbziegel
Es gibt drei Farben, von denen jede von 1 bis 9 durchnummerierte Ziegel hat.
"
37,"■ Bildziegel
Es gibt zwei Arten von Bildziegeln: die vier Windziegel und die drei Drachenziegel. Anders als die Farbziegel haben diese keine bestimmte Reihenfolge und können daher keine Folgen bilden. Figuren können nur durch gleiche Ziegel gebildet werden."
38,"Es gibt 34 verschiedene Ziegel und vier von jedem Ziegel, sodass insgesamt 136 vorhanden sind.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Spieler versuchen, vor allen anderen Spielern eine vollständige Hand aus 14 Ziegeln zu bilden und so viele Punkte wie möglich zu erhalten.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

"
39,"4. Figuren bilden"
40,"■ Folgen
Farbziegel können Folgen wie 2, 3, 4 oder 4, 5, 6 bilden, solange alle Ziegel die gleiche Farbe haben. Folgen wie 8, 9, 1 oder 9, 1 ,2 sind jedoch nicht zulässig."
41,"■ Drillinge
Farbziegel und Bildziegel können zudem Drillinge aus identischen Ziegeln bilden."
42,"Eine vollständige Hand besteht aus 14 Ziegeln und benötigt vier Figuren und ein Paar.

※ Es gibt spezielle Kombinationen, auf die diese Regel nicht zutrifft, aber Anfänger sollten sich zunächst auf die grundlegenden Hände fokussieren.
"
43,"5. Spielablauf"
44,"Jeder der vier Spieler beginnt mit 13 Ziegeln und der automatisch gewählte Spielleiter macht den ersten Zug.
Dieser Spieler nimmt einen neuen Ziegel auf und wählt einen Ziegel zum Ablegen. Dies kann entweder der neue Ziegel sein, oder ein Ziegel aus der Hand des Spielers.
Sobald dieser Spieler einen Ziegel abgelegt hat, ist der Spieler rechts von ihm am Zug. Dieser Vorgang wiederholt sich bis zum Ende der Hand."
45,"Die Hand endet, wenn ein Spieler eine vollständige Hand ausruft. Die Hand endet auch, wenn alle Ziegel aufgenommen wurden, ohne dass ein Spieler eine vollständige Hand ausgerufen hat."
46,"Beim Start einer neuen Hand wird der Spieler rechts vom Spielleiter zum neuen Spielleiter. Eine Runde besteht in einem kompletten Spiel aus acht Händen. Im Laufe einer Runde hat jeder Spieler also zweimal die Rolle des Spielleiters. In einem schnellen Spiel werden vier Hände gespielt und jeder Spieler ist entsprechend einmal Spielleiter. Der Spieler mit der höchsten Punktzahl am Ende der Runde ist der Gewinner.

"
47,"6. Punkte für eine vollständige Hand"
48,"Jeder Spieler beginnt das Spiel mit 25.000 Punkten, die sich beim Ausrufen einer vollständigen Hand erhöhen. Allerdings können Punkte auch abgezogen werden, wenn ein anderer Spieler eine vollständige Hand ausruft.

Eine vollständige Hand kann auf zwei Arten gebildet werden:
"
49,"1. Tsumo: Wenn ein Ziegel aufgenommen wird
Wenn eine vollständige Hand mit einem vom Spieler aufgenommenem Ziegel gebildet wird, wird der Punktwert berechnet und jeder der anderen drei Spieler muss diese Punktekosten bezahlen.
Wenn der Spielleiter eine vollständige Hand ausruft, erhöht sich der Punktwert um 50 %.
Wenn der Spielleiter einen anderen Spieler bezahlen muss, muss er den doppelten Punktwert bezahlen."
50,"2. Ron: Wenn ein anderer Spieler einen Ziegel ablegt
Wenn ein Spieler einen Ziegel ablegt, mit dem ein anderer Spieler eine vollständige Hand bilden kann, muss nur der Spieler, der den Ziegel abgelegt hat, bezahlen.
Wenn der Spielleiter auf diese Art eine vollständige Hand bildet, ist der Punktwert um 50 % erhöht. Wenn der Spielleiter den Ziegel abgelegt hat, wird jedoch nur die übliche Menge bezahlt."
51,"Der Spielleiter hat den Vorteil, 50 % mehr Punkte für eine vollständige Hand zu bekommen.
Zudem wird die Rolle des Spielleiters nicht an den nächsten Spieler weitergegeben, wenn der Spielleiter eine vollständige Hand ausruft, wodurch er die Gelegenheit erhält, noch mehr Punkte zu verdienen."
52,"7. Yaku für eine vollständige Hand benötigt"
53,"Da es bei domanischem Mahjong darum geht, so viele Punkte wie möglich zu machen, ist es wichtig, den Unterschied zwischen Händen mit niedrigen Punkten und solchen mit hohen Punkten zu kennen."
54,"Der Wert einer Hand wird durch spezielle Kombinationen von Figuren<Indent/>- sogenannte Yaku<Indent/>- bestimmt. Der Wert eines jeden Yaku wird in Han gemessen, wobei 6 Han der höchste und 1 Han der niedrigste Wert sind. Je schwieriger ein Yaku zu bilden ist, desto mehr Han ist es wert."
55,"Der Han-Wert einer Hand wird verwendet, um die erhaltenen Punkte zu berechnen.
Punkte werden wie folgt vergeben:"
56,"　1 Han       1.000 Punkte
　2 Han       2.000 Punkte
　3 Han       3.900 Punkte

　4 Han       8.000 Punkte
　5 Han       8.000 Punkte

　6 Han       12.000 Punkte
　7 Han       12.000 Punkte

　8 Han       16.000 Punkte
　9 Han       16.000 Punkte
　10 Han     16.000 Punkte

　11 Han     24.000 Punkte
　12 Han     24.000 Punkte

　>12 Han   32.000 Punkte"
57,"In bestimmten Situationen kommen weitere Berechnungen hinzu, die die Punkte erhöhen können."
58,"Da Yaku benötigt werden, um die verdienten Punkte zu berechnen, muss eine vollständige Hand mindestens ein Yaku enthalten.
Obwohl eine vollständige Hand normalerweise vier Figuren und ein Paar erfordert, entsteht dadurch alleine keine vollständige Hand.

"
59,"8. Grundlegende Yaku"
60,"Es gibt viele Arten von Yaku, doch wir empfehlen zunächst einmal diese grundlegenden Yaku zu lernen:"
61,"■ Nur Grundziegel
Nur Farbziegel von 2 bis 8 werden verwendet.
Die Hand darf keine Bildziegel oder Ziegel mit der Nummer 1 oder 9 enthalten."
62,"■ Nur Pong
Vier Drillinge und ein Paar."
63,"■ Reine Reihe
Enthält die Nummern 1 bis 9 in der gleichen Farbe. Wird als drei Drillinge aus 1, 2, 3, dann 4, 5, 6 und 7, 8, 9 gebildet."
64,"■ Gemischtes Dreifach-Chi
Die gleiche Folge (z. B. 1, 2, 3) in jeder Farbe."
65,"■ Unreine Farbhand
Nur Farbziegel einer Farbe plus Bildziegel."
66,"■ Reine Farbhand
Nur Farbziegel einer Farbe."
67,"Eine vollständige Liste von Yaku sowie weitere nützliche Informationen finden sich auf dem Lodestone.

"
68,"9. Riichi-Yaku"
69,"Eine spezielle Bedingung mit Namen Riichi erleichtert die Bildung von Yaku."
70,"Die obige Hand benötigt lediglich eine 3 oder eine 6, um eine vollständige Hand zu bilden.
Wenn einem Spieler nur noch ein Ziegel zu einer vollständigen Hand fehlt, kann er Riichi ausrufen."
71,"Wenn die Hand bereit ist, um Riichi auszurufen, hat der Spieler die Gelegenheit dazu, bevor er einen Ziegel ablegt. Im Falle des oben gezeigten Beispiels: Wenn der ausrufende Spieler eine 3 oder eine 6 erhält (unabhängig davon, ob er den Ziegel selbst aufnimmt oder einen abgelegten von einem anderen Spieler erhält), kann er eine vollständige Hand ausrufen.
Nachdem er Riichi ausgerufen hat, kann dieser Spieler keine aufgenommenen Ziegel mehr zu seiner Hand hinzufügen. Alle aufgenommenen Ziegel werden automatisch abgelegt, bis ein Ziegel erhalten wird, der die Hand vervollständigt. Eine vollständige Hand durch Riichi ist jedoch selbst auch ein Yaku. Daher braucht der Spieler keine anderen Yaku gebildet zu haben, um eine Hand zu vervollständigen."
72,"■ Besonderheiten von Riichi
　1.　Die Hand des Spielers wird automatisch ein Yaku, egal, ob sie andere Yaku enthält oder nicht.
　2.　Die anderen Spieler wissen, dass dem Spieler, der Yaku ausruft, nur noch ein Ziegel zu einer vollständigen Hand fehlt.
　3.　Der ausrufende Spieler kann keine Ziegel auf seiner Hand mehr austauschen.
　4.　Der ausrufende Spieler muss 1.000 Punkte - angezeigt durch ein Punktestäbchen in der Mitte des Tisches - bezahlen, die an den Gewinner der Hand gehen.

"
73,"10. Yaku-Ziegel"
74,"Die Bildziegel bieten eine weitere Möglichkeit, um Yaku zu bilden."
75,"Ein Drilling aus einem dieser drei Ziegel bildet ein Yaku."
76,"Auf ähnliche Weise kann ein Yaku mit den Windziegeln gebildet werden, allerdings gibt es hier bestimmte Bedingungen."
