key,0
#,Text
int32,str
0,""
1,""
2,""
3,""
4,""
5,""
6,""
7,""
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,""
16,""
17,""
18,""
19,""
20,""
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,"Le mahjong pour les débutants"
30,"1. Introduction"
31,"Le mahjong domien est un jeu de société pour quatre joueurs. Ce guide contient les règles principales et quelques conseils basiques pour bien débuter."
32,"2. Qu'est-ce que le mahjong<Indent/>?"
33,"Au mahjong, quatre joueurs s'affrontent pour composer le plus rapidement possible une main gagnante de 14 tuiles. Le gagnant est récompensé par des points en fonction de la difficulté de sa main.
Les joueurs commencent avec 13 tuiles et en piochent une nouvelle à chaque tour. Ils doivent alors choisir d'écarter cette tuile, ou une de celles en leur possession. Cette phase se poursuit, dans le sens inverse des aiguilles d'une montre, jusqu'à ce qu'il n'y ait plus de tuile à piocher.
Le premier joueur à former une main gagnante remporte des points, puis on passe à la donne suivante. Une partie compte 8 donnes, et le joueur comptant le plus de points à l'issue de ces 8 donnes est déclaré vainqueur (4 donnes pour les parties courtes).
Voici un exemple de main gagnante<Indent/>:"
34,"Les 14 tuiles forment quatre groupes de trois tuiles et une paire de tuiles correspondantes. Les groupes de tuiles sont appelés “éléments”, dont les différents types sont expliqués plus loin dans ce guide. La combinaison d'éléments détermine la difficulté de la main gagnante et le nombre de points attribués."
35,"3. Les tuiles"
36,"Les tuiles de mahjong sont divisées en “numérales” et en “honneurs”.

■ Les numérales
Il existe trois familles de tuiles numérotées de 1 à 9."
37,"■ Les honneurs
Il existe deux familles d'honneurs<Indent/>: les trois “dragons” et les quatre “vents”. Au contraire des numérales, les honneurs n'ont pas d'ordre particulier."
38,"Un jeu est composé de 34 tuiles différentes, chacune en quatre exemplaires, pour un total de 136 tuiles. Les joueurs doivent former une main gagnante de 14 tuiles avant les autres et gagner le plus de points possible."
39,"4. Former des éléments"
40,"■ Les suites
Les numérales peuvent former des suites comme 2-3-4 ou 4-5-6, à condition qu'elles appartiennent à la même famille. Cependant, des séquences telles que 8-9-1 ou 9-1-2 ne sont pas autorisées."
41,"■ Les brelans
Les numérales et les honneurs peuvent former des ensembles de trois tuiles identiques."
42,"Une main gagnante est composée de 14 tuiles formant quatre éléments et une paire.

* Il existe certaines com<SoftHyphen/>bi<SoftHyphen/>nai<SoftHyphen/>sons faisant exception à cette règle mais il est recommandé aux débutants de se fa<SoftHyphen/>mi<SoftHyphen/>lia<SoftHyphen/>ri<SoftHyphen/>ser avec les règles de base en premier lieu."
43,"5. Déroulement du jeu"
44,"Chaque joueur reçoit 13 tuiles. L'ouvreur (joueur qui commence) est choisi au<SoftHyphen/>to<SoftHyphen/>ma<SoftHyphen/>ti<SoftHyphen/>que<SoftHyphen/>ment et pioche une nouvelle tuile. Il doit alors choisir d'écarter cette tuile, ou une des autres en sa possession. Le joueur sur sa droite fait de même, et cette phase se poursuit jusqu'à ce qu'il n'y ait plus de tuiles à piocher."
45,"La donne se termine lorsqu'un joueur annonce une main gagnante, ou lorsque toutes les tuiles ont été piochées sans qu'un joueur forme une main gagnante."
46,"Lors de la donne suivante, le joueur situé à droite de celui qui avait commencé précédemment pioche en premier. Une partie normale se joue sur huit donnes, ce qui donne l'occasion à chaque joueur de commencer deux fois. Une partie courte ne se jouant que sur quatre donnes, chaque joueur ne peut commencer qu'une seule fois. Le joueur ayant le score le plus élevé à la fin de la partie est déclaré vainqueur."
47,"6. Calcul des points"
48,"Chaque joueur commence la partie avec 25 000 points. À la fin de chaque donne, des points sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res sont attribués au joueur ayant formé une main gagnante, et des points peuvent être retirés à un ou plusieurs joueurs selon les cas.

Une main gagnante peut être formée de deux manières différentes<Indent/>:"
49,"■ Tsumo<Indent/>: main gagnante formée en piochant
Lorsqu'un joueur forme une main gagnante en piochant une tuile, les points qu'il remporte sont payés par les autres joueurs.
Si l'ouvreur forme une main gagnante de cette façon, les points qu'il gagne sont augmentés de 50%. Cependant, s'il doit payer un autre joueur dans ce cas, le montant dû est doublé."
50,"■ Ron<Indent/>: main gagnante formée sur un écart
Lorsqu'un joueur écarte une tuile qui permet à un autre joueur de former une main gagnante, il est le seul à payer.
Si l'ouvreur forme une main gagnante de cette façon, les points qu'il gagne sont augmentés de 50%. Si c'est l'ouvreur qui a écarté la tuile, le montant dû n'est pas modifié."
51,"L'ouvreur a l'avantage de gagner 50% de points en plus lorsqu'il forme une main gagnante. De plus, lorsqu'il y parvient, il reste ouvreur à la donne suivante, ce qui lui donne l'opportunité de marquer encore plus de points."
52,"7. Qu'est-ce qu'un “yaku”<Indent/>?"
53,"Le but du mahjong étant de marquer le plus de points possible, il est important de connaître les différences entre les mains gagnantes à faible score et celles à score élevé."
54,"La valeur d'une main est déterminée par ses “yaku”, des com<SoftHyphen/>bi<SoftHyphen/>nai<SoftHyphen/>sons d'éléments spécifiques. La valeur de chaque yaku est mesurée en “han”, d'un han pour la plus faible à six han pour la plus élevée. Plus le yaku est difficile à composer, plus sa valeur en han est élevée."
55,"La valeur en han d'une main est utilisée pour calculer le nombre de points remportés.
Les points sont attribués de la façon suivante<Indent/>:"
56,"  1 han<Indent/>: 1 000 points
  2 han<Indent/>: 2 000 points
  3 han<Indent/>: 3 900 points

  4 han<Indent/>: 8 000 points
  5 han<Indent/>: 8 000 points

  6 han<Indent/>: 12 000 points
  7 han<Indent/>: 12 000 points

  8 han<Indent/>: 16 000 points
  9 han<Indent/>: 16 000 points
  10 han<Indent/>: 16 000 points

  11 han<Indent/>: 24 000 points
  12 han<Indent/>: 24 000 points

  13 han et plus<Indent/>: 32 000 points"
57,"Dans certaines situations, d'autres calculs peuvent être effectués et des points sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res attribués."
58,"Comme les yaku sont utilisés pour calculer les points attribués, toute main gagnante doit obligatoirement contenir un yaku.
Une main constituée de quatre éléments et d'une paire comme expliqué précédemment n'est pas gagnante si elle ne contient pas de yaku."
59,"8. Les yaku de base"
60,"Il existe de nombreux types de yaku, mais nous recommandons d'apprendre ces quelques exemples basiques pour commencer<Indent/>:"
61,"■ Tanyao
Main formée uniquement de numérales entre 2 et 8. La main ne doit contenir aucun honneur ou numérale 1 ou 9."
62,"■ Tout pon
Main formée de quatre brelans et d'une paire."
63,"■ Grande suite pure
Main formée des numérales 1 à 9 de la même famille, présentées en trois éléments<Indent/>: 1-2-3, 4-5-6 et 7-8-9."
64,"■ Triple chi
Main formée d'une même suite, par exemple 1-2-3, dans chaque famille."
65,"■ Semi pure
Main formée uniquement de numérales d'une même famille et d'honneurs."
66,"■ Main pure
Main formée uniquement de numérales d'une même famille."
67,"Rendez-vous sur The Lodestone pour consulter une liste complète de Yaku."
68,"9. Le yaku “riichi”"
69,"Une certaine situation appelée “riichi” permet de former des yaku plus facilement."
70,"Dans l'exemple ci-dessus, il ne manque plus qu'un 3 ou un 6 pour former une main gagnante.
Lorsqu'un joueur n'a besoin que d'une tuile pour former une main gagnante, il peut annoncer “riichi”."
71,"Lorsque la main le permet, les joueurs ont l'occasion d'annoncer riichi avant d'écarter une tuile. Dans l'exemple, si le joueur reçoit un 3 ou un 6, que ce soit une tuile piochée ou écartée par un autre joueur, la main gagnante est formée.
Un joueur qui a annoncé riichi ne peut plus ajouter les tuiles qu'il pioche à sa main. Toutes les tuiles piochées sont écartées au<SoftHyphen/>to<SoftHyphen/>ma<SoftHyphen/>ti<SoftHyphen/>que<SoftHyphen/>ment jusqu'à ce que la tuile permettant de former une main gagnante soit obtenue.
Une main gagnante formée via riichi constituant un yaku en soi, il n'est pas nécessaire qu'elle comporte d'autres yaku."
72,"■ Particularités du riichi
  1. La main du joueur devient au<SoftHyphen/>to<SoftHyphen/>ma<SoftHyphen/>ti<SoftHyphen/>que<SoftHyphen/>ment un yaku, qu'elle comporte d'autres yaku ou non.
  2. Les autres joueurs savent que le joueur qui a annoncé riichi n'est plus qu'à une tuile de former une main gagnante.
  3. Le joueur qui a annoncé riichi ne peut plus changer les tuiles de sa main.
  4. Le joueur qui annonce riichi doit miser 1 000 points, indiqués par un bâtonnet placé au centre de la table. La mise sera remportée par le joueur gagnant la donne."
73,"10. Les tuiles yaku"
74,"Les com<SoftHyphen/>bi<SoftHyphen/>nai<SoftHyphen/>sons d'honneurs offrent une autre façon simple de former des yaku."
75,"Les trois tuiles ci-dessus sont appelées “dragons” et re<SoftHyphen/>pré<SoftHyphen/>sen<SoftHyphen/>tent chacune une couleur. Un brelan d'un des trois dragons ci-dessus constitue un yaku."
76,"Les quatre tuiles ci-dessus sont appelées “vents” et re<SoftHyphen/>pré<SoftHyphen/>sen<SoftHyphen/>tent chacune un point cardinal. Un brelan d'un des quatre vents constitue également un yaku, sous certaines conditions."
77,"■ Conditions liées à la donne
Une partie de mahjong est constituée de huit donnes. Le premier tour de quatre donnes, durant lequel chaque joueur tient le rôle d'ouvreur une fois, est appelé “Est”. Un brelan de vents d'Est formé durant ce tour constitue un yaku. Le second tour, appelé “Sud”, permet de constituer un yaku grâce à un brelan de vents du Sud."
78,"■ Conditions liées à la place des joueurs
Chaque joueur se voit assigner un vent (point cardinal) selon sa position par rapport à l'ouvreur. Attention, la disposition des points cardinaux dans le mahjong n'est pas la même que celle utilisée pour les boussoles ou cartes classiques.

  Ouvreur<Indent/>: Est
  Droite de l'ouvreur<Indent/>: Sud
  Face à l'ouvreur<Indent/>: Ouest
  Gauche de l'ouvreur<Indent/>: Nord

Le vent de chaque joueur change après chaque donne dans le sens inverse des aiguilles d'une montre, dans cet ordre<Indent/>: Est, Sud, Ouest, Nord. Un brelan formé avec le vent correspondant à la place du joueur constitue un yaku.
Il est possible de consulter son vent à tout moment pendant le jeu."
79,"11. Pon et chi"
