key,0,1,2,3,4,5,6,7
#,PlayerLevel,,,PlaceName,Icon,Order,Name,Description
int32,uint16,bit&01,uint16,PlaceName,Image,uint16,str,str
0,0,False,0,0,0,1,"",""
1,60,False,0,2089,112145,100,"Entraînement basique","“Le cœur d'un guerrier doit être solide comme la pierre, immense comme le ciel et vaste comme la mer.” Ce vieil adage éorzéen est une sagesse qui encourage les combattants à per<SoftHyphen/>fec<SoftHyphen/>tion<SoftHyphen/>ner leur technique sans relâche, et ce n'est pas un hasard si certains aventuriers appellent cette aire d'en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment “Pierre, ciel, mer”. Déchaînez-vous sur le mannequin, et améliorez vos performances<Indent/>!"
2,60,False,0,2089,112146,101,"Simulation : L'Immensité bleue (extrême)","Ce mannequin a été fabriqué sur la base de témoignages d'aventuriers qui ont tenté d'éliminer la nouvelle incarnation du Migrateur des brumes. Si jamais vous décidez de monter une expédition punitive contre ce gobeur d'îles flottantes, n'hésitez surtout pas à vous entraîner avant de partir au combat<Indent/>!"
3,60,False,0,2089,112147,102,"Simulation : Gordias : le Père","La guilde des aventuriers a appris que vous aviez trouvé un moyen d'entrer à l'intérieur du géant mécanique qui est apparu dans l'Arrière-pays dravanien. Afin de vous aider à vous préparer au mieux pour cette périlleuse mission, nous avons fait fabriquer un mannequin spécial qui devrait vous permettre de vous entraîner afin d'affronter tous les dangers qui vous attendent dans ce Primordial."
4,60,False,0,2089,112148,103,"Simulation : Le Poing du Père (sadique)","Le ménestrel errant nous a narré vos exploits à l'intérieur du Primordial Alexander. Pour vous récompenser de vos efforts, nous avons fait fabriquer un mannequin aussi résistant que les ennemis que vous avez dû affronter. N'hésitez pas à vous entraîner dessus afin de montrer aux autres aventuriers l'étendue de votre puissance<Indent/>!"
5,60,False,0,2089,112149,104,"Simulation : Le Poignet du Père (sadique)","Le ménestrel errant nous a narré vos exploits à l'intérieur du Primordial Alexander. Pour vous récompenser de vos efforts, nous avons fait fabriquer un mannequin aussi résistant que les ennemis que vous avez dû affronter. N'hésitez pas à vous entraîner dessus afin de montrer aux autres aventuriers l'étendue de votre puissance<Indent/>!"
6,60,False,0,2089,112150,105,"Simulation : Le Bras du Père (sadique)","Le ménestrel errant nous a narré vos exploits à l'intérieur du Primordial Alexander. Pour vous récompenser de vos efforts, nous avons fait fabriquer un mannequin aussi résistant que les ennemis que vous avez dû affronter. N'hésitez pas à vous entraîner dessus afin de montrer aux autres aventuriers l'étendue de votre puissance<Indent/>!"
7,60,False,0,2089,112151,106,"Simulation : Le Fardeau du Père (sadique)","Le ménestrel errant nous a narré vos exploits à l'intérieur du Primordial Alexander. Pour vous récompenser de vos efforts, nous avons fait fabriquer un mannequin aussi résistant que les ennemis que vous avez dû affronter. N'hésitez pas à vous entraîner dessus afin de montrer aux autres aventuriers l'étendue de votre puissance<Indent/>!"
8,60,False,0,2089,112152,107,"Simulation : le règne de Thordan","La rumeur de votre combat contre Thordan et ses chevaliers de la Table ronde est parvenue jusqu'à nos oreilles. Le ménestrel errant nous a raconté toute l'histoire dans les moindres détails<Indent/>! Nous nous sommes basés sur son récit pour fabriquer un mannequin aussi redoutable que les protagonistes de cette terrible bataille. En espérant qu'il vous plaira<Indent/>!"
9,60,False,0,2089,112153,108,"Simulation : Sephirot (extrême)","Nous avons entendu dire que vous avez vaincu l'une des divinités démoniaques de la Triade guerrière. Toutes nos félicitations<Indent/>! Nous avons réalisé un mannequin ex<SoftHyphen/>trê<SoftHyphen/>me<SoftHyphen/>ment robuste, qui devrait vous aider à vous préparer aux prochaines batailles qui vous attendent."
10,60,False,0,2089,112154,109,"Simulation : Midas : le Fils","Nos agents nous ont indiqué que le Primordial-machine Alexander avait bougé une fois de plus, et ils suspectent les Gobelins de la Main indigo d'y avoir introduit de nouvelles armes pour protéger leur base d'opération. De ce fait, nous avons commandé en urgence un mannequin qui vous permettra de vous préparer à la réussite de votre mission."
11,60,False,0,2089,112155,110,"Simulation : Le Poing du Fils (sadique)","Le ménestrel errant nous a conté vos nouveaux exploits à l'intérieur du Primordial-machine. Nous avons im<SoftHyphen/>mé<SoftHyphen/>dia<SoftHyphen/>te<SoftHyphen/>ment contacté notre meilleur ouvrier pour lui demander de fabriquer un mannequin aussi robuste que les ennemis que vous avez combattus dans le bras gauche d'Alexander. N'hésitez pas à vous défouler dessus<Indent/>!"
12,60,False,0,2089,112156,111,"Simulation : Le Poignet du Fils (sadique)","Le ménestrel errant nous a conté vos nouveaux exploits à l'intérieur du Primordial-machine. Nous avons im<SoftHyphen/>mé<SoftHyphen/>dia<SoftHyphen/>te<SoftHyphen/>ment contacté notre meilleur ouvrier pour lui demander de fabriquer un mannequin aussi robuste que les ennemis que vous avez combattus dans le bras gauche d'Alexander. N'hésitez pas à vous défouler dessus<Indent/>!"
13,60,False,0,2089,112157,112,"Simulation : Le Bras du Fils (sadique)","Le ménestrel errant nous a conté vos nouveaux exploits à l'intérieur du Primordial-machine. Nous avons im<SoftHyphen/>mé<SoftHyphen/>dia<SoftHyphen/>te<SoftHyphen/>ment contacté notre meilleur ouvrier pour lui demander de fabriquer un mannequin aussi robuste que les ennemis que vous avez combattus dans le bras gauche d'Alexander. N'hésitez pas à vous défouler dessus<Indent/>!"
14,60,False,0,2089,112158,113,"Simulation : Le Fardeau du Fils (sadique)","Le ménestrel errant nous a conté vos nouveaux exploits à l'intérieur du Primordial-machine. Nous avons im<SoftHyphen/>mé<SoftHyphen/>dia<SoftHyphen/>te<SoftHyphen/>ment contacté notre meilleur ouvrier pour lui demander de fabriquer un mannequin aussi robuste que les ennemis que vous avez combattus dans le bras gauche d'Alexander. N'hésitez pas à vous défouler dessus<Indent/>!"
15,60,False,0,2089,112159,114,"Simulation : l'ire de Nidhogg","Le ménestrel errant nous a fait le récit de votre combat contre le dragon maléfique Nidhogg devant la sainte Cité. Nous nous sommes donc basés sur sa description pour fabriquer un mannequin aussi terrible et puissant que cet ennemi millénaire des Ishgardais. Nous espérons qu'il vous donnera pleine sa<SoftHyphen/>tis<SoftHyphen/>fac<SoftHyphen/>tion<Indent/>!"
16,60,False,0,2089,112205,115,"Simulation : Sophia (extrême)","La guilde des aventuriers a appris que vous étiez venu<If(PlayerParameter(4))>e<Else/></If> à bout de l'impitoyable Déesse. Aussi réjouissante cette annonce soit-elle, votre lutte contre la Triade guerrière n'est malheureusement pas encore tout à fait terminée. Pour vous permettre de vous préparer au mieux aux prochains défis à venir, nous vous offrons un mannequin présenté comme indestructible par son créateur. Vous nous en direz des nouvelles<Indent/>!"
17,60,False,0,2089,112206,116,"Simulation : Alexander : le Créateur","Tout semble indiquer que le moment du combat décisif est arrivé dans la lutte contre les Gobelins de la Main indigo pour l'avenir... et même le passé de l'humanité. Nous avons par conséquent préparé un mannequin spécial pour mettre toutes les chances de votre côté."
18,60,False,0,2089,112207,117,"Simulation : Les Yeux du Créateur (sadique)","Le ménestrel errant nous a fait part de vos fantastiques exploits et de votre bravoure dans votre combat contre les ambitions mégalomanes de Quickthinx le Cerveau et de ses sbires. Nous avons donc décidé de marquer ce récit épique en demandant à nos meilleurs artisans de fabriquer un mannequin ex<SoftHyphen/>trê<SoftHyphen/>me<SoftHyphen/>ment résistant<Indent/>!"
19,60,False,0,2089,112208,118,"Simulation : Le Souffle du Créateur (sadique)","Le ménestrel errant nous a fait part de vos fantastiques exploits et de votre bravoure dans votre combat contre les ambitions mégalomanes de Quickthinx le Cerveau et de ses sbires. Nous avons donc décidé de marquer ce récit épique en demandant à nos meilleurs artisans de fabriquer un mannequin ex<SoftHyphen/>trê<SoftHyphen/>me<SoftHyphen/>ment résistant<Indent/>!"
20,60,False,0,2089,112209,119,"Simulation : Le Cœur du Créateur (sadique)","Le ménestrel errant nous a fait part de vos fantastiques exploits et de votre bravoure dans votre combat contre les ambitions mégalomanes de Quickthinx le Cerveau et de ses sbires. Nous avons donc décidé de marquer ce récit épique en demandant à nos meilleurs artisans de fabriquer un mannequin ex<SoftHyphen/>trê<SoftHyphen/>me<SoftHyphen/>ment résistant<Indent/>!"
