key,0,1,2,3,4,5
#,Name,Icon,CastTime,Animation[0],Animation[1],Animation[2]
int32,str,Image,byte,ActionTimeline,ActionTimeline,ActionTimeline
0,"",1,0,0,0,0
1,"Interagieren",61103,2,80,81,82
2,"Interagieren",61103,2,80,81,82
3,"Interagieren",61103,5,80,81,82
4,"Interagieren",61103,10,80,81,82
5,"Interagieren",61103,15,80,81,82
6,"Interagieren",61103,2,80,81,82
7,"Interagieren",61103,5,80,81,82
8,"Interagieren",61103,10,80,81,82
9,"Interagieren",61103,15,80,81,82
10,"Warten",61104,2,175,176,177
11,"Warten",61104,2,175,176,177
12,"Warten",61104,5,175,176,177
13,"Warten",61104,10,175,176,177
14,"Interagieren",61103,2,80,81,82
15,"Interagieren",61103,2,80,81,82
16,"Interagieren",61103,5,80,81,82
17,"Interagieren",61103,10,80,81,82
18,"Interagieren",61103,2,80,81,82
19,"Harmonisieren",61105,5,169,170,171
20,"Interagieren",61103,1,80,81,82
21,"Interagieren",61103,2,80,81,82
22,"Interagieren",61103,5,80,81,82
23,"Interagieren",61103,1,172,173,174
24,"Interagieren",61103,2,172,173,174
25,"Interagieren",61103,5,172,173,174
26,"Helfen",61103,2,184,185,186
27,"Pfeifen",61104,2,178,179,180
28,"Ausschau halten",61104,10,175,176,177
29,"Vermerken",61103,1,172,173,174
30,"Pfeifen",61103,2,178,179,180
31,"Interagieren",61103,2,181,182,183
32,"Interagieren",61103,5,181,182,183
33,"Interagieren",61103,10,181,182,183
34,"Helfen",61103,2,184,185,186
35,"Helfen",61103,5,184,185,186
36,"Helfen",61103,10,184,185,186
37,"Interagieren",61103,2,178,179,180
38,"Helfen",61103,2,172,173,174
39,"Helfen",61103,5,172,173,174
40,"Helfen",61103,10,172,173,174
41,"Ausschau halten",61104,10,175,176,177
42,"Fesseln lösen",61103,10,181,182,183
43,"Besänftigen",61103,10,172,173,174
44,"Besänftigen",61103,10,184,185,186
45,"Interagieren",61103,2,172,173,174
46,"Interagieren",61103,5,172,173,174
47,"Interagieren",61103,10,172,173,174
48,"Ärgern",61103,5,181,182,183
49,"Ventil schließen",61103,5,181,182,183
50,"Ausschau halten",61104,5,175,176,177
51,"Ventil schließen",61103,5,181,182,183
52,"Interagieren",61103,1,80,81,82
53,"Interagieren",61103,2,181,182,183
54,"Interagieren",61103,5,181,182,183
55,"Interagieren",61103,10,181,182,183
56,"Ausschau halten",61104,5,175,176,177
57,"Erobern",61103,2,172,173,174
58,"Erobern",61103,5,172,173,174
59,"Erobern",61103,10,172,173,174
60,"Harmonisieren",61103,5,172,173,174
61,"Interagieren",61103,2,0,0,0
62,"Interagieren",61103,8,80,81,82
63,"Interagieren",61103,5,0,0,0
64,"Interagieren",61103,0,0,0,0
65,"Erdseim aufnehmen",61103,3,80,81,82
66,"Erobern",61103,5,172,173,174
67,"Steuern",61103,2,172,173,174
68,"Ausschau halten",61103,2,175,176,177
69,"Interagieren",61103,1,172,173,174
70,"Untersuchen",61103,5,181,182,183
71,"Anrufen",61103,2,172,173,174
72,"Pflegen",61103,5,184,185,186
73,"Heilen",61173,5,0,5704,5705
74,"Aufheben",61103,3,80,81,82
75,"Sammeln",61103,4,80,81,82
76,"Verarbeiten",61103,7,0,7347,151
77,"Montieren",61103,10,0,7346,151
78,"Nachlegen",61103,10,172,173,174
79,"Vereinigen",61103,6,80,81,82
80,"Abkippen",61103,3,0,4189,150
81,"Zerkleinern",61103,10,0,7364,151
82,"Sieben",61103,7,0,7365,151
83,"Auffegen",61103,10,0,7366,151
84,"Sammeln",61103,4,184,185,186
85,"Pflastern",61103,10,0,7399,151
86,"Statue berühren",61103,2,172,173,174
87,"Bauen",61103,10,0,7394,151
88,"Nachlegen",61103,7,181,182,183
89,"Sammeln",61103,10,80,81,82
90,"Nähen",61103,10,0,7421,150
91,"Transportieren",61103,3,80,81,82
92,"Aufladen",61103,2,0,4189,150
93,"Untersuchen",61103,5,80,81,82
94,"Besteigen",61103,2,172,173,174
95,"Überreichen",61103,3,0,4189,150
96,"Sprengladung anbringen",61103,5,181,182,183
97,"Essen",61103,9,0,8436,0
98,"Essen",61103,3,0,8436,0
99,"Betanken",61103,3,0,208,150
100,"Wachen",61103,5,0,155,0
101,"Beruhigen",61103,5,172,173,174
102,"Äther austauschen",61103,5,172,173,174
103,"Pfeifen",61103,3,178,179,180
104,"Helfen",61103,5,181,182,183
