key,0
#,
int32,str
0,"Cooler geht's nicht"
1,"Total abgebrüht"
2,"Wandersmann"
3,"Drachenreiter"
4,"Ganz in Weiß"
5,"Sonntagsmaler"
6,"Schickimicki"
7,"Wild mit Stil"
8,"Sommer, Sonne, Kaktor"
9,"Salzige Brise"
10,"Aus gutem Hause"
11,"Unbekannte Lande"
12,"Cooler geht's nicht"
13,"Total abgebrüht"
14,"Wandersmann"
15,"Gold Saucer Royal"
16,"Finger am Abzug"
17,"Schwing das Tanzbein"
18,"Bürger Skallas"
19,"Drachenreiter"
20,"Ganz in Weiß"
21,"Sonntagsmaler"
22,"Schickimicki"
23,"Alles fit"
24,"Wild mit Stil"
25,"Sommer, Sonne, Kaktor"
26,"Tollkühner Bruchpilot"
27,"Feiertagsgarderobe"
28,"Selbstverliebter Magier"
29,"Ein echtes Arbeitstier"
30,"Untergrundkämpfer"
31,"Stiller Abenteurer"
32,"Seriösität verkauft besser"
33,"Wenn ich König von Eorzea wär"
34,"Herrenlos auf Wanderschaft"
35,"Elite-Postbote"
36,"Ab zum Strand"
37,"Mhigischer Modefreak"
38,"Ein Butler hat Stil"
39,"Feuermond-Reigen"
40,"Lass mich dein Luftpirat sein"
41,"Meine Wohlfühlklamotten"
42,"Pakt mit der Dunkelheit"
43,"Limsischer Bürger"
44,"Es wird stürmisch und kalt"
45,"Viehhirte"
46,"Herbstpoet"
47,"Schick und schlau"
48,"Streber"
49,"Uriges Abenteuer"
50,"Im Fernen Osten wird gekämpft"
51,"Dämmerdandy"
52,"Ganz Garlond"
53,"Zwiebel in allen Gassen"
54,"Wochenendritter"
55,"Geschickter Späher"
56,"Zauberlehrling"
57,"Entschlungen"
58,"Befreiender Kämpfer"
59,"Wenn der Vorhang fällt"
60,"Wilde Eleganz"
61,"Raubtierkopf"
62,"Versunkener Wolf"
63,"Grüße aus der neuen Welt"
64,"Anthropologe"
65,"Professioneller Camper"
66,"Adretter Abenteurer"
67,"Routinierter Reisender"
68,"Grimmiger Gauner"
69,"Mystischer Mönch"
70,"Ganove der Wildnis"
71,"Ritterlicher Raubvogel"
72,"Leopardenfaust"
73,"Stammeskrieger"
74,"Gutbürgerlich"
75,"An neuen Ufern"
76,"Eroberer"
77,"Wachablösung"
78,"Abenteuerliche See"
79,"Chimärenjäger"
80,"Luftige Brise"
81,"Blutiger Strand"
82,"Goldener Glücksritter"
83,"Fernöstliche Strände"
84,"Regelbrecher"
85,"Tanzschüler"
86,"Voraus in die Zukunft"
87,"Besessen"
88,"Ul'dhische Nächte"
89,"Metallarbeiter"
90,"Wahrhaft königlich"
91,"Fernöstlicher Fashionista"
92,"Alte trifft neue Welt"
93,"Die Arbeit im Einauge"
94,"Leichter Schütze"
95,"Limsischer Feiertag"
96,"Angehender Kämpfer"
97,"Held der Steppe"
98,"Freier Ritter"
99,"Plänkler"
100,"Erhabener Forscher"
101,"Schneidiger Duellant"
102,"Freizeitschütze"
103,"Flinker Luftpirat"
104,"Maskierter Richter"
105,"Leopardenritter"
106,"Safari"
107,"Schuppenkrieger"
108,"Schausteller mit Zylinder"
109,"Schelmischer Magier"
110,"Maskerade"
111,"Bereit zum Kampf"
112,"Vorhut auf leisen Sohlen"
113,"Studieren mit Stil"
114,"Spiel mir das Lied vom Bliaud"
115,"Schönling an der Küste"
116,"Vogelfreier Greifenreiter"
117,"Ödland-Stratege"
118,"Zwangloser Ausritt"
119,"Herrschaftlicher Händler mit Expertise"
120,"Festtag des Gebirgsvolks"
121,"Edle Nachtgewandung"
122,"Anpacken in der Neuen Welt"
123,"Handelskarawane aus Thavnair"
124,"Geheimnisvoller Gladiator"
125,"Modischer Magier"
126,"Drapierte Mußestunden"
127,"Skalla-Noblesse"
128,"Maskierter Verräter"
129,"Leichtfüßiger Abenteurer"
130,"Aggressiver Bauer"
131,"Extrovertierter Künstler"
132,"Fernost-Nomade"
133,"Anhänger der Rebellen"
134,"Scharfsichtiger Stabsoffizier"
135,"Adretter Spion"
136,"Angehender Gaukler"
137,"Erstklassiger Croupier"
138,"Garlond-Inspekteur"
139,"Fleißiger Handwerker"
140,"Höchster Hochadel"
141,"Südseeabenteurer"
142,"Modischer Whalaqee"
143,"Schicker Gehilfe"
144,"Eleganter Handwerker"
145,"Wüstenmagier"
146,"Profi-Lieferant"
147,"Kluger Räuber"
148,"Winterkleidung"
149,"Volkstümlicher Rock"
150,"Eleganter Wüstenbewohner"
151,"Wintergeneral"
152,"Scharfsinniger Söldner"
153,"Mondanbeter"
154,"Vielseitiger Clown"
155,"Adliger Krieger"
156,"Geck aus Skalla"
157,"Eleganter Duellant"
158,"Unbezwingbarer Ritter"
159,"Leichtgerüsteter Soldat"
160,"Stürmisches Hyazinthenkind"
161,"Intellektueller Akrobat"
162,"Maskierter Magier"
163,"Freiheit und Fessel"
164,"Sommerlicher Dunkelritter"
165,"Warmherziger Gentleman"
166,"Held der Arena"
167,"Heiterer Weiser"
168,"Krieger der Nacht"
169,"Müder Camper"
170,"Fernöstlicher Pionier"
171,"Wilde Kultiviertheit"
172,"Mhigischer Jäger"
173,"Knochenharter Rebell"
174,"Helfer des Wiederaufbaus"
175,"Freies Volk von Dalmasca"
176,"Frierender Studierender"
177,"Kämpfer mit Körperstolz"
178,"Schuppenwolf"
179,"Stratege mit Vogelhirn"
180,"Genialer Magier"
181,"Tamamo in voller Montur"
182,"Bett- und kampfbereit"
183,"Modischer Matrose"
184,"Wissenschaftler mit Haut und Verstand"
185,"Gelassen im Regen stehen"
186,"Lieblicher Stabsoffizier"
187,"Küstenliebender Insulaner"
188,"Leicht bekleideter Maler"
189,"Jufuku-Attentäter"
190,"Waldpriester"
191,"Schaubudendirektor"
