key,0,1,2,3,4,5,6,7,8,9,10,11
#,Text,Item,GatheringItemLevel,,IsHidden,,FishingRecordType,TerritoryType,GatheringSubCategory,IsInLog,TimeRestricted,WeatherRestricted
int32,str,Row,GatheringItemLevelConvertTable,byte,bit&01,bit&02,FishingRecordType,TerritoryType,GatheringSubCategory,bit&04,bit&08,bit&10
0,"",0,0,0,False,False,0,0,0,True,False,False
1,"<Emphasis>Fucus malmus</Emphasis>
Cette grande algue marine est très commune. Son nom lui vient d'un spécimen trouvé autrefois dont la longueur dépassait un malm, soit 5082 fulms.",4776,4,0,False,False,0,128,0,True,False,False
2,"<Emphasis>Astacus leptodactylus</Emphasis>
Ce crustacé décapode est si glouton qu'on peut le pêcher même sans appât. Il tente d'attraper d'un coup de pince n'importe quel objet qui bouge que l'on place devant lui.",4925,2,0,False,False,2,148,0,True,False,False
3,"<Emphasis>Zacco platypus</Emphasis>
Ce poisson prend de superbes couleurs à la saison des amours. Il devient alors très populaire chez les aquariophiles.",4926,3,0,False,False,2,134,0,True,False,False
4,"<Emphasis>Gobius merlthorus</Emphasis>
Ce poisson est un maillon important de la chaîne alimentaire, puisqu'il est chassé par de nombreuses espèces plus grandes. Les pêcheurs exploitent depuis longtemps cette ca<SoftHyphen/>rac<SoftHyphen/>té<SoftHyphen/>ris<SoftHyphen/>ti<SoftHyphen/>que en prenant la chair de gobie comme appât pour la pêche au gros.",4869,3,0,False,False,0,134,0,True,False,False
5,"<Emphasis>Engraulis anchoita</Emphasis>
On raconte que la technique pour saler et conserver ce poisson aurait été découverte par hasard par des marins qiqirns, qui ont goûté et apprécié ces poissons saumurés alors qu'ils manquaient de provisions en mer.",4870,3,0,False,False,0,134,0,True,False,False
6,"<Emphasis>Ptereleotris zebra</Emphasis>
D'après une légende folklorique du Coerthas, ce poisson volait autrefois dans le ciel. Mais trop orgueilleux, il fut puni par les Dieux qui le condamnèrent à vivre au fond des mers.",4927,4,0,False,False,2,148,0,True,False,False
7,"<Emphasis>Mystus clamosus</Emphasis>
Ce poisson émet parfois un bruit strident lorsqu'il est pêché, en frottant ses nageoires, comme s'il était amer de s'être laissé prendre.",4928,4,0,False,False,2,134,0,True,False,False
