key,0,1,2,3,4,5,6,7,8
#,StampIcon,,Category,,,,,,Name
int32,Image,int32,GroupPoseStampCategory,uint16,int32,bit&01,bit&02,bit&04,str
0,0,0,0,0,0,False,False,False,"Aucun"
1,120021,2,10,200,0,False,False,False,"Début de la mission"
2,120022,2,10,201,0,False,False,False,"Mission accomplie"
3,0,0,0,0,0,False,False,False,""
4,120024,2,10,203,0,False,False,False,"Reprise de la mission"
5,120001,2,11,100,0,False,False,False,"Quête acceptée"
6,120002,2,11,101,0,False,False,False,"Quête accomplie"
7,120081,2,12,303,0,False,False,False,"ALÉA en cours"
8,120082,2,12,304,0,False,False,False,"ALÉA réussi"
9,0,0,0,0,0,False,False,False,""
10,120111,2,5,10,0,False,False,False,"Gain de niveau<Indent/>!"
11,121561,2,13,400,0,False,False,False,"JACTA commencé"
12,121562,2,13,401,0,False,False,False,"JACTA réussi"
13,0,0,0,0,0,False,False,False,""
14,121551,2,13,403,0,False,False,False,"Course de chocobos<Indent/>: Partez<Indent/>!"
15,121552,2,13,404,0,False,False,False,"Course de chocobos<Indent/>: Arrivée<Indent/>!"
16,121553,2,13,405,0,False,False,False,"Course de chocobos<Indent/>: Challenge réussi<Indent/>!"
17,121501,2,13,406,0,False,False,False,"Lance-bombo<Indent/>: Bravo<Indent/>!"
18,121502,2,13,407,0,False,False,False,"Lance-bombo<Indent/>: Raté..."
19,121511,2,13,408,0,False,False,False,"Mini-jeux<Indent/>: Excellent<Indent/>!"
20,121512,2,13,409,0,False,False,False,"Mini-jeux<Indent/>: Très bien<Indent/>!"
21,121513,2,13,410,0,False,False,False,"Mini-jeux<Indent/>: Bien<Indent/>!"
22,0,0,0,0,0,False,False,False,""
23,120114,2,5,23,0,False,False,False,"Petite équipe"
24,120115,2,5,24,0,False,False,False,"Équipe complète"
25,120119,2,5,11,0,False,False,False,"Perte de niveau..."
26,76391,2,16,2,0,True,False,False,"FINAL FANTASY XIV ONLINE (blanc)"
27,76392,2,16,1,0,True,False,False,"FINAL FANTASY XIV ONLINE (noir)"
28,0,0,0,0,0,False,False,False,""
29,0,0,0,0,0,False,False,False,""
30,76531,1,4,1,0,True,False,False,"Triple Triade<Indent/>: ★"
31,76532,1,4,2,0,True,False,False,"Triple Triade<Indent/>: ★★"
32,76533,1,4,3,0,True,False,False,"Triple Triade<Indent/>: ★★★"
33,76534,1,4,4,0,True,False,False,"Triple Triade<Indent/>: ★★★★"
34,76535,1,4,5,0,True,False,False,"Triple Triade<Indent/>: ★★★★★"
35,76540,1,4,12,0,True,False,False,"Triple Triade<Indent/>: 1"
36,76541,1,4,13,0,True,False,False,"Triple Triade<Indent/>: 2"
37,76542,1,4,14,0,True,False,False,"Triple Triade<Indent/>: 3"
38,76543,1,4,15,0,True,False,False,"Triple Triade<Indent/>: 4"
39,76544,1,4,16,0,True,False,False,"Triple Triade<Indent/>: 5"
40,76545,1,4,17,0,True,False,False,"Triple Triade<Indent/>: 6"
41,76546,1,4,18,0,True,False,False,"Triple Triade<Indent/>: 7"
42,76547,1,4,19,0,True,False,False,"Triple Triade<Indent/>: 8"
43,76548,1,4,20,0,True,False,False,"Triple Triade<Indent/>: 9"
44,76549,1,4,21,0,True,False,False,"Triple Triade<Indent/>: A"
45,76539,1,4,11,0,True,False,False,"Triple Triade<Indent/>: 0"
46,0,0,0,0,0,False,False,False,""
47,0,0,0,0,0,False,False,False,""
48,0,0,0,0,0,False,False,False,""
