key,0
#,String
int32,str
0,""
1,"Eidbalken"
2,"Mit der Fähigkeit <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Schild-Eid<UIGlow>01</UIGlow><UIForeground>01</UIForeground> begibst du dich in die Rolle des noblen Beschützers, der seine Gefährten wie kein anderer vor Gefahren zu schützen weiß. Ist diese Verteidigungshaltung aktiv, wird sie dir als spezielles Symbol angezeigt<Indent/>- das sogenannte Eidwappen. Spreche den Schild-Eid immer dann, wenn es die Aufmerksamkeit deiner Widersacher auf dir zu halten gilt!"
3,"Die Erklärung zum Job-Balken kannst du jederzeit über „Kommandos & Eigenschaften“ einsehen."
4,"Eidbalken"
5,"Mit der Eigenschaft <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Eidmeister<UIGlow>01</UIGlow><UIForeground>01</UIForeground> steht dir zusätzlich zum Eidwappen nun auch der Eidbalken zur Verfügung. Mit jeder erfolgreichen Auto-Attacke füllt er sich auf, also trainiere deinen Schwertarm gut!
Mit deiner angesammelte Eidenergie kannst du die mächtigen Fähigkeiten <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Schiltron<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Deckung<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (Stufe 45) und <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Intervention<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (Stufe 62) ausführen, um das Schlachtfeld vollends zu dominieren!"
6,"Urkraftbalken"
7,"Mit dem Erlernen der Fähigkeit <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Verteidiger<UIGlow>01</UIGlow><UIForeground>01</UIForeground> wirst du zu einem schier unbesiegbaren Schutzwall, der die Attacken seiner Feinde stoisch wegzustecken vermag. Ist diese Verteidigungshaltung aktiv, wird sie dir als spezielles Symbol angezeigt. Werde immer dann zum Verteidiger, wenn es die Aufmerksamkeit deiner Widersacher auf dir zu halten gilt!"
8,"Urkraftbalken"
9,"Mit der <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Urkraft<UIGlow>01</UIGlow><UIForeground>01</UIForeground> steht dir zusätzlich zum Verteidiger-Symbol nun auch der Urkraftbalken zur Verfügung. Mit der Ausführung bestimmter Kommandos lässt du deinen Kampfinstinkten freien Lauf und füllst so den Balken auf.
Diese angesammelte Urkraft kann aufgebraucht werden, um mächtige Fähigkeiten wie <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Tier in dir<UIGlow>01</UIGlow><UIForeground>01</UIForeground> und <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Kreiselklinge<UIGlow>01</UIGlow><UIForeground>01</UIForeground> zu entfesseln."
10,"Blutbalken"
11,"Mit der Fähigkeit <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Zähigkeit<UIGlow>01</UIGlow><UIForeground>01</UIForeground> stählst du Körper und Seele, um auch den stärksten Feinden die Stirn zu bieten. Ist diese Verteidigungshaltung aktiv, wird sie dir als spezielles Symbol angezeigt. Nutze Zähigkeit immer dann, wenn es die Aufmerksamkeit deiner Widersacher auf dir zu halten gilt!"
12,"Mal der Dunklen Seite"
13,"Mit der Fähigkeit <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Finstere Flut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> steht dir zusätzlich zum Zähigkeits-Symbol nun auch das Mal der Dunklen Seite zur Verfügung. Führst du <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Finstere Flut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> aus, so hüllst du dich gänzlich in schwärzeste Finsternis und verleihst dir den Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Dunkle Seite<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Er erhöht den Schaden deiner Angriffe, deine Klinge damit zu einer noch tödlicheren Waffe machend."
14,"Blutbalken"
15,"Mit der Eigenschaft <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Schwarzblut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> steht dir zusätzlich zum Zähigkeits-Symbol nun auch der Blutbalken zur Verfügung. Mit der Ausführung bestimmter Kommandos weckst du die Dunkle Macht in dir und füllst so den Balken auf.
Die im Blutbalken angesammelte Energie kann aufgebraucht werden, um die mächtigen Fähigkeiten <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Blutvergießen<UIGlow>01</UIGlow><UIForeground>01</UIForeground> und <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Quietus<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (Stufe 64) zu entfesseln."
16,"Mal der Dunklen Seite"
17,"Mit deiner Meisterschaft über die Fähigkeit <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Schwärzeste Nacht<UIGlow>01</UIGlow><UIForeground>01</UIForeground> hast du nun auch die Dunklen Künste erlernt! Wird die von <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Schwärzeste Nacht<UIGlow>01</UIGlow><UIForeground>01</UIForeground> gewährte Barriere vollständig konsumiert, so füllt sich das zugehörige Symbol. Ist es aktiv, kannst du damit <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Finstere Flut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> oder <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Finstere Klinge<UIGlow>01</UIGlow><UIForeground>01</UIForeground> auslösen <Indent/>- statt MP werden dabei die Dunklen Künste verbraucht."
18,"Mal der Dunklen Seite"
19,"Das Auslösen der Fähigkeit <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Schattenschemen<UIGlow>01</UIGlow><UIForeground>01</UIForeground> bringt einen unerwarteten Verbündeten mit sich! Ein Heldenschemen formt sich aus deiner Dunklen Macht und kämpft wacker an deiner Seite. Dein Mal der Dunklen Seite zeigt dir an, wie lange der Schemen bestehen bleibt."
20,"Heilbalken"
21,"Mit der Eigenschaft <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Geheimnis der Lilie<UIGlow>01</UIGlow><UIForeground>01</UIForeground> erblühen von nun an <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Lilien<UIGlow>01</UIGlow><UIForeground>01</UIForeground> für dich. Nach einer bestimmten Zeit, die du im Kampf verbringst, erblüht eine solche <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Lilie<UIGlow>01</UIGlow><UIForeground>01</UIForeground> entlang deines Heilbalkens für dich<Indent/>- dort kannst du jederzeit sehen, wie viele dir gerade zur Verfügung stehen. Konsumiere ihre mystischen Kräfte, um mächtige Zauber wie <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Afflatus solatii<UIGlow>01</UIGlow><UIForeground>01</UIForeground> und <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Afflatus laetitiae<UIGlow>01</UIGlow><UIForeground>01</UIForeground> zu wirken!"
22,"Heilbalken"
23,"Die Eigenschaft <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Verbessertes Afflatus solatii<UIGlow>01</UIGlow><UIForeground>01</UIForeground> erlaubt dir, neben regulären <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Lilien<UIGlow>01</UIGlow><UIForeground>01</UIForeground> nun auch eine <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Blutlilie<UIGlow>01</UIGlow><UIForeground>01</UIForeground> zum Erblühen zu bringen<Indent/>- sie öffnet sich in drei Stufen. Erst durch sie kann der zerstörerische Zauber <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Afflatus miseriae<UIGlow>01</UIGlow><UIForeground>01</UIForeground> gewirkt werden."
24,"Ätherstrombalken"
25,"Wirkst du die Fähigkeit <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Ätherfluss<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, so werden die dir verliehenen Aufladungen nun als leuchtende Symbole im sogenannten Ätherstrombalken angezeigt."
26,"Feenbalken"
