key,0,1,2,3,4
#,Objective,Requirement,,Image,Order
int32,str,str,uint16,Image,byte
0,"","",100,0,0
1,"Bonne pêche","Condition : obtenir 2 500 points ou plus.",110,65901,4
2,"Pêche au gros","Condition : obtenir 5 000 points ou plus.",120,65902,5
3,"La prise du jour","Condition : pêcher une prise de rareté quatre étoiles (★★★★).",110,65903,6
4,"La prise d'une vie","Condition : pêcher une prise de rareté cinq étoiles (★★★★★).",120,65904,7
5,"De quoi manger","Condition : pêcher 15 prises ou plus dans les courants spectraux.",110,65905,8
6,"De quoi festoyer","Condition : pêcher 35 prises ou plus dans les courants spectraux.",120,65906,9
7,"Une pêche d'enfer<Indent/>: baie de Galadion","Condition : pêcher 10 prises différentes ou plus en équipe dans la baie de Galadion.",110,65907,10
8,"Une pêche d'enfer<Indent/>: détroit sud de Merlthor","Condition : pêcher 10 prises différentes ou plus en équipe au détroit sud de Merlthor.",110,65908,13
9,"Une pêche d'enfer<Indent/>: détroit nord de Merlthor","Condition : pêcher 10 prises différentes ou plus en équipe au détroit nord de Merlthor.",110,65909,19
10,"Une pêche d'enfer<Indent/>: mer de Rhotano","Condition : pêcher 10 prises différentes ou plus en équipe dans la mer de Rhotano.",110,65910,22
11,"Pêcheurs légendaires","Condition : pêcher au moins 3 prises de rareté cinq étoiles (★★★★★) en équipe.",150,65911,31
12,"Bénédiction de Llymlaen","Condition : repérer un courant spectral.",110,65912,32
13,"Octo-opus","Condition : pêcher 150 pieuvres ou plus en équipe.",120,65913,33
14,"Chasseurs de requins","Condition : pêcher 200 requins ou plus en équipe.",130,65914,34
15,"Le bateau de la méduse","Condition : pêcher 150 méduses ou plus en équipe.",120,65915,35
16,"Fièvre de cheval des mers","Condition : pêcher 100 hippocampes ou plus en équipe.",110,65916,36
17,"Débutant de la pêche en mer","Condition : remplir un des trois objectifs personnels lors d'un voyage.",105,65923,1
18,"Amateur de la pêche en mer","Condition : remplir deux des trois objectifs personnels lors d'un voyage.",110,65924,2
19,"Pro de la pêche en mer","Condition : remplir tous les objectifs personnels lors d'un voyage.",120,65925,3
20,"Amateur du ballon rond","Condition : pêcher 250 fugus ou plus en équipe.",130,65917,37
21,"Pince-sans-rire","Condition : pêcher 250 crabes ou plus en équipe.",130,65918,38
22,"Raies arraisonnées","Condition : pêcher 25 raies ou plus.",120,65919,39
23,"Une pêche d'enfer<Indent/>: baie de Galadion","Condition : pêcher 9 prises différentes ou plus en équipe dans la baie de Galadion. (Nombre requis ajusté au nombre de participants)",110,65907,11
24,"Une pêche d'enfer<Indent/>: baie de Galadion","Condition : pêcher 8 prises différentes ou plus en équipe dans la baie de Galadion. (Nombre requis ajusté au nombre de participants)",110,65907,12
25,"Une pêche d'enfer<Indent/>: détroit sud de Merlthor","Condition : pêcher 9 prises différentes ou plus en équipe au détroit sud de Merlthor. (Nombre requis ajusté au nombre de participants)",110,65908,14
26,"Une pêche d'enfer<Indent/>: détroit sud de Merlthor","Condition : pêcher 8 prises différentes ou plus en équipe au détroit sud de Merlthor. (Nombre requis ajusté au nombre de participants)",110,65908,15
27,"Une pêche d'enfer<Indent/>: détroit nord de Merlthor","Condition : pêcher 9 prises différentes ou plus en équipe au détroit nord de Merlthor. (Nombre requis ajusté au nombre de participants)",110,65909,20
28,"Une pêche d'enfer<Indent/>: détroit nord de Merlthor","Condition : pêcher 8 prises différentes ou plus en équipe au détroit nord de Merlthor. (Nombre requis ajusté au nombre de participants)",110,65909,21
29,"Une pêche d'enfer<Indent/>: mer de Rhotano","Condition : pêcher 9 prises différentes ou plus en équipe dans la mer de Rhotano. (Nombre requis ajusté au nombre de participants)",110,65910,23
30,"Une pêche d'enfer<Indent/>: mer de Rhotano","Condition : pêcher 8 prises différentes ou plus en équipe dans la mer de Rhotano. (Nombre requis ajusté au nombre de participants)",110,65910,24
31,"Une pêche d'enfer<Indent/>: îles Cieldalaes","Condition : pêcher 10 prises différentes ou plus en équipe au large des îles Cieldalaes.",110,65920,16
32,"Une pêche d'enfer<Indent/>: îles Cieldalaes","Condition : pêcher 9 prises différentes ou plus en équipe au large des îles Cieldalaes. (Nombre requis ajusté au nombre de participants)",110,65920,17
33,"Une pêche d'enfer<Indent/>: îles Cieldalaes","Condition : pêcher 8 prises différentes ou plus en équipe au large des îles Cieldalaes. (Nombre requis ajusté au nombre de participants)",110,65920,18
34,"Une pêche d'enfer<Indent/>: mer Pourpre","Condition : pêcher 10 prises différentes ou plus en équipe dans la mer Pourpre.",110,65921,25
35,"Une pêche d'enfer<Indent/>: mer Pourpre","Condition : pêcher 9 prises différentes ou plus en équipe dans la mer Pourpre. (Nombre requis ajusté au nombre de participants)",110,65921,26
36,"Une pêche d'enfer<Indent/>: mer Pourpre","Condition : pêcher 8 prises différentes ou plus en équipe dans la mer Pourpre. (Nombre requis ajusté au nombre de participants)",110,65921,27
37,"Une pêche d'enfer<Indent/>: golfe de Rothlyt","Condition : pêcher 10 prises différentes ou plus en équipe dans le golfe de Rothlyt.",110,65922,28
38,"Une pêche d'enfer<Indent/>: golfe de Rothlyt","Condition : pêcher 9 prises différentes ou plus en équipe dans le golfe de Rothlyt. (Nombre requis ajusté au nombre de participants)",110,65922,29
39,"Une pêche d'enfer<Indent/>: golfe de Rothlyt","Condition : pêcher 8 prises différentes ou plus en équipe dans le golfe de Rothlyt. (Nombre requis ajusté au nombre de participants)",110,65922,30
