key,0,1
#,,
int32,byte,str
0,0,""
1,7,"Quallen oder Krabben fangen"
2,5,"Fische mit Rang ★★★ oder höher fangen"
3,3,"●★★★★を3匹釣る。"
4,34,"Fische mit schwachem Zug fangen (!)"
5,18,"Fische mit starkem Zug fangen (!!)"
6,6,"Fische mit extremem Zug fangen (!!!)"
7,5,"Haie fangen"
8,5,"Fische mit Rang ★★★ oder höher fangen"
9,3,"●★★★★を3匹釣る。"
10,34,"Fische mit schwachem Zug fangen (!)"
11,11,"Fische mit starkem Zug fangen (!!)"
12,13,"Fische mit extremem Zug fangen (!!!)"
13,13,"Krabben fangen"
14,5,"Fische mit Rang ★★★ oder höher fangen"
15,3,"●★★★★を3匹釣る。"
16,31,"Fische mit schwachem Zug fangen (!)"
17,27,"Fische mit starkem Zug fangen (!!)"
18,5,"Fische mit extremem Zug fangen (!!!)"
19,13,"Kugelfische fangen"
20,5,"Fische mit Rang ★★★ oder höher fangen"
21,3,"●★★★★を3匹釣る。"
22,39,"Fische mit schwachem Zug fangen (!)"
23,18,"Fische mit starkem Zug fangen (!!)"
24,8,"Fische mit extremem Zug fangen (!!!)"
