key,0
#,
int32,str
0,""
1,"Mowen Handelsgesellschaft"
2,"Bei Mowen Handelsgesellschaft kannst du alle Arten von allagischen Steinen und andere Güter gegen die hochwertigen Waren der Handelsgesellschaft eintauschen. Dabei garantieren wir höchste Qualität und das Ausbleiben jeglicher Streiche durch die Pixies! "
3,"Scheinewechsler"
4,"Hier können Handwerker- und Sammlerscheine gegen allerlei lokale Qualitätswaren aber auch importierte Güter eingetauscht werden. Egal welcher Profession du nachgehst, bei den Scheinewechslern kannst du die Früchte deiner harten Arbeit gegen die erlesensten Waren tauschen!"
5,"Die Sammler-Kabuse"
6,"In der Sammler-Kabuse nehmen wir neben unseren ganz eigenen, ausgegebenen Sammlerscheinen auch solche aus aller Welt und von allen Professionen an. Unsere weiten Netze ziehen alles mögliche an Land, also wirf ein Auge auf was wir hier zu bieten haben! "
7,"Ausstattungsoffizier"
8,"Hier können wilde Wölfe ihre im Kampf gewonnenen Wolfsmarken gegen Ausrüstung und andere nützliche Gegenstände eintauschen. Schärfe deine Klauen und blecke deine Zähne auf dem Schlachtfeld, um deine Kämpfernatur mit angemessenem Rüstzeug zum Ausdruck zu bringen! Möge der Urkristall dich leiten!"
