key,0
#,Text
int32,str
0,""
1,"Sortir de <Highlight>ObjectParameter(56)</Highlight><Indent/>?"
2,"Sortir seul"
3,"Sortir avec l'équipe"
4,"Annuler"
5,"Vaincre <SheetFr(BNpcName,2,IntegerParameter(1),1,1)/>"
6,"???"
7,"Progression"
8,"Vous allez quitter l'instance."
9,"Où souhaitez-vous aller<Indent/>?
Emplacement actuel<Indent/>: <Highlight>StringParameter(1)</Highlight>"
10,"Point de départ"
11,"Annuler"
12,""
13,""
14,""
15,""
16,""
17,""
18,""
19,""
20,""
21,""
22,""
23,""
24,""
25,""
26,""
27,"Une sortie apparaît."
28,"l'opération de guilde"
29,""
30,""
31,""
32,""
33,""
34,""
35,""
36,""
37,""
38,""
39,""
40,""
41,""
42,""
43,""
44,""
45,""
46,""
47,""
48,""
49,""
50,""
51,""
52,""
53,""
54,""
55,""
56,""
57,""
58,""
59,""
60,""
61,""
62,""
63,""
64,""
65,""
66,""
67,""
68,""
69,""
70,""
71,""
72,""
73,""
74,""
75,""
76,""
77,""
78,""
79,""
80,""
81,""
82,""
83,""
84,""
85,""
86,""
87,""
88,""
89,""
90,""
91,""
92,""
93,""
94,""
95,""
96,""
97,""
98,""
99,""
100,""
101,""
102,""
103,""
104,""
105,""
106,""
107,""
108,""
1000,"Trouver le rosaire de culte"
1001,"Détruire les orbes de culte"
1002,"Désactiver la barrière magique"
1003,"Est-ce vous qui avez ouvert les portes en quête d'une 
revanche sanglante<Indent/>? Mais peu importe."
1004,"Approchez... Le maître immortel se repaîtra de vos cerveaux ce soir<Indent/>!"
1100,"Petites clefs"
1101,"Trouver le parchemin ensanglanté"
1102,"Trouver la clef du Gui"
1103,"Trouver la clef de l'Œillet"
1200,"Cellules magitek"
1201,"Activer le terminal magitek dans le repos du démuni"
1202,"Ouvrir la porte de la chambre de torture"
1203,"Activer le terminal magitek dans le repos du sot"
1300,"Mission accomplie<Indent/>! Venez prendre la récompense."
1301,"Éliminer tous les ennemis"
1302,"Éliminer <SheetFr(BNpcName,2,IntegerParameter(1),1,1)/>"
1303,"Capturer <SheetFr(BNpcName,2,IntegerParameter(1),1,1)/>"
1304,"Escorter <SheetFr(BNpcName,2,IntegerParameter(1),1,1)/> à destination"
1305,"Belle dé<SoftHyphen/>mon<SoftHyphen/>stra<SoftHyphen/>tion<Indent/>!
Venez donc prendre votre récompense."
1306,"C'est fini, non<Indent/>? Alors ramenez votre arrière-train par ici 
pour prendre votre récompense<Indent/>!"
1307,"Ha ha ha<Indent/>! Bien joué<Indent/>! Tu mérites une bonne récompense.
Viens me voir pour l'obtenir."
1308,"Hé, c'est qu'tu défends bien<Indent/>!
T'as bien mérité une récompense. Viens ici pour que je te la file."
1400,"Éliminer les groupes ennemis un par un"
1401,"Si <SheetFr(BNpcName,2,IntegerParameter(1),1,1)/> vous repère,
il ordonnera aux cibles restantes d'attaquer. 
Restez hors de son champ de vision et
occupez-vous de ses alliés un par un."
1402,"Si <SheetFr(BNpcName,2,IntegerParameter(1),1,1)/> vous repère,
il ordonnera aux cibles restantes d'attaquer. 
Restez hors de son champ de vision et
occupez-vous de ses alliés un par un."
1403,"Du calme<Indent/>! Si vous voulez pas mourir, ne prenez
qu'un groupe à la fois<Indent/>!"
1404,""
1405,"Ne vous hâtez donc pas vers le danger<Indent/>! Essayez d'éloigner
le fretin du goobbue sans alarmer le balourd moussu<Indent/>!"
1406,"Belle manœuvre<Indent/>!
Maintenant, éliminez les végétaux<Indent/>!"
1407,"Le goobbue vous a repéré<If(PlayerParameter(4))>e<Else/></If><Indent/>! Éliminez ses comparses
avant de passer au géant vert, ou vous ne ferez pas long feu<Indent/>!"
1408,"Debout<Indent/>! Vous n'allez pas beaucoup aider vos équipiers
en restant sur l'herbe comme une baleine échouée<Indent/>!"
1409,"Mais par tous les enfers, qu'est-ce que vous faites<Indent/>!?
Repliez-vous et regroupez-vous<Indent/>!"
1410,"Je m'étais trompée sur vous. Vos chances de victoire sont
un <Emphasis>poil</Emphasis> au-dessus du zéro absolu."
1411,"Allez, vous vous en sortez bien pour le moment,
maintenant achevez-le<Indent/>!"
1500,"<SheetFr(BNpcName,2,IntegerParameter(1),1,1)/> va appeler des renforts.
Abattez-le avant qu'il ne le fasse<Indent/>!"
1501,"<SheetFr(BNpcName,2,IntegerParameter(1),1,1)/> a appris une nouvelle technique de combat. Attention<Indent/>!"
1502,"<SheetFr(BNpcName,2,IntegerParameter(1),1,1)/> a encore appris une nouvelle technique de combat. Attention<Indent/>!"
1503,"Le plus solide des équipiers devrait attirer l'ennemi au loin."
1504,"Les attaques infligeront plus de dégâts sur les côtés ou par derrière<Indent/>!"
1505,"Des renforts<Indent/>! Interceptez-les<Indent/>!"
1506,"En voilà d'autres<Indent/>! Mais différents des précédents<Indent/>!"
1600,"Éliminez <SheetFr(BNpcName,2,IntegerParameter(1),2,1)/> pour ouvrir le 1er portail"
1601,"Éliminez l'ennemi et ouvrez le portail à l'aide du levier"
1602,"Éliminez <SheetFr(BNpcName,2,IntegerParameter(1),1,1)/> au plus vite"
1603,"Derrière vous<Indent/>! Tuez les lémurs les moins puissants avant de vous concentrer sur le vrai danger."
1604,"Tirez sur le levier et ouvrez le portail<Indent/>!"
1605,"Vite<Indent/>! Les rochers ne retiendront pas les yarzons pendant longtemps<Indent/>!"
1606,"Un autre groupe de yarzons est arrivé<Indent/>!
Éliminez vite le crapaud avant d'être débordés<Indent/>!"
1607,"Des yarzons se sont infiltrés<Indent/>! Oubliez le crapaud et concentrez-vous sur l'élimination de ces vermines<Indent/>!"
1608,"Un deuxième groupe approche<Indent/>!
Préparez-vous<Indent/>!"
1609,"Superbe dé<SoftHyphen/>mon<SoftHyphen/>stra<SoftHyphen/>tion de force et de vitesse<Indent/>!
Bien joué<Indent/>!"
1610,"Les rochers commencent à céder<Indent/>!
Restez sur vos gardes<Indent/>!"
1611,"Les rochers vont se briser d'un instant à l'autre et laisser passer les yarzons<Indent/>!"
1612,"Maintenant, tirez sur le levier et ouvrez le portail... quand vous serez prêts à affronter ce qui vous attend de l'autre côté."
1613,"Si vous continuez à ignorer mes in<SoftHyphen/>struc<SoftHyphen/>tions, vous allez tous y passer<Indent/>!"
1614,"Maintenant qu'on a éliminé ces deux-là, concentrez vos efforts sur le verrat."
1615,"Quelque chose me dit qu'il y en aura d'autres si on s'occupe pas rapidement de ce crapaud."
1616,"Le premier portail est ouvert<Indent/>! Soignez vos blessures avant d'aller au deuxième."
1617,"Le deuxième portail est ouvert<Indent/>! Encore un et vous atteindrez la tanière du crapaud géant<Indent/>!"
1618,"Le troisième portail est tombé<Indent/>! Le seigneur des lieux attend un peu plus loin<Indent/>!"
1619,"Le portail se déverrouillera quand les monstres des environs seront neutralisés. Éliminez tous les puks<Indent/>!"
1700,"<Clickable(<SheetFr(BNpcName,2,IntegerParameter(1),2,1)/>)/> vont essayer de soigner <SheetFr(BNpcName,2,IntegerParameter(2),1,1)/>."
1701,"Utilisez des noyaux d'élémentaire de feu pour mettre le feu aux touffes d'herbe et produire une fumée somnifère."
1702,"Vos ordres sont de capturer la gilkhélone.
Commencez par affaiblir la pauvre créature."
1703,"Les ravisseurs de la tortue ne se laisseront pas faire et soigneront ses blessures pour vous gêner. Éloignez-la d'eux<Indent/>!"
1704,"Dans son état de faiblesse actuel, la gilkhélone ne pourra pas résister aux effets des herbes. Vite, trouvez des noyaux<Indent/>!"
1705,"Utilisez le noyau pour mettre le feu à la touffe d'herbe qui est devant moi."
1706,"Les herbes sont en feu<Indent/>! Maintenant, faites en sorte d'attirer la gilkhélone vers la fumée<Indent/>!"
1707,"Et c'est ainsi que la brave tortue tombe dans un profond sommeil. Mission accomplie<Indent/>!"
1708,"Ces tritons pourraient se révéler gênants si on ne fait rien. 
Éliminez-les avant que la situation ne dégénère."
1709,"Vous n'avez plus de noyaux<Indent/>? Alors, allez en chercher d'autres<Indent/>! Ça paraît évident, tout de même..."
1710,"Retenez vos coups<Indent/>! Le client a bien précisé qu'il voulait la bête en vie. Si vous la tuez, la mission échouera<Indent/>!"
1711,"Bande de crétins maladroits<Indent/>! Qu'est-ce qu'on va dire au seigneur Adeledji maintenant<Indent/>!?"
1712,"Cette fumée n'aura pas d'effet sur la tortue tant qu'elle sera dans cet état. Il faut l'affaiblir, d'abord<Indent/>!"
1713,"Libérer la fumée maintenant serait inutile. Je vais m'occuper des herbes pendant que vous affaiblissez la tortue."
1714,"Noyaux d'élémentaire de feu"
1715,"Faites taire ces bandits<Indent/>!"
1800,"Attirez les ennemis pour combattre loin des boules de pollen<Indent/>!"
1801,"Éliminez les ennemis en mouvement en faisant attention à la dispersion du pollen empoisonné."
1802,"Attention au pollen empoisonné<Indent/>!
Affrontez les ennemis hors de la brume toxique<Indent/>!"
1803,"Ne baissez pas votre garde, et continuez comme ça<Indent/>!"
1804,"N'entrez pas dans les zones envahies par le pollen<Indent/>! 
Attirez l'ennemi à vous, plutôt<Indent/>!"
1805,"Sortez du pollen sur-le-champ<Indent/>! Ne vous laissez pas affaiblir<Indent/>!"
1806,"Restez à l'écart des boules de pollen qui tombent, 
ou bien vous allez subir leur poison<Indent/>!"
1807,"Au bout d'un moment, le vent dissipe la brume<Indent/>!"
1808,"La brume, elle revient<Indent/>!"
1809,"La créature a quitté la brume de pollen<Indent/>! 
C'est notre chance<Indent/>! Éliminons-la<Indent/>!"
1810,"Votre ennemi faiblit à chacun de vos coups<Indent/>! 
N'arrêtez pas<Indent/>!"
1811,"Oui<Indent/>! Je crois que vous l'avez, il ne 
tiendra plus très longtemps<Indent/>!"
1900,"Affronter trop d'ennemis à la fois est dangereux. 
Éliminez séparément les unités qui circulent<Indent/>!"
1901,"Attention aux renforts ennemis<Indent/>!"
1902,"Neutralisez les soigneurs en priorité<Indent/>!"
1903,"Camarades Ventrerouge<Indent/>! À moi<Indent/>!"
1904,"À moi, soigneurs<Indent/>!"
