key,0,1,2,3
#,Icon,JournalCategory,,Name
int32,Image,JournalCategory,bit&01,str
0,0,0,False,""
1,61412,1,True,"Chroniques de la 7e ère ombrale"
2,61412,2,True,"Chroniques de la 7e ère astrale"
3,61412,3,True,"Chroniques ishgardaises"
4,61412,4,True,"Guerre du chant des dragons - Épilogue"
5,61412,5,True,"Après-guerre du chant des dragons"
6,61412,6,True,"Récits d'une tempête de sang"
7,61412,7,True,"Après la tempête de sang"
8,61412,8,True,"Chroniques des Ténèbres"
9,61412,9,True,"Le retour des Héritiers"
10,61412,10,True,"Prélude à l'apocalypse"
11,61412,11,True,"Chroniques de l'apocalypse"
12,61412,12,True,"Récits d'une nouvelle aventure"
13,61411,13,True,"Primordiaux (A Realm Reborn)"
14,61411,14,True,"Bahamut"
15,61411,15,True,"Tour de Cristal"
16,61411,16,True,"Alexander"
17,61411,17,True,"Primordiaux (Heavensward)"
18,61411,18,True,"Ombre de Mhach"
19,61411,19,True,"Oméga"
20,0,0,False,""
21,61411,20,True,"Retour à Ivalice"
22,61411,21,True,"Quatre animaux sacrés"
23,61411,22,True,"Éden"
24,61411,23,True,"YoRHa: Dark Apocalypse"
25,61411,24,True,"Complainte de Werlyt"
26,61411,25,True,"Pandæmonium"
27,61411,26,True,"Le Mythe éorzéen"
28,0,0,False,""
29,0,0,False,""
30,61411,28,True,"Histoire principale"
31,61411,28,True,"Quêtes quotidiennes"
32,61411,29,True,"Histoire principale"
33,61411,29,True,"Quêtes quotidiennes"
34,61411,30,True,"Histoire principale"
35,61411,30,True,"Quêtes quotidiennes"
36,61411,31,True,"Histoire principale"
37,61411,31,True,"Quêtes quotidiennes"
38,61411,32,True,"Histoire principale"
39,61411,32,True,"Quêtes quotidiennes"
40,61411,33,True,"Histoire principale"
41,61411,33,True,"Quêtes quotidiennes"
42,61411,34,True,"Histoire principale"
43,61411,34,True,"Quêtes quotidiennes"
44,61411,35,True,"Histoire principale"
45,61411,35,True,"Quêtes quotidiennes"
46,61411,36,True,"Histoire principale"
47,61411,36,True,"Quêtes quotidiennes"
48,61411,37,True,"Histoire principale"
49,61411,37,True,"Quêtes quotidiennes"
50,61411,38,True,"Histoire principale"
51,61411,38,True,"Quêtes quotidiennes"
52,61411,39,True,"Histoire principale"
53,61411,39,True,"Quêtes quotidiennes"
54,61411,40,True,"Histoire principale"
55,61411,40,True,"Quêtes quotidiennes"
56,61411,41,True,"Histoire principale"
57,61411,41,True,"Quêtes quotidiennes"
58,61411,42,True,"Hildibrand, gentilhomme détective"
59,61411,42,True,"Hildibrand, gentilhomme détective (Heavensward)"
60,61411,42,True,"Hildibrand, gentilhomme détective (Stormblood)"
61,0,0,False,""
62,61411,42,True,"Scolasticat Saint-Endalim"
63,61411,42,True,"Guerre du chant des dragons - Réminiscences"
64,61411,42,True,"Ménestrel errant"
65,61411,42,True,"Armes du zodiaque"
66,61411,42,True,"Armes anima"
67,61411,42,True,"La terre interdite d'Eurêka"
68,61411,42,True,"Garde-la-Reine"
69,61411,42,True,"Quêtes du Mog postier"
70,61411,42,True,"Quêtes des tribus alliées"
71,61411,42,True,"Quêtes des tribus alliées (Heavensward)"
72,61411,42,True,"Quêtes des tribus alliées (Stormblood)"
73,61411,42,True,"Clan des aventuriers de Doma"
74,61411,42,True,"Reconstruction du quartier enclavé"
75,61411,42,True,"Sur le chemin du retour des Héritiers"
76,61411,42,True,"L'appel du néant"
77,0,0,False,""
78,61411,42,True,"Reconstruction d'Ishgard"
79,61411,42,True,"Reconstruction d'Ishgard : quêtes annexes"
80,61411,43,True,"Noscea"
81,61411,44,True,"Sombrelinceul"
82,61411,45,True,"Thanalan"
83,61411,46,True,"Coerthas"
84,61411,47,True,"Mor Dhona"
85,61411,48,True,"Ishgard"
86,61411,49,True,"Abalathia"
87,61411,50,True,"Avant-pays dravanien"
88,61411,50,True,"Arrière-pays dravanien"
89,61411,50,True,"Écume des cieux de Dravania"
90,61411,50,True,"Idyllée"
91,61411,51,True,"Azys Lla"
92,61411,52,True,"L'Étendue de Rhalgr"
93,61411,52,True,"Les Marges"
94,61411,52,True,"Les Pics"
95,61411,52,True,"Les Lacs"
96,61411,54,True,"Kugane"
97,61411,53,True,"Mer de Rubis"
98,61411,53,True,"Yanxia"
99,61411,53,True,"Steppe d'Azim"
100,61411,55,True,"Cristarium"
101,61411,56,True,"Eulmore"
102,61411,55,True,"Grand-Lac"
103,61411,56,True,"Kholusia"
104,61411,57,True,"Amh Araeng"
105,61411,58,True,"Il Mheg"
106,61411,59,True,"Rak'tika"
107,61411,60,True,"La Tempête"
108,61411,61,True,"Vieille Sharlayan"
109,61411,62,True,"Radz-at-Han"
110,61411,61,True,"Le Labyrinthos"
111,61411,62,True,"Thavnair"
112,61411,63,True,"Garlemald"
113,61411,64,True,"Mare Lamentorum"
114,61411,65,True,"Elpis"
115,61411,66,True,"Ultima Thulé"
116,62301,67,True,"Quêtes de gladiateur"
117,62302,67,True,"Quêtes de pugiliste"
118,62303,67,True,"Quêtes de maraudeur"
119,62304,67,True,"Quêtes de maître d'hast"
120,62305,67,True,"Quêtes d'archer"
121,62309,67,True,"Quêtes de surineur"
122,62306,68,True,"Quêtes d'élémentaliste"
123,62307,68,True,"Quêtes d'occultiste"
124,62308,68,True,"Quêtes d'arcaniste"
125,62310,69,True,"Quêtes de menuisier"
126,62311,69,True,"Quêtes de forgeron"
127,62312,69,True,"Quêtes d'armurier"
128,62313,69,True,"Quêtes d'orfèvre"
129,62314,69,True,"Quêtes de tanneur"
130,62315,69,True,"Quêtes de couturier"
131,62316,69,True,"Quêtes d'alchimiste"
132,62317,69,True,"Quêtes de cuisinier"
133,62318,70,True,"Quêtes de mineur"
134,62319,70,True,"Quêtes de botaniste"
135,62320,70,True,"Quêtes de pêcheur"
136,62401,73,True,"Quêtes de paladin"
137,62402,73,True,"Quêtes de moine"
138,62403,73,True,"Quêtes de guerrier"
139,62404,73,True,"Quêtes de chevalier dragon"
140,62405,73,True,"Quêtes de barde"
141,62410,73,True,"Quêtes de ninja"
142,62406,74,True,"Quêtes de mage blanc"
143,62407,74,True,"Quêtes de mage noir"
144,62408,74,True,"Quêtes d'invocateur"
145,62409,74,True,"Quêtes d'érudit"
146,62412,73,True,"Quêtes de chevalier noir"
147,62411,73,True,"Quêtes de machiniste"
148,62413,74,True,"Quêtes d'astromancien"
149,62414,73,True,"Quêtes de samouraï"
150,62415,74,True,"Quêtes de mage rouge"
151,62417,73,True,"Quêtes de pistosabreur"
152,62418,73,True,"Quêtes de danseur"
153,62420,74,True,"Quêtes de sage"
154,62419,73,True,"Quêtes de faucheur"
155,62416,74,True,"Quêtes de mage bleu"
156,61411,71,True,"Quêtes des métallurgistes"
157,61411,71,True,"Quêtes des façonniers"
158,61411,71,True,"Quêtes des préparateurs"
159,61411,71,True,"Quêtes des naturalistes"
160,61411,71,True,"Quêtes des pêcheurs"
161,61411,71,True,"Quêtes de la halle du Juste"
162,62521,72,True,"Quêtes du département d'archéologie"
163,62521,72,True,"Quêtes du département d'astronomie"
164,62521,72,True,"Quêtes du département de médecine"
165,62521,72,True,"Quêtes du département d'anthropologie "
166,62521,72,True,"Quêtes du département d'éthérologie"
167,62521,72,True,"Quêtes de l'académie de magie de Sharlayan"
168,62522,75,True,"Quêtes de tank (Shadowbringers)"
169,62522,75,True,"Quêtes de soigneur (Shadowbringers)"
170,62522,75,True,"Quêtes de DPS physique (Shadowbringers)"
171,62522,75,True,"Quêtes de DPS magique (Shadowbringers)"
172,62522,75,True,"Quêtes de rôle (Shadowbringers)"
173,62522,75,True,"Quêtes de tank (Endwalker)"
174,62522,75,True,"Quêtes de soigneur (Endwalker)"
175,62522,75,True,"Quêtes de DPS physique de mêlée (Endwalker)"
176,62522,75,True,"Quêtes de DPS physique à distance (Endwalker)"
177,62522,75,True,"Quêtes de DPS magique (Endwalker)"
178,62522,75,True,"Quêtes de rôle (Endwalker)"
179,61401,76,True,"Quêtes du Maelstrom"
180,61402,76,True,"Quêtes de l'ordre des Deux Vipères"
181,61403,76,True,"Quêtes des Immortels"
182,61411,77,True,"Événements saisonniers"
183,61411,77,True,"Fête de la transition"
184,61411,77,True,"Quêtes orientales"
185,61411,77,True,"Valention"
186,61411,77,True,"Valention & fête des demoiselles"
187,61411,77,True,"Fête des demoiselles"
188,61411,77,True,"Chasse aux Prœufs"
189,61411,77,True,"Festival du Gold Saucer"
190,61411,77,True,"Feux de la Mort"
191,61411,77,True,"Fête de la Commémoration"
192,61411,77,True,"Veillée des saints"
193,61411,77,True,"Fête des étoiles"
194,61411,77,True,"Autres événements"
195,61411,78,True,"Quêtes spéciales"
196,61411,78,True,"Visiteurs d'autres univers"
197,62501,79,False,"Mandats de mercenariat"
198,62502,83,False,"Mandats de menuisier"
199,62503,84,False,"Mandats de forgeron"
200,62504,85,False,"Mandats d'armurier"
201,62505,86,False,"Mandats d'orfèvre"
202,62506,87,False,"Mandats de tanneur"
203,62507,88,False,"Mandats de couturier"
204,62508,89,False,"Mandats d'alchimiste"
205,62509,90,False,"Mandats de cuisinier"
206,62510,80,False,"Mandats de mineur"
207,62511,81,False,"Mandats de botaniste"
208,62512,82,False,"Mandats de pêcheur"
209,0,0,False,""
210,0,0,False,""
211,0,0,False,""
212,0,0,False,""
213,0,0,False,""
214,0,0,False,""
215,0,0,False,""
216,0,0,False,""
217,0,0,False,""
218,0,0,False,""
219,0,0,False,""
220,0,0,False,""
221,0,0,False,""
222,0,0,False,""
223,0,0,False,""
224,0,0,False,""
225,0,0,False,""
226,0,0,False,""
227,0,0,False,""
228,0,0,False,""
229,0,0,False,""
230,0,0,False,""
231,0,0,False,""
232,0,0,False,""
233,0,0,False,""
234,0,0,False,""
235,0,0,False,""
236,62513,104,False,"Mandats du Maelstrom"
237,62514,104,False,"Mandats de l'ordre des Deux Vipères"
238,62515,104,False,"Mandats des Immortels"
239,61801,105,False,"Donjons"
240,61802,106,False,"Raids"
241,61804,107,False,"Défis"
242,61824,108,False,"Donjons sans fond"
243,61833,108,False,"La terre interdite d'Eurêka"
244,61838,108,False,"Garde-la-Reine"
245,61803,105,False,"Opérations de guilde"
246,0,109,False,"Épopée"
