key,0,1,2,3,4
#,LegacyQuestID,Text,String,SortKey,Genre
int32,uint16,str,str,uint16,byte
0,0,"","",0,0
1,0,"Sibyllinischer Singsang","",1,246
2,1,"Der Schatz im Meer","",2,246
3,2,"Llymlaens Legende","",3,246
4,3,"Duell an Deck","",4,246
5,4,"Der Himmel brennt","",5,246
6,5,"Der Fluch des Waldes","",6,246
7,6,"Der Groll der Gebieter","",7,246
8,7,"Der Wald ruft","",8,246
9,8,"Ein bewegtes Fest","",9,246
10,9,"Die goldene Stadt","",10,246
11,10,"Kollateralschaden","",11,246
12,11,"Die latente Gefahr","",12,246
13,12,"Beginn einer Freundschaft","",13,246
14,13,"Rettung der Sylphen","",14,246
15,14,"Zwischen den Fronten","",15,246
16,15,"Ein kühner Plan","",16,246
17,16,"Der Gott der Flammen","",17,246
18,17,"Befreiung der Befreier","",18,246
19,18,"In eine unsichere Zukunft","",19,246
20,59,"Die Macht des Geldes","",20,248
21,60,"Die Falschgeldaffäre","",21,248
22,61,"Die Kehrseite der Münze","",22,248
23,79,"Das Debüt","",23,248
24,80,"Der Preis der Freiheit","",24,248
25,81,"Das große Turnier","",25,248
26,99,"Blutiger Baptismus","",26,248
27,100,"Der Piratenball","",27,248
28,101,"Befehl des Kapitäns","",28,248
29,139,"Tipps für Abenteurer","",29,248
30,140,"Tipps für Abenteurer","",30,248
31,141,"Tipps für Abenteurer","",31,248
32,143,"Auswahl eines neuen Partners","",32,248
33,159,"Gemeinsam stark","",33,248
34,160,"Der finstere Wald","",34,248
35,161,"Schatten der Vergangenheit","",35,248
36,179,"Kein Grund zum Klagen","",36,248
37,180,"Lockruf des Goldes","",37,248
38,181,"Sicheres Geleit","",38,248
39,239,"Bestellte Blutrache","",39,248
40,240,"Die Rivalin","",40,248
41,241,"Die Lehre Nald'thals","",41,248
42,259,"Im Dienste der Gebieter","",42,248
43,260,"Des Ritters Traum","",43,248
44,261,"Stimmen im Wind","",44,248
45,299,"Kleine Lehrer","",45,248
46,300,"Kleine Teufel","",46,248
47,301,"Ausflug ins Grüne","",47,248
48,319,"Auf einem Ohr taub","",48,248
49,320,"Sirenengesang","",49,248
50,321,"Insel der Versuchungen","",50,248
51,359,"Von herrlicher Gestalt","",51,248
52,360,"F'lhaminns Blume","",52,248
53,361,"Die Kordialklinge","",53,248
54,379,"Lebensrettendes Leder","",54,248
55,380,"Markenschutz muss sein","",55,248
56,381,"Reparatur-Abitur","",56,248
57,399,"Akt I: Rot","",57,248
58,400,"Akt II: Asche","",58,248
59,401,"Akt III: Schnee","",59,248
60,419,"Abgrundtiefer Schlaf","",60,248
61,420,"Der Jüngling und der Drache","",61,248
62,421,"Träum ich oder wach ich","",62,248
63,439,"Showdown","",63,248
64,440,"Der verschwundene Kunde","",64,248
65,441,"Die Suppe versalzen","",65,248
66,459,"Ein Fragment vergangener Zeiten","",66,248
67,460,"Sabotage","",67,248
68,461,"Die Ausreißerin","",68,248
69,479,"Die Wurzeln Gridanias","",69,248
70,480,"Fernweh","",70,248
71,481,"Mogrys auf Blumen betten","",71,248
72,499,"Fischrücken bezwingen","",72,248
73,500,"Terz am Teich","",73,248
74,501,"Eine gute Zeit","",74,248
75,626,"Götterdämmerung, Akt I „Ifrit“","",75,247
76,632,"Verhört, versenkt, verzweifelt","",76,247
77,633,"Endgültige Übergangslösung","",77,247
78,635,"Auge um Auge","",78,247
79,637,"Der richtige Pfiff","",79,247
80,638,"Harte Schale, weicher Kern","",80,247
