key,0,1,2,3,4
#,LegacyQuestID,Text,String,SortKey,Genre
int32,uint16,str,str,uint16,byte
0,0,"","",0,0
1,0,"Paroles sibyllines","",1,246
2,1,"Le trésor du grand bleu","",2,246
3,2,"La légende de Llymlaen","",3,246
4,3,"Duel sur le pont","",4,246
5,4,"Naufrage","",5,246
6,5,"La souillure","",6,246
7,6,"La colère des esprits","",7,246
8,7,"Les invités","",8,246
9,8,"Un festival mouvementé","",9,246
10,9,"La Cité qui ne dort jamais","",10,246
11,10,"Dégâts collatéraux","",11,246
12,11,"Quand la mort frappe","",12,246
13,12,"Prémices","",13,246
14,13,"Sauvetage désespéré","",14,246
15,14,"Un dialogue de sourds","",15,246
16,15,"Une alliance risquée","",16,246
17,16,"Le dieu des flammes","",17,246
18,17,"Libérer les libérateurs","",18,246
19,18,"Retrouvailles","",19,246
20,59,"L'art de l'usure","",20,248
21,60,"L'affaire des faux jetons","",21,248
22,61,"L'envers du jeton","",22,248
23,79,"Les éliminatoires","",23,248
24,80,"Droits inaliénables","",24,248
25,81,"Le tournoi","",25,248
26,99,"Le baptême des Bourreaux","",26,248
27,100,"Le bal des pirates","",27,248
28,101,"Tous les coups sont permis","",28,248
29,139,"Les comptoirs de l'auberge","",29,248
30,140,"Les comptoirs de l'auberge","",30,248
31,141,"Les comptoirs de l'auberge","",31,248
32,143,"J'aimerais changer de partenaire","",32,248
33,159,"Les flèches divines","",33,248
34,160,"Sombre forêt","",34,248
35,161,"Blessures du passé","",35,248
36,179,"Les vigiles sombres","",36,248
37,180,"Choc de cultures","",37,248
38,181,"Un mal nécessaire","",38,248
39,239,"Les contrats de vendetta","",39,248
40,240,"La rivale","",40,248
41,241,"La parole de Nald'thal","",41,248
42,259,"Au service des esprits","",42,248
43,260,"Le rêve du chevalier","",43,248
44,261,"La voix des esprits","",44,248
45,299,"De bien jeunes professeurs","",45,248
46,300,"Les petits démons","",46,248
47,301,"Le cadeau des esprits","",47,248
48,319,"Dur d'oreille","",48,248
49,320,"Le chant des sirènes","",49,248
50,321,"L'île interdite","",50,248
51,359,"Donner forme à la beauté","",51,248
52,360,"La Fleur de F'lhaminn","",52,248
53,361,"Percecœur","",53,248
54,379,"Contrôle qualité","",54,248
55,380,"Le deuxième Atelier","",55,248
56,381,"Evaluation générale","",56,248
57,399,"Acte I : Le rouge","",57,248
58,400,"Acte II : La cendre","",58,248
59,401,"Acte III : Le blanc","",59,248
60,419,"Un sommeil sans fin","",60,248
61,420,"Le garçon et le dragon","",61,248
62,421,"Rêve... ou réalité ?","",62,248
63,439,"Duel aux fourneaux","",63,248
64,440,"Le gourmet disparu","",64,248
65,441,"La soupe empoisonnée","",65,248
66,459,"Un fragment du passé","",66,248
67,460,"Sabotage","",67,248
68,461,"La fugue","",68,248
69,479,"Les racines de Gridania","",69,248
70,480,"La Cité lumière","",70,248
71,481,"Le champ de fleurs des Mogs","",71,248
72,499,"Unis contre les Sahuagins","",72,248
73,500,"Le Maître des viviers","",73,248
74,501,"Opération exceptionnelle","",74,248
75,626,"L'épreuve du feu","",75,247
76,632,"Marchandises égarées à la douane","",76,247
77,633,"Un pont à réparer","",77,247
78,635,"La revanche des Barracudas","",78,247
79,637,"Tout pour mon ragoût","",79,247
80,638,"Un pirate bien distrait","",80,247
81,639,"L'amour d'une mère","",81,247
82,640,"Bon pour le moral","",82,247
83,641,"La plage aux coquillages","",83,247
84,642,"Mauvaise pêche","",84,247
85,643,"Un peu plus près des étoiles","",85,247
