key,0,1,2,3,4,5,6
#,Icon,Category,MainCommandCategory,SortID,,Name,Description
int32,Image,byte,MainCommandCategory,sbyte,byte,str,str
0,0,0,0,0,0,"",""
1,16,1,1,-5,1,"Initiative","Lässt den Charakter seine Waffe ziehen oder wegstecken."
2,1,6,1,0,6,"Charakter","Zeigt die Spielwerte des Charakters an. Du kannst z. B. neue Ausrüstung anlegen und Titel ändern."
3,4,2,1,-4,2,"Kommandoliste","Zeigt die Kommandos an, die der Charakter ausführen kann. Du kannst z. B. Kommandos im Kommandomenü anlegen und Rollenkommandos einrichten."
4,5,4,2,0,21,"Archiv","Zeigt aktive und abgeschlossene Aufträge und Freibriefe an. Du kannst z. B. die Aufgabenliste anpassen und Freibriefe beginnen oder entfernen."
5,47,12,2,8,29,"Timer","Zeigt die verbleibende Spielzeit, Vollmachten oder Wartezeit für verschiedene Inhalte, z. B. Freibriefe oder Aufträge der Wilden Stämme an."
6,6,17,1,11,17,"Errungenschaften","Zeigt eine Liste der Errungenschaften an. Du kannst den Fortschritt und die Bedingungen einsehen."
7,23,4,3,1,33,"Sammler-Notizbuch","Zeigt eine Liste der Gegenstände an, die Sammler durch Abbauen, Herausbrechen, Abholzen und Abernten beschaffen sollen. Außerdem wird angezeigt, in welchen Gegenden diese Gegenstände zu finden sind."
8,21,1,3,-2,30,"Bestiarium","Zeigt eine Liste der Monster an, die Krieger und Magier erlegen sollen. Außerdem wird angezeigt, in welchen Gegenden die Monster zu finden sind und wie viel Routine man erhält."
9,22,3,3,0,32,"Handwerker-Notizbuch","Zeigt eine Liste der Gegenstände an, die Handwerker herstellen sollen sowie deren Syntheserezepte. Hier kannst du den Synthesevorgang starten."
10,2,8,1,2,8,"Inventar","Zeigt die Gegenstände und Kristalle in deinem Besitz an. Du kannst Gegenstände benutzen, umsortieren und mehr."
11,3,3,2,-1,20,"Schlüsselgegenstände","Zeigt die Schlüsselgegenstände in deinem Besitz an. Wenn du einen Auftrag, zu dem ein Schlüsselgegenstand gehört, entfernst, wird auch der Schlüsselgegenstand gelöscht."
12,17,1,5,0,44,"Kontakte","Zeigt eine Liste deiner Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glieder an. Du kannst z. B. die Gruppe verlassen, auflösen oder die Anzeigereihenfolge ändern."
13,18,10,6,7,60,"Freunde","Zeigt eine Liste der Charaktere an, die du als Freunde registriert hast. Flüstere einem Freund etwas zu oder lade einen Freund auf deiner Welt in deine Gruppe ein."
14,19,12,6,9,62,"Schwarze Liste","Zeigt eine Liste der Charaktere an, die du auf die Schwarze Liste gesetzt hast. Sie unterliegen verschiedenen Beschränkungen, z. B. erscheinen sie nicht in deinem Chat-Fenster und können nicht mit dir handeln oder dich in ihre Gruppe einladen."
15,20,1,6,-2,51,"Spielersuche","Mit der Spielersuche kannst du unter verschiedenen Kriterien nach anderen Spielercharakteren suchen. Außerdem kannst du deinen Online-Status oder Suchkommentar ändern."
16,7,4,4,0,41,"Karte","Zeigt eine Karte an, auf der du die Position deiner Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glieder oder Zielgebiete deiner Aufträge nachsehen kannst. Händler und wichtige Orientierungspunkte sind ebenfalls eingetragen. Du kannst auch zoomen oder Karten anderer Regionen anzeigen."
17,9,3,6,0,53,"Emotes","Zeigt eine Liste der Emotes an. Sie helfen dir, mit anderen Spielern zu interagieren und verleihen dem Spiel Atmosphäre. Du kannst sie auch im Kommandomenü anlegen."
18,10,3,5,2,46,"Markierungen","Mit Markierungen kannst du für deine Gruppe oder Allianz Gegner oder Verbündete kennzeichnen, um den Kampfablauf zu dirigieren."
19,29,6,7,1,68,"Systemkonfiguration","In den Systemeinstellungen kannst du Konfigurationen von Sound und Grafik vornehmen oder die Tastenbelegung ändern."
20,28,9,7,4,71,"Tastenbelegung","Hier kannst du die Tasten mit ver<SoftHyphen/>schie<SoftHyphen/>den<SoftHyphen/>sten Funktionen belegen."
21,30,8,7,3,70,"Makros","Hier kannst du Textmakros für einzelne oder alle Charaktere erstellen, um wiederkehrende komplexe Aktionen mit einem einzigen Klick ausführen zu können, und im Kommandomenü anlegen. Die verfügbaren Textbefehle werden in einer Liste angezeigt."
22,31,7,7,2,69,"Layout","Hier kannst du die Position, Größe und Darstellung von Anzeigefenstern und anderen UI-Elementen ändern."
23,27,10,7,6,73,"Ausloggen","Loggt dich aus und bringt dich zum Titelbildschirm zurück."
24,26,11,7,7,74,"Spiel beenden","Loggt dich aus und beendet das Spiel."
25,32,7,1,1,7,"Arsenal","Hier werden Aus<SoftHyphen/>rüstungs<SoftHyphen/>gegen<SoftHyphen/>stände beim Erwerb automatisch verstaut. Sie sind nach Körperteilen geordnet und können jederzeit angelegt werden."
26,0,0,0,0,0,"",""
