key,0,1,2,3,4
#,List,,Priority,Name,Icon
int32,bit&01,bit&02,byte,str,Image
0,False,False,0,"",0
1,False,False,0,"Assurance qualité",61532
2,False,False,0,"Maître de jeu",61524
3,False,False,0,"Maître de jeu",61532
4,False,False,0,"Participe à un événement",61533
5,False,False,0,"Déconnecté(e)",61503
6,True,False,1,"En attente de réponse (requête d'ami)",61501
7,True,False,2,"En attente de réponse (linkshell)",61501
8,True,False,3,"En attente de réponse (compagnie libre)",61501
9,True,False,4,"Introuvable",61502
10,True,False,5,"Hors ligne",61504
11,True,False,6,"Mentor de combat",61542
12,True,False,7,"Occupé(e)",61509
13,True,False,8,"JcJ",61510
14,True,False,9,"Triple Triade",61539
15,True,False,10,"Cinématique",61508
16,True,False,12,"À dos de chocobo de relais",61534
17,True,False,13,"Absent(e)",61511
18,True,False,14,"Mode caméra",61546
19,True,False,15,"Cherche un réparateur",61512
20,True,False,16,"Cherche à réparer",61513
21,True,True,17,"Sertisseur(se) de matérias",61514
22,True,False,18,"Jeu de rôle",61545
23,True,False,19,"Cherche une équipe",61515
24,True,False,20,"Mercenaire",61516
25,True,False,21,"Enregistré(e) dans l'outil de mission",61517
26,True,False,22,"Recrute des équipiers",61536
27,True,False,31,"Mentor",61540
28,True,False,32,"Mentor (combats)",61542
29,True,False,33,"Mentor (artisanat/récolte)",61543
30,True,False,34,"Mentor (JcJ)",61544
31,True,False,35,"Rappelé(e)",61547
32,True,False,36,"Novice",61523
33,True,False,23,"Chef d'alliance",61518
34,True,False,24,"Chef d'équipe d'une alliance",61519
35,True,False,25,"Membre d'équipe d'une alliance",61520
36,True,False,26,"Chef d'équipe",61521
37,True,False,27,"Membre d'équipe",61522
38,True,True,28,"Chef d'équipe (inter-Monde)",61961
39,True,True,29,"Membre d'équipe (inter-Monde)",61962
40,True,False,30,"En mission (inter-Mondes)",61535
41,False,False,0,"En mission commune",61506
42,False,False,0,"En mission identique (autre groupe)",61507
43,True,False,11,"En mission",61510
44,True,False,38,"Aventurier à l'essai",61525
45,False,False,0,"Compagnie libre",0
46,False,False,0,"Grande compagnie",0
47,True,False,37,"En ligne",61505
