key,0
#,Name
int32,str
0,""
1,""
2,""
3,""
4,""
5,"Über Rynes ersten Bericht sprechen"
6,"Über Titania sprechen"
7,"Über Innozenz sprechen"
8,"Über Hades sprechen"
9,"Über Lakshmi sprechen"
10,"Über Susano sprechen"
11,"Über Shinryu sprechen "
12,"Über Tsukuyomi sprechen"
13,"Über Byakko sprechen"
14,"Über Suzaku sprechen"
15,"Über Seiryu sprechen"
16,"Über Bahamut sprechen"
17,"Über die Ultima-Waffe sprechen"
18,"Über Alexander sprechen"
19,"Über Rynes zweiten Bericht sprechen"
20,"Das Modell der Rubin-Waffe"
21,"Über Varis sprechen"
22,"Projekt Epos aktivieren"
23,"Phase 2 von Projekt Epos aktivieren"
24,"Phase 3 von Projekt Epos aktivieren"
25,"Über den Krieger des Lichts sprechen"
26,"Über den Abschlussbericht sprechen"
27,"Über die Smaragd-Waffe sprechen"
28,"Über die Diamant-Waffe sprechen"
29,"Über Zodiark sprechen"
30,"Über Hydaelyn sprechen"
31,"Über Asphodelos sprechen"
32,"Über die Endsängerin sprechen"
33,"Über den Drachenkrieg sprechen"
