key,0
#,Name
int32,str
0,""
1,""
2,""
3,""
4,""
5,"Discuter du premier temps de l'expédition"
6,"Celui de Titania"
7,"Celui d'Innocence"
8,"Celui d'Hadès"
9,"Celui de Lakshmi"
10,"Celui de Susano"
11,"Celui de Shinryu"
12,"Celui de Tsukuyomi"
13,"Celui de Byakko"
14,"Celui de Suzaku"
15,"Celui de Seiryû"
16,"Celui de Bahamut"
17,"Celui d'Ultima Arma"
18,"Celui d'Alexander"
19,"Discuter du deuxième temps de l'expédition"
20,"Celle de l'Arme Rubis"
21,"Raconter votre combat contre Varis"
22,"Démarrer le projet Sadique"
23,"Démarrer la deuxième phase du projet Sadique"
24,"Démarrer la troisième phase du projet Sadique"
25,"Celui d'Elidibus"
26,"Discuter du dernier temps de l'expédition"
27,"Celle de l'Arme Émeraude"
28,"Celle de l'Arme Diamant"
29,"Celui de Zordiarche"
30,"Celui d'Hydaelyn"
31,"Témoigner à propos des Limbes"
32,"Celui de la chantre de l'ané<SoftHyphen/>an<SoftHyphen/>tis<SoftHyphen/>se<SoftHyphen/>ment"
33,"Celui de la Guerre du chant des dragons"
