key,0
#,
int32,str
0,""
1,"Öffne deinen Sonnenschirm."
2,"Öffne deinen himmlischen Sonnenschirm."
3,"Öffne deinen roten Ölpapierschirm."
4,"Öffne deinen violetten Ölpapierschirm."
5,"Öffne deinen gelben Ölpapierschirm."
6,"Öffne deinen blau karierten Sonnenschirm."
7,"Öffne deinen rot karierten Sonnenschirm."
8,"Öffne deinen schwarz karierten Sonnenschirm."
9,"Lass dir Engelsflügel auf den Rücken projizieren."
10,"Öffne deinen Gold Saucer-Sonnenschirm."
11,"Öffne deinen blau-weiß gepunkteten Sonnenschirm."
12,"Öffne deinen rosa-weiß gepunkteten Sonnenschirm."
13,"Öffne deinen hellblau-weiß gepunkteten Sonnenschirm."
14,"Öffne deinen Dicke-Katze-Sonnenschirm."
15,"Öffne deinen Wasserschlange-Sonnenschirm."
16,"Öffne deinen Dalamud-Papierschirm."
17,"Projiziere die Fügel eines gefallenen Engels auf deinen Rücken."
18,"Projiziere die Fügel eines Erzengels auf deinen Rücken."
19,"Projiziere die Fügel Diabolos' auf deinen Rücken."
20,"Projiziere die Fügel einer Pixie auf deinen Rücken."
21,""
22,"Projiziere eine ovale Brille auf deine Nase."
23,"Öffne deinen weißen Rüschen-Sonnenschirm."
24,"Öffne deinen blauen Blüten-Sonnenschirm."
25,"Projiziere eine getönte Brille auf deine Nase."
26,"Projiziere eine klassische Brille auf deine Nase."
27,""
28,""
29,""
30,""
