key,0
#,
int32,str
0,""
1,"Déploie une ombrelle."
2,"Déploie une ombrelle d'azur."
3,"Déploie une ombrelle pourpre laquée."
4,"Déploie une ombrelle mauve laquée."
5,"Déploie une ombrelle dorée laquée."
6,"Déploie une ombrelle à carreaux bleue."
7,"Déploie une ombrelle à carreaux rouge."
8,"Déploie une ombrelle à carreaux noire."
9,"Déploie une paire d'ailes angéliques."
10,"Déploie une ombrelle du Gold Saucer."
11,"Déploie une ombrelle bleue à pois."
12,"Déploie une ombrelle rose à pois."
13,"Déploie une ombrelle vert d'eau à pois."
14,"Déploie une ombrelle gros minou."
15,"Déploie une ombrelle Serpent marin de Ronka<Indent/>?"
16,"Déploie une ombrelle Dalamud."
17,"Déploie une paire d'ailes d'ange déchu."
18,"Déploie une paire d'ailes d'archange."
19,"Déploie une paire d'ailes de Diabolos."
20,"Déploie une paire d'ailes de Pixie."
21,""
22,"Déploie un mirage de lunettes ovales."
23,"Déploie une ombrelle à dentelle blanche."
24,"Déploie une ombrelle à fleurs bleues."
25,"Déploie un mirage de lunettes teintées."
26,"Déploie un mirage de lunettes classiques."
27,""
28,""
29,""
30,""
