key,0,1,2,3,4,5,6,7
#,Name,Icon,ClassJob,Level,Quest,Value,ClassJobCategory,
int32,str,Image,ClassJob,byte,Quest,int16,ClassJobCategory,byte
0,"",0,0,0,0,0,0,0
1,"KONS-Schub",0,0,0,0,0,0,0
2,"KONS-Schub II",0,0,0,0,0,0,0
3,"KONS-Schub III",0,0,0,0,0,0,0
4,"KONS-Schub",0,0,0,0,0,0,0
5,"KONS-Schub II",0,0,0,0,0,0,0
6,"KONS-Schub III",0,0,0,0,0,0,0
7,"STR-Schub",0,0,0,0,0,0,0
8,"STR-Schub II",0,0,0,0,0,0,0
9,"STR-Schub III",0,0,0,0,0,0,0
10,"Verbesserter Geölter Blitz",0,0,0,0,0,0,0
11,"Verbesserter Geölter Blitz II",0,0,0,0,0,0,0
12,"STR-Schub",0,0,0,0,0,0,0
13,"STR-Schub II",0,0,0,0,0,0,0
14,"STR-Schub III",0,0,0,0,0,0,0
15,"GESK-Schub",0,0,0,0,0,0,0
16,"GESK-Schub II",0,0,0,0,0,0,0
17,"Verbesserter Gewaltiger Schuss",5306,5,2,0,0,50,0
18,"Verbesserte Kommandos",5302,5,20,0,10,50,0
19,"GESK-Schub III",0,0,0,0,0,0,0
20,"Verbesserte Kommandos II",5303,5,40,0,20,50,0
21,"WLK-Schub",0,0,0,0,0,0,0
22,"WLK-Schub II",0,0,0,0,0,0,0
23,"Verbesserte Kommandos",5185,6,20,0,10,53,0
24,"WLK-Schub III",0,0,0,0,0,0,0
25,"Verbessertes Vita",5330,6,32,0,0,53,0
26,"Verbesserte Kommandos II",5186,6,40,0,30,53,0
27,"INT-Schub",0,0,0,0,0,0,0
28,"INT-Schub II",0,0,0,0,0,0,0
29,"Verbesserte Kommandos",5185,7,20,0,10,55,0
30,"INT-Schub III",0,0,0,0,0,0,0
31,"Verbesserte Kommandos II",5186,7,40,0,30,55,0
32,"Verbessertes Feuer",5352,7,42,0,0,55,0
33,"Verbesserte Blitzzauber",5355,7,28,0,0,55,0
34,"Auto-Geodäsie",5451,17,2,0,0,18,0
35,"Verbesserte Coeurl-Pfoten",0,0,0,0,30,0,0
