key,0,1,2,3,4,5,6,7
#,Name,Icon,ClassJob,Level,Quest,Value,ClassJobCategory,
int32,str,Image,ClassJob,byte,Quest,int16,ClassJobCategory,byte
0,"",0,0,0,0,0,0,0
1,"Vitalité améliorée",0,0,0,0,0,0,0
2,"Vitalité améliorée II",0,0,0,0,0,0,0
3,"Vitalité améliorée III",0,0,0,0,0,0,0
4,"Vitalité améliorée",0,0,0,0,0,0,0
5,"Vitalité améliorée II",0,0,0,0,0,0,0
6,"Vitalité améliorée III",0,0,0,0,0,0,0
7,"Force améliorée",0,0,0,0,0,0,0
8,"Force améliorée II",0,0,0,0,0,0,0
9,"Force améliorée III",0,0,0,0,0,0,0
10,"Vitesse de l'éclair améliorée",0,0,0,0,0,0,0
11,"Vitesse de l'éclair améliorée II",0,0,0,0,0,0,0
12,"Force améliorée",0,0,0,0,0,0,0
13,"Force améliorée II",0,0,0,0,0,0,0
14,"Force améliorée III",0,0,0,0,0,0,0
15,"Dextérité améliorée",0,0,0,0,0,0,0
16,"Dextérité améliorée II",0,0,0,0,0,0,0
17,"Tir à l'arc puissant amélioré",5306,5,2,0,0,50,0
18,"Dégâts des actions augmentés",5302,5,20,0,10,50,0
19,"Dextérité améliorée III",0,0,0,0,0,0,0
20,"Dégâts des actions augmentés II",5303,5,40,0,20,50,0
21,"Esprit amélioré",0,0,0,0,0,0,0
22,"Esprit amélioré II",0,0,0,0,0,0,0
23,"Efficacité des actions augmentée",5185,6,20,0,10,53,0
24,"Esprit amélioré III",0,0,0,0,0,0,0
25,"Soin amélioré",5330,6,32,0,0,53,0
26,"Efficacité des actions augmentée II",5186,6,40,0,30,53,0
27,"Intelligence améliorée",0,0,0,0,0,0,0
28,"Intelligence améliorée II",0,0,0,0,0,0,0
29,"Efficacité éthérée augmentée",5185,7,20,0,10,55,0
30,"Intelligence améliorée III",0,0,0,0,0,0,0
31,"Efficacité éthérée augmentée II",5186,7,40,0,30,55,0
32,"Pyromane",5352,7,42,0,0,55,0
33,"Nuage d'orage",5355,7,28,0,0,55,0
34,"Auto Forestier",5451,17,2,0,0,18,0
35,"Furtivité améliorée",0,0,0,0,30,0,0
