key,0
#,Description
int32,str
0,"ダミー"
1,"Dungeons (St. 1 - 49)"
2,"Dungeons (St. 50)"
3,"Dungeons (St. 51 - 59)"
4,"Dungeons (St. 60)"
5,"Palast der Toten"
6,"Carteneauer Front"
7,"The Feast"
8,"Dungeons (St. 61 - 69)"
9,"Dungeons (St. 70)"
10,"Geheime Horte"
11,"Stahlschwingen"
12,"Tiefes Gewölbe"
13,"Dungeons (St. 71 - 79)"
14,"Dungeons (St. 80)"
15,"Dungeons (St. 81 - 89)"
16,"Dungeons (St. 90)"
17,"Crystalline Conflict"
18,"Verschlungene Schatten 1-5"
19,"Verschlungene Schatten 2 - 1-4"
20,"Verschlungene Schatten 3 - 1-4"
21,"Alexander - Gordios 1-4"
22,"Alexander - Midas 1-4"
23,"Alexander - Der Schöpfer 1-4"
24,"Deltametrie 1.0-4.0"
25,"Sigmametrie 1.0-4.0"
26,"Alphametrie 1.0-4.0"
