key,0
#,Description
int32,str
0,"Test"
1,"donjons (nv 1-49)"
2,"donjons (nv 50)"
3,"donjons (nv 51-59)"
4,"donjons (nv 60)"
5,"Palais des morts"
6,"Front"
7,"The Feast"
8,"donjons (nv 61-69)"
9,"donjons (nv 70)"
10,"caches au trésor"
11,"Ailes rivales"
12,"donjons sans fond"
13,"donjons (nv 71-79)"
14,"donjons (nv 80)"
15,"donjons (nv 81-89)"
16,"donjons (nv 90)"
17,"Crystalline Conflict"
18,"Labyrinthe de Bahamut"
19,"Méandres de Bahamut"
20,"Abîme de Bahamut"
21,"Alexander : le Père"
22,"Alexander : le Fils"
23,"Alexander : le Créateur"
24,"Oméga : Deltastice"
25,"Oméga : Sigmastice"
26,"Oméga : Alphastice"
