key,0,1
#,,
int32,str,str
0,"TEXT_DEEPDUNGEONENTRANCE_WOODWAILERCAPTAIN01556_000_000","Les autorités gridaniennes nous ont chargés, mon équipe et moi, d'enquêter sur l'apparition d'étranges ruines dans la forêt de Sombrelinceul. Ces lieux étant pour le moins dangereux, je vous conseille de rester à l'écart pour le moment."
1,"TEXT_DEEPDUNGEONENTRANCE_WOODWAILERCAPTAIN01556_000_020","Nous ignorons toujours quelles étaient les intentions de celui qui a créé le Palais des morts, mais il est certain que le parchemin qui a été découvert nous apportera des éléments de réponse..."
2,"TEXT_DEEPDUNGEONENTRANCE_TEST_START_MENU_ENTER","<UIForeground>F20235</UIForeground><UIGlow>F20236</UIGlow>Pénétrer dans le Palais des morts<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
3,"TEXT_DEEPDUNGEONENTRANCE_TEST_START_MENU_RESET","Effacer une sauvegarde"
4,"TEXT_DEEPDUNGEONENTRANCE_TEST_START_MENU_BREAKUP","Dissoudre une équipe fixe"
5,"TEXT_DEEPDUNGEONENTRANCE_TEST_START_MENU_SCORE","Vérifier les scores"
6,"TEXT_DEEPDUNGEONENTRANCE_TEST_START_MENU_ABOUT","En savoir plus sur le Palais des morts"
7,"TEXT_DEEPDUNGEONENTRANCE_TEST_ENTER_MENU_TITLE","Que voulez-vous faire<Indent/>?"
8,"TEXT_DEEPDUNGEONENTRANCE_TEST_ENTER_MENU_FIXED","Pénétrer en équipe fixe"
9,"TEXT_DEEPDUNGEONENTRANCE_TEST_ENTER_MENU_MATCHING","Pénétrer en équipe formée par grou<SoftHyphen/>page"
10,"TEXT_DEEPDUNGEONENTRANCE_TEST_ENTER_MENU_BACK","Retour"
11,"TEXT_DEEPDUNGEONENTRANCE_TEST_ENTER_FIXED_Q","Pénétrer dans le Palais des morts en <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>équipe fixe<UIGlow>01</UIGlow><UIForeground>01</UIForeground><Indent/>?"
12,"TEXT_DEEPDUNGEONENTRANCE_TEST_ENTER_MATCHING_Q","Pénétrer dans le Palais des morts en <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>équipe formée par grou<SoftHyphen/>page<UIGlow>01</UIGlow><UIForeground>01</UIForeground><Indent/>?"
