key,0,1
#,,
int32,str,str
0,"TEXT_DEEPDUNGEONGACHA_ABOUT_WOODWAILERAPPRAISERS_000_000","Unsere Späher und die Abenteurer, die bei der Erkundung des Palasts der Toten helfen, leisten gute Arbeit. Sie haben allerhand gelmorrische Artefakte an die Oberfläche befördert. Ich bin hier, um sie zu begutachten."
1,"TEXT_DEEPDUNGEONGACHA_ABOUT_WOODWAILERAPPRAISERS_000_010","Sag, <If(PlayerParameter(4))>Abenteurerin<Else/>Abenteurer</If>, bist du bei deiner Erkundung des Palasts der Toten auf einen verborgenen Schatz gestoßen? Ich muss dich warnen: Manche dieser Schätze sind mit einem Fluch belegt und müssen genauestens inspiziert werden. Zum Glück kenne ich mich mit gelmorrischen Artefakten aus."
2,"TEXT_DEEPDUNGEONGACHA_ABOUT_WOODWAILERAPPRAISERS_000_020","Eine Schriftrolle, verfasst vom Erbauer des Palasts ... Was mag dort wohl geschrieben stehen?"
3,"TEXT_DEEPDUNGEONGACHA_STARTMENU_TITLE","Was möchtest du machen?"
4,"TEXT_DEEPDUNGEONGACHA_STARTMENU_GACHA","Einen gefundenen Schatz begutachten lassen"
5,"TEXT_DEEPDUNGEONGACHA_STARTMENU_ABOUT","Mehr über die verborgenen Schätze erfahren"
6,"TEXT_DEEPDUNGEONGACHA_STARTMENU_EXIT","Nichts"
7,"TEXT_DEEPDUNGEONGACHA_ABOUT_WOODWAILERAPPRAISERS_000_050","Überall im Palast der Toten haben die Gelmorraner verborgene Schätze hinterlassen. Sie sind von außer<SoftHyphen/>ordent<SoftHyphen/>lich starker magischer Potenz und müssen mit gebührender Vorsicht behandelt werden, denn manche von ihnen sind mit Flüchen belegt. Ein Späher wurde sogar dauerhaft in einen Frosch verwandelt ..."
8,"TEXT_DEEPDUNGEONGACHA_ABOUT_WOODWAILERAPPRAISERS_000_051","Also wurde ich hierher entsandt, um die Schätze zu inspizieren. Wenn du einen findest, bring ihn zu mir, und ich werde ihn genauestens begutachten."
9,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_060","Im Palast der Toten können verborgene Schätze gefunden werden, die von einer starken Magie geschützt werden und deren Inhalt dem Finder zunächst unbekannt bleibt."
10,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_061","Bringe gefundene Schätze zu der Archäologin in Mühlenbruch, damit sie den Schutzzauber entfernt und dir den Inhalt überreichen kann."
11,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_062","Um einen Schatz zu finden, ist es erforderlich, sich für eine bestimmte kurze Zeit an der richtigen Stelle zu befinden."
12,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_063","Es ist aber nicht möglich, diese Stellen beim gewöhnlichen Erkunden zu finden."
13,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_064","Benutze ein bestimmtes Tongefäß, um Stellen, an denen Schätze verborgen sind, sichtbar zu machen."
14,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_065","Gefundene Schätze erscheinen erst im Inventar, wenn der Boss-Gegner einer bestimmten Ebene besiegt, der Fortschritt gespeichert und das Tiefe Gewölbe verlassen wird."
15,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_066","Je tiefer du in den Palast der Toten vordringst, desto bessere Schätze findest du. Viel Erfolg bei der Schatz<SoftHyphen/>suche!"
16,"TEXT_DEEPDUNGEONGACHA_STARTMENU_WHO","（★未使用／削除予定★）"
17,"TEXT_DEEPDUNGEONGACHA_ABOUT","（★未使用／削除予定★）"
18,"TEXT_DEEPDUNGEONGACHA_WHO","（★未使用／削除予定★）"
19,"TEXT_DEEPDUNGEONGACHA_REJECT","（★未使用／削除予定★）"
