key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFTOWNWARPNODE_00028_YESNO_QUESTION","Êtes-vous <If(PlayerParameter(4))>prête<Else/>prêt</If> à partir<Indent/>?"
1,"TEXT_CMNDEFTOWNWARPNODE_00028_YESNO_YES","Oui"
2,"TEXT_CMNDEFTOWNWARPNODE_00028_YESNO_NO","Non"
3,"TEXT_CMNDEFTOWNWARPNODE_00028_MENU_TITLE","Choisissez une destination.
Lieu actuel<Indent/>: <Highlight>StringParameter(1)</Highlight>"
4,"TEXT_CMNDEFTOWNWARPNODE_00028_MENU_TITLE_MESSAGE","

Vous n'avez accès à aucune éthérite urbaine.
"
5,"TEXT_CMNDEFTOWNWARPNODE_00028_MENU_01","Place de l'Éthérite"
6,"TEXT_CMNDEFTOWNWARPNODE_00028_MENU_02","Guilde des archers"
7,"TEXT_CMNDEFTOWNWARPNODE_00028_MENU_03","Guilde des tanneurs"
8,"TEXT_CMNDEFTOWNWARPNODE_00028_MENU_04","Guilde des maîtres d'hast"
9,"TEXT_CMNDEFTOWNWARPNODE_00028_MENU_05","Guilde des élé<SoftHyphen/>men<SoftHyphen/>ta<SoftHyphen/>lis<SoftHyphen/>tes"
10,"TEXT_CMNDEFTOWNWARPNODE_00028_MENU_06","Guilde des botanistes"
11,"TEXT_CMNDEFTOWNWARPNODE_00028_MENU_07","Amphithéâtre de Mih Khetto"
12,"TEXT_CMNDEFTOWNWARPNODE_00028_MENU_08","Porte du Blaireau bleu (Forêt centrale est)"
13,"TEXT_CMNDEFTOWNWARPNODE_00028_MENU_09","Porte de la Vipère jaune (Forêt du nord)"
14,"TEXT_CMNDEFTOWNWARPNODE_00028_MENU_CANCEL","Annuler"
15,"TEXT_CMNDEFTOWNWARPNODE_00028_FIRST_OPEN_01","Vous pouvez maintenant utiliser les éthérites urbaines."
16,"TEXT_CMNDEFTOWNWARPNODE_00028_FIRST_OPEN_02","Il vous suffit de toucher l'une des éthérites du réseau de transport urbain éthéré pour vous déplacer rapidement à travers la cité."
17,"TEXT_CMNDEFTOWNWARPNODE_00028_FULL_OPEN_01","Vous vous êtes harmonisé<If(PlayerParameter(4))>e<Else/></If> avec toutes les éthérites urbaines de Gridania.
Vous pouvez désormais vous téléporter vers la porte du Blaireau bleu et la porte de la Vipère jaune pour sortir de la ville."
