key,0,1
#,,
int32,str,str
0,"TEXT_CMNFSTALPHALEVELUP_00018_EXPLANATION","Der Hüter Althyk hat mich in seiner unendlichen Weisheit mit der Fähigkeit gesegnet, die Zeit zu manipulieren. Wenn du es wünschst, kann ich diese Gabe auf dich anwenden, um dir die Fertigkeiten zu verleihen, die benötigt werden, um in dieser wiedergeborenen Welt zu bestehen."
1,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_Q","Welchen Segen möchtest du empfangen?"
2,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A1_GLADIATOR","Den Weg des Gladiators beschreiten"
3,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A2_RETAINER","Genehmigung für einen Gehilfen erhalten"
4,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A3_LEVEL_UP_TO_15","Auf Stufe 15 aufsteigen"
5,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A4_LEVEL_UP_TO_29","Auf Stufe 29 aufsteigen"
6,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A5_GRAND_COMPANY","Einer Staatlichen Ge<SoftHyphen/>sell<SoftHyphen/>schaft beitreten"
7,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A6_MY_CHOCOBO_BUDDY","Meinen Chocobo zu einem Mitstreiter machen"
8,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A7_MY_CHOCOBO_RENAME","Den Namen meines Chocobos ändern"
9,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A8_LV30_ACTION_REWARD","Die Belohnung für die Auftragsreihe deiner Klasse für Stufe 30 erhalten"
10,"TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_UNQUALIFIED","Um diesen Segen zu empfangen, musst du zunächst deine Stärke unter Beweis stellen, indem du eine Prüfung abschließt, die als „<Sheet(Quest,IntegerParameter(1),QUEST_NAME)/>“ bekannt ist."
11,"TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_UNQUALIFIED_2","Außerdem brauchst du mindestens einen freien Platz im Inventar."
12,"TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_ALREADY_UNLOCKED","Dieser Segen wurde dir bereits gewährt. Lege ein Schwert in deiner Haupthand an, um den Gladiator in dir zu entfesseln."
