key,0,1
#,,
int32,str,str
0,"TEXT_CMNFSTALPHALEVELUP_00018_EXPLANATION","Sous certaines conditions, des privilèges spéciaux peuvent être obtenus de façon temporaire par le biais du ménestrel errant.
Ceci n'est valable que pour la version bêta."
1,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_Q","Que voulez-vous<Indent/>? (version β)"
2,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A1_GLADIATOR","Accéder à la classe de gladiateur"
3,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A2_RETAINER","Être autorisé<If(PlayerParameter(4))>e<Else/></If> à recruter un servant"
4,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A3_LEVEL_UP_TO_15","Passer au niveau 15"
5,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A4_LEVEL_UP_TO_29","Passer au niveau 29"
6,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A5_GRAND_COMPANY","Être autorisé<If(PlayerParameter(4))>e<Else/></If> à rejoindre une grande compagnie"
7,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A6_MY_CHOCOBO_BUDDY","Faire de votre chocobo un compagnon"
8,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A7_MY_CHOCOBO_RENAME","Changer le nom de votre chocobo"
9,"TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A8_LV30_ACTION_REWARD","Récompense de la quête de classe niv. 30."
10,"TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_UNQUALIFIED","Pour bénéficier de cette fonction, vous devez terminer la quête “<Sheet(Quest,IntegerParameter(1),QUEST_NAME)/>”."
11,"TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_UNQUALIFIED_2","De plus, vous devez avoir au moins un espace libre dans votre inventaire."
12,"TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_ALREADY_UNLOCKED","Cette fonction est déjà disponible. Il vous suffit de vous équiper d'une arme de gladiateur pour basculer vers cette classe."
13,"TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_UNLOCK_SUCCESS","Vous pouvez désormais être gladiateur. Pour cela, il vous suffit de vous équiper d'une épée. "
