key,0,1
#,,
int32,str,str
0,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_000","De me faire chasser à coups de pied aux fesses, je n'ai pas envie..."
1,"TEXT_CTSETCAOZGAHEELJA_00565_Q1_000_000","Que voulez-vous faire<Indent/>?"
2,"TEXT_CTSETCAOZGAHEELJA_00565_A1_000_001","Acquérir des totems bleus"
3,"TEXT_CTSETCAOZGAHEELJA_00565_A1_000_002","En savoir plus sur la magie bleue"
4,"TEXT_CTSETCAOZGAHEELJA_00565_A1_000_003","En savoir plus sur le grimoire de magie bleue"
5,"TEXT_CTSETCAOZGAHEELJA_00565_A1_000_004","Discuter"
6,"TEXT_CTSETCAOZGAHEELJA_00565_A1_000_005","Annuler"
7,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_010","Des répliques de totems whalaqee, le patron a fabriqué. La mémoire de sorts de magie bleue, ils contiennent. Utiles, j'espère qu'ils vous seront."
8,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_015","Progresser davantage, vous devez. Les totems du patron, je garderai au chaud en attendant."
9,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_020","Au sein des Whalaqee, la magie bleue est née. D'une petite tribu du nouveau continent, il s'agit."
10,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_021","À la nature, ses membres vouent un culte. S'en rapprocher le plus possible, leur désir est. Tant et si bien que la magie de la faune sauvage, ils se sont approprié."
11,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_022","De se laisser attaquer avant de vaincre les monstres, le secret est. Leur éther et leurs capacités, cela permet d'assimiler."
12,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_023","“Apprentissage”, cette technique s'appelle."
13,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_024","Quant à la magie bleue, de la couleur sacrée des Whalaqee, elle tire son nom. Son plus grand pionnier, notre patron Martyn est indubitablement."
14,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_025","Tout son potentiel, elle n'a pas encore livré. Infinies, ses possibilités pourraient bien être. Le tournis, cela me donne..."
