key,0,1
#,,
int32,str,str
0,"TEXT_CTSOPN60NEMJIJI_00732_CFC_TO_INSTANCE_CONTENT","<Sheet(ContentFinderCondition,IntegerParameter(1),3)/>"
1,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_000","Merci encore d'avoir collaboré à nos recherches. J'ai trouvé votre récit absolument fascinant, notamment la partie sur les créatures du passé. Si je commence à me pencher moi-même sur le sujet... oh là là, je risque de ne plus voir la lumière du jour avant un moment<Indent/>!"
2,"TEXT_CTSOPN60NEMJIJI_00732_Q1_000_000","Que faites-vous<Indent/>?"
3,"TEXT_CTSOPN60NEMJIJI_00732_A1_000_003","S'enquérir de l'avancée des recherches"
4,"TEXT_CTSOPN60NEMJIJI_00732_A1_000_004","Annuler"
5,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_100","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, vous avez une minute<Indent/>? J'aimerais revenir sur certains détails de votre séjour dans le passé."
6,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_101","À terme, le professeur Claudien devra rendre compte de nos découvertes à la communauté scien<SoftHyphen/>ti<SoftHyphen/>fi<SoftHyphen/>que, qu'il s'agisse de la voix émanant du cristal, ou du Pandæmonium et de son devenir."
7,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_102","Aussi, j'aimerais lui mâcher le travail en notant dès à présent un maximum d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions utiles. Si vous pouviez me décrire par le menu les féroces entités que vous avez croisées dans les Limbes, j'en serais ravie. Oh oui<Indent/>!"
8,"TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_103","Nemjiji, j'ai réuni les ouvrages que tu m'as demandés, mais... tu es sûre qu'ils sont tous pertinents pour tes recherches sur le cristal<Indent/>?"
9,"TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_104","“Mode de vie des espèces marines”... “Phénix à travers les mythes et légendes”... Tous ces essais semblent surtout concerner les créatures que <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/> a affrontées dans le Pandæmonium..."
