key,0,1
#,,
int32,str,str
0,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_NOUMENONAUTOMATON_000_000","VerZeiHung. DAs RefErenzVerZeichnIs IsT dErzeiT üBErlasTEt. WiR biTTen uM etwAs GEdulD."
1,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_NOUMENONAUTOMATON_000_010","Zu weLCHem ThemA sucHst dU INforMationEN? BaSieREnD AUf deN AnGAben emPfehle icH eiN passENdeS WeRK auS uNseRer BiBlioTHeK."
2,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_Q1_000_100","Für welches Thema interessierst du dich?"
3,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_101","Die Gesetze und Prinzipien des Kosmos"
4,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_102","Der Rat der Philosophen"
5,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_103","Das Weltbild der Sharlayaner"
6,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_104","Geheimnisse einer gesunden Lebensweise"
7,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_105","Die Gründungsgeschichte von Sharlayan"
8,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_106","Die Kolonie Sharlayan"
9,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_107","Das Muscmaloi"
10,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_110","Nichts"
11,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_NOUMENONAUTOMATON_000_120","VeRsTanden. EiN WeRk enTsprIchT dEr SuChvorGabE. TeXt wIrD auS DeM ArChiV geHolT. ViEl SPaß bEIm LesEn!"
12,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_NOUMENONAUTOMATON_000_130","DU beSItzT dEn SeelENkristalL eiNES WeiSen. IcH foRdEre eiN anGEmeSsenEs WeRk aUs deM ARchiV aN. HiEr isT eS. ViEl SPaß beIm LeSEn."
