key,0,1
#,,
int32,str,str
0,"TEXT_SUBPST006_01532_SEQ_00","Le Maître Mog postier aimerait vous demander de livrer une lettre à Costa del Sol. "
1,"TEXT_SUBPST006_01532_SEQ_01","Votre Maître Mog postier vous a confié une nouvelle livraison. Le des<SoftHyphen/>ti<SoftHyphen/>na<SoftHyphen/>tai<SoftHyphen/>re est cette fois le seigneur Gegeruju à Costa del Sol, dans la Noscea orientale. "
2,"TEXT_SUBPST006_01532_SEQ_02","Vous avez remis la lettre à Gegeruju. Il s'agissait d'une lettre de refus du chorégraphe Guillaunaux, à qui il avait proposé de former ses nouvelles recrues. Gegeruju a cependant un autre maître en vue. Trouvez ce nouveau candidat et remettez-lui <SheetFr(EventItem,2,2001333,1,1)/>. "
3,"TEXT_SUBPST006_01532_SEQ_03","Vous avez remis <SheetFr(EventItem,2,2001333,1,1)/> à Bugaal Ja le danseur. Ce dernier aimerait se purifier avant de rencontrer son nouvel employeur. Retrouvez-le près de la masure de l'ermite, dans la Noscea extérieure. "
4,"TEXT_SUBPST006_01532_SEQ_04","Bugaal Ja aimerait que vous l'aidiez dans son rite de purification. Il vous demande pour cela de l'asperger au moyen d'<SheetFr(EventItem,1,2001334,1,1)/>, dans les eaux de la masure de l'ermite."
5,"TEXT_SUBPST006_01532_SEQ_05","Vous avez versé de l'eau chaude sur Bugaal Ja comme il le souhaitait. Il vous demande de recommencer. "
6,"TEXT_SUBPST006_01532_SEQ_06","Le rituel a fini par fonctionner et Bugaal Ja semble satisfait du résultat. Aspergez-le une dernière fois pour achever la cérémonie. "
7,"TEXT_SUBPST006_01532_SEQ_07","Bugaal Ja est parti préparer sa danse pour le seigneur Gegeruju. Allez parler à ce dernier. "
8,"TEXT_SUBPST006_01532_SEQ_08","Bugaal Ja est maintenant prêt à effectuer sa dé<SoftHyphen/>mon<SoftHyphen/>stra<SoftHyphen/>tion pour le seigneur Gegeruju et ses jeunes danseuses. On vous propose à vous aussi d'y assister en vous rendant <SheetFr(EObj,7,2004284,1,1)/> près de la Chute cachée dans la Noscea orientale."
