key,0,1
#,,
int32,str,str
0,"TEXT_FESSUM801_04540_SEQ_00","* <Emphasis>Cette quête est un événement à durée limitée.</Emphasis>

Mayaru Moyaru brûle d'impatience de vous parler des Feux de la Mort."
1,"TEXT_FESSUM801_04540_SEQ_01","Cette quête ne peut être commencée et effectuée que pendant la durée de l'événement saisonnier correspondant. Pour plus de détails, veuillez consulter The Lodestone.

Mayaru Moyaru vous a parlé des Feux de la Mort, qui se déroulent une fois de plus à Costa del Sol, dans la Noscea orientale. Il vous a appris qu'un certain événement faisait son retour cette année, et vous a suggéré d'aller sur place vous adresser à Haermaga afin d'obtenir davantage d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions."
2,"TEXT_FESSUM801_04540_SEQ_02","Vous avez appris que l'événement en question n'est autre que “Pas dans l'tas le r'voilà”, et Haermaga semble avoir besoin de vos services à ce sujet. Allez lui parler et acceptez sa requête."
3,"TEXT_FESSUM801_04540_SEQ_03","Haermaga aimerait que vous touchiez quelques mots à R'fhul Tia, qui semble se surestimer un peu trop en ce moment. Rendez visite à ce dernier."
4,"TEXT_FESSUM801_04540_SEQ_04","R'fhul Tia vous a présenté ses disciples. Il est motivé à participer à “Pas dans l'tas le r'voilà”, mais les autres semblent inquiets à son sujet... Rendez-vous sur place et observez-le durant son parcours."
5,"TEXT_FESSUM801_04540_SEQ_05","R'fhul Tia s'est fait prendre dans une explosion et s'est vu obligé de quitter la compétition. Allez le secourir."
6,"TEXT_FESSUM801_04540_SEQ_06","Les disciples de R'fhul Tia, déçus, ont décidé de ne plus faire route avec lui. Ce dernier n'a cependant aucune idée de la raison de leur départ... Haermaga vous a demandé de vous occuper de lui, restez encore un peu à ses côtés."
7,"TEXT_FESSUM801_04540_SEQ_07",""
8,"TEXT_FESSUM801_04540_SEQ_08",""
9,"TEXT_FESSUM801_04540_SEQ_09",""
10,"TEXT_FESSUM801_04540_SEQ_10",""
11,"TEXT_FESSUM801_04540_SEQ_11",""
12,"TEXT_FESSUM801_04540_SEQ_12",""
13,"TEXT_FESSUM801_04540_SEQ_13",""
14,"TEXT_FESSUM801_04540_SEQ_14",""
15,"TEXT_FESSUM801_04540_SEQ_15",""
16,"TEXT_FESSUM801_04540_SEQ_16",""
17,"TEXT_FESSUM801_04540_SEQ_17",""
