key,0,1
#,,
int32,str,str
0,"TEXT_SUBCTS671_04524_SEQ_00","Das Funkeln in Ameliances Augen verrät dir, dass sie etwas vorhat."
1,"TEXT_SUBCTS671_04524_SEQ_01",""
2,"TEXT_SUBCTS671_04524_SEQ_02",""
3,"TEXT_SUBCTS671_04524_SEQ_03",""
4,"TEXT_SUBCTS671_04524_SEQ_04",""
5,"TEXT_SUBCTS671_04524_SEQ_05",""
6,"TEXT_SUBCTS671_04524_SEQ_06",""
7,"TEXT_SUBCTS671_04524_SEQ_07",""
8,"TEXT_SUBCTS671_04524_SEQ_08",""
9,"TEXT_SUBCTS671_04524_SEQ_09",""
10,"TEXT_SUBCTS671_04524_SEQ_10",""
11,"TEXT_SUBCTS671_04524_SEQ_11",""
12,"TEXT_SUBCTS671_04524_SEQ_12",""
13,"TEXT_SUBCTS671_04524_SEQ_13",""
14,"TEXT_SUBCTS671_04524_SEQ_14",""
15,"TEXT_SUBCTS671_04524_SEQ_15",""
16,"TEXT_SUBCTS671_04524_SEQ_16",""
17,"TEXT_SUBCTS671_04524_SEQ_17",""
18,"TEXT_SUBCTS671_04524_SEQ_18",""
19,"TEXT_SUBCTS671_04524_SEQ_19",""
20,"TEXT_SUBCTS671_04524_SEQ_20",""
21,"TEXT_SUBCTS671_04524_SEQ_21",""
22,"TEXT_SUBCTS671_04524_SEQ_22",""
23,"TEXT_SUBCTS671_04524_SEQ_23",""
24,"TEXT_SUBCTS671_04524_TODO_00","Mit Ameliance sprechen und dich von ihr begleiten lassen"
25,"TEXT_SUBCTS671_04524_TODO_01","Ameliance zum Zielort begleiten und dort mit ihr sprechen"
26,"TEXT_SUBCTS671_04524_TODO_02","In Begleitung von Ameliance mit dem fleißigen Studenten sprechen"
27,"TEXT_SUBCTS671_04524_TODO_03","Ameliance zum Zielort begleiten und dort mit ihr sprechen"
28,"TEXT_SUBCTS671_04524_TODO_04","Mit Ameliance sprechen"
29,"TEXT_SUBCTS671_04524_TODO_05",""
30,"TEXT_SUBCTS671_04524_TODO_06",""
31,"TEXT_SUBCTS671_04524_TODO_07",""
32,"TEXT_SUBCTS671_04524_TODO_08",""
33,"TEXT_SUBCTS671_04524_TODO_09",""
34,"TEXT_SUBCTS671_04524_TODO_10",""
