key,0,1
#,,
int32,str,str
0,"TEXT_AETHERYTE_MAINMENU_TITLE","<Sheet(PlaceName,IntegerParameter(1),0)/>"
1,"TEXT_AETHERYTE_TOWN_WARP","<Gui(69)/> Ätheryten<SoftHyphen/>netz"
2,"TEXT_AETHERYTE_HOUSING_WARP","<Gui(69)/> Wohngebiet"
3,"TEXT_AETHERYTE_MENU_WKT","<Gui(69)/> Weltenreise"
4,"TEXT_AETHERYTE_REGISTER_HOME_POINT_CHECKED","<Gui(68)/> Als Heimatpunkt registriert"
5,"TEXT_AETHERYTE_REGISTER_HOME_POINT","<Gui(69)/> Als Heimatpunkt registrieren"
6,"TEXT_AETHERYTE_REGISTER_FAVORITE_CHECKED","<Gui(68)/> Als Favorit gespeichert"
7,"TEXT_AETHERYTE_REGISTER_FAVORITE","<Gui(69)/> Als Favoriten speichern"
8,"TEXT_AETHERYTE_REGISTER_TOKEN_FAVORITE_CHECKED","<Gui(67)/> Als kostenloser Favorit gespeichert"
9,"TEXT_AETHERYTE_REGISTER_TOKEN_FAVORITE","<Gui(69)/> Als kostenlosen Favoriten speichern"
10,"TEXT_AETHERYTE_MOVE_INSTANCE","<Gui(69)/> In ein instanziiertes Areal wechseln"
11,"TEXT_AETHERYTE_MENU_CANCEL","<Gui(69)/> Abbrechen"
12,"TEXT_AETHERYTE_AETHERNET_MENU_TITLE","Standort: <Highlight>StringParameter(1)</Highlight>
Wähle einen Zielort aus:"
13,"TEXT_AETHERYTE_AETHERNET_MENU_TITLE_NONE_MESSAGE","

Es gibt keine Stadt-Ätheryten, zu denen du reisen kannst.

"
14,"TEXT_AETHERYTE_AETHERNET_DEST_NAME","<Sheet(PlaceName,IntegerParameter(1),0)/>"
15,"TEXT_AETHERYTE_AETHERNET_MENU_CANCEL","Abbrechen"
16,"TEXT_AETHERYTE_MOVE_INSTANCE_MENU_CANCEL","<Sheet(Addon,102345,0)/>"
17,"TEXT_AETHERYTE_FIRST_OPEN_01","Du hast nun Zugang zum Ätheryten<SoftHyphen/>netz!"
18,"TEXT_AETHERYTE_FIRST_OPEN_02","Indem du einen Stadt-Ätheryten berührst, kannst du dich frei zu anderen Punkten des Ätheryten<SoftHyphen/>netzwerks der Stadt bewegen."
